Date,open,high,low,close,volume,adj_close,diff
2014-01-02,14.95,15.21,14.21,14.49,1285600,14.49,-0.4599999999999991
2014-01-03,14.48,14.53,14.16,14.28,519500,14.28,-0.20000000000000107
2014-01-06,14.31,14.46,13.93,13.99,760500,13.99,-0.3200000000000003
2014-01-07,14.02,14.36,14.02,14.19,405200,14.19,0.16999999999999993
2014-01-08,14.12,14.58,14.07,14.44,1236700,14.44,0.3200000000000003
2014-01-09,14.55,14.71,13.94,14.15,1012900,14.15,-0.40000000000000036
2014-01-10,14.19,14.24,13.91,14.01,709900,14.01,-0.17999999999999972
2014-01-13,13.92,14.03,13.54,13.68,1000200,13.68,-0.2400000000000002
2014-01-14,13.7,14.03,13.65,13.95,285800,13.95,0.25
2014-01-15,14.03,14.08,13.68,14.03,1037700,14.03,0.0
2014-01-16,13.89,14.64,13.89,14.56,730200,14.56,0.6699999999999999
2014-01-17,14.57,14.62,14.04,14.1,557100,14.1,-0.47000000000000064
2014-01-21,14.2,14.51,14.07,14.51,474500,14.51,0.3100000000000005
2014-01-22,14.55,15.14,14.28,15.1,926700,15.1,0.5499999999999989
2014-01-23,15.08,15.36,15.02,15.33,1365900,15.33,0.25
2014-01-24,15.22,15.56,15.03,15.46,1739600,15.46,0.2400000000000002
2014-01-27,15.44,15.44,14.72,14.97,1180300,14.97,-0.46999999999999886
2014-01-28,15.02,15.41,14.7,15.13,1178600,15.13,0.11000000000000121
2014-01-29,14.98,15.16,14.74,14.9,624000,14.9,-0.08000000000000007
2014-01-30,15.06,15.32,14.45,14.7,1072600,14.7,-0.3600000000000012
2014-01-31,14.2,14.72,14.01,14.54,866400,14.54,0.33999999999999986
2014-02-03,14.52,14.65,14.01,14.3,806600,14.3,-0.21999999999999886
2014-02-04,14.33,14.78,14.32,14.65,994400,14.65,0.3200000000000003
2014-02-05,14.63,14.75,14.17,14.43,826400,14.43,-0.20000000000000107
2014-02-06,14.48,14.78,14.18,14.65,555000,14.65,0.16999999999999993
2014-02-07,14.75,14.95,14.54,14.87,769800,14.87,0.11999999999999922
2014-02-10,14.89,14.89,14.44,14.65,553700,14.65,-0.2400000000000002
2014-02-11,14.62,15.08,14.54,14.92,673100,14.92,0.3000000000000007
2014-02-12,14.98,15.34,14.92,15.15,631100,15.15,0.16999999999999993
2014-02-13,14.99,15.5,14.9,15.39,575500,15.39,0.40000000000000036
2014-02-14,14.61,15.48,14.61,15.36,596200,15.36,0.75
2014-02-18,15.46,16.0,15.38,15.77,510100,15.77,0.3099999999999987
2014-02-19,15.7,15.87,15.53,15.57,438900,15.57,-0.129999999999999
2014-02-20,15.54,16.14,15.46,15.79,941400,15.79,0.25
2014-02-21,15.89,15.99,15.44,15.76,493400,15.76,-0.13000000000000078
2014-02-24,15.78,16.31,15.69,16.27,964200,16.27,0.4900000000000002
2014-02-25,16.22,16.22,15.71,15.96,486000,15.96,-0.259999999999998
2014-02-26,16.0,16.01,15.49,15.73,455800,15.73,-0.2699999999999996
2014-02-27,15.63,15.91,15.26,15.35,1027200,15.35,-0.28000000000000114
2014-02-28,14.69,14.87,13.8,13.92,3588900,13.92,-0.7699999999999996
2014-03-03,13.92,14.01,13.65,13.68,1909700,13.68,-0.2400000000000002
2014-03-04,13.77,14.35,13.73,14.25,1221700,14.25,0.4800000000000004
2014-03-05,14.21,14.26,14.0,14.05,488200,14.05,-0.16000000000000014
2014-03-06,14.05,14.21,13.9,14.04,404400,14.04,-0.010000000000001563
2014-03-07,14.14,14.2,13.8,13.83,556200,13.83,-0.3100000000000005
2014-03-10,13.8,13.92,13.65,13.75,436700,13.75,-0.05000000000000071
2014-03-11,13.8,13.97,13.29,13.33,823000,13.33,-0.47000000000000064
2014-03-12,13.24,13.62,13.16,13.44,892800,13.44,0.1999999999999993
2014-03-13,13.45,13.58,13.21,13.47,944100,13.47,0.02000000000000135
2014-03-14,13.44,13.76,13.42,13.65,440400,13.65,0.21000000000000085
2014-03-17,13.64,13.93,13.49,13.63,512400,13.63,-0.009999999999999787
2014-03-18,13.61,13.71,13.31,13.38,3307900,13.38,-0.22999999999999865
2014-03-19,13.33,13.48,13.17,13.19,969200,13.19,-0.14000000000000057
2014-03-20,13.14,13.51,13.02,13.49,612600,13.49,0.34999999999999964
2014-03-21,13.53,13.63,13.45,13.47,1340200,13.47,-0.05999999999999872
2014-03-24,13.66,13.9,13.56,13.79,937400,13.79,0.129999999999999
2014-03-25,14.06,14.5,14.05,14.25,1201300,14.25,0.1899999999999995
2014-03-26,14.37,14.49,13.96,13.96,644400,13.96,-0.40999999999999837
2014-03-27,14.02,14.47,13.95,14.11,909900,14.11,0.08999999999999986
2014-03-28,14.11,14.52,14.11,14.49,635800,14.49,0.3800000000000008
2014-03-31,14.56,14.72,14.37,14.62,460600,14.62,0.05999999999999872
2014-04-01,14.68,14.86,14.36,14.46,889800,14.46,-0.21999999999999886
2014-04-02,14.43,14.62,14.26,14.57,495400,14.57,0.14000000000000057
2014-04-03,14.54,14.83,14.48,14.53,409500,14.53,-0.009999999999999787
2014-04-04,14.71,15.13,14.43,14.6,1016700,14.6,-0.11000000000000121
2014-04-07,14.58,14.58,13.77,13.98,967100,13.98,-0.5999999999999996
2014-04-08,13.95,14.43,13.87,14.35,775400,14.35,0.40000000000000036
2014-04-09,14.46,14.61,14.17,14.56,487500,14.56,0.09999999999999964
2014-04-10,14.52,14.68,13.99,14.17,660600,14.17,-0.34999999999999964
2014-04-11,14.01,14.4,14.01,14.19,452000,14.19,0.17999999999999972
2014-04-14,14.39,14.66,14.2,14.54,372700,14.54,0.14999999999999858
2014-04-15,14.54,14.99,14.47,14.87,577500,14.87,0.33000000000000007
2014-04-16,15.05,15.05,14.72,14.8,392700,14.8,-0.25
2014-04-17,14.72,15.14,14.51,15.07,493700,15.07,0.34999999999999964
2014-04-21,15.14,15.47,14.99,15.19,793000,15.19,0.049999999999998934
2014-04-22,15.19,15.31,14.87,15.18,555300,15.18,-0.009999999999999787
2014-04-23,15.11,15.3,14.95,15.06,632500,15.06,-0.049999999999998934
2014-04-24,15.11,15.4,15.01,15.38,881600,15.38,0.27000000000000135
2014-04-25,15.2,15.24,14.74,14.93,754500,14.93,-0.2699999999999996
2014-04-28,15.04,15.17,14.83,14.95,681800,14.95,-0.08999999999999986
2014-04-29,15.09,15.45,14.79,15.28,471400,15.28,0.1899999999999995
2014-04-30,15.16,15.44,14.95,15.43,717400,15.43,0.2699999999999996
2014-05-01,15.52,15.52,15.11,15.3,831300,15.3,-0.21999999999999886
2014-05-02,15.26,15.27,14.87,15.01,920000,15.01,-0.25
2014-05-05,14.82,15.38,14.82,15.1,599500,15.1,0.27999999999999936
2014-05-06,14.99,15.35,14.99,15.17,1114700,15.17,0.17999999999999972
2014-05-07,15.32,15.39,14.9,15.14,761400,15.14,-0.17999999999999972
2014-05-08,15.06,15.12,14.75,14.76,958500,14.76,-0.3000000000000007
2014-05-09,14.5,14.59,13.81,14.19,2179000,14.19,-0.3100000000000005
2014-05-12,14.34,14.51,14.13,14.37,691500,14.37,0.02999999999999936
2014-05-13,14.37,15.1,14.35,14.97,1267900,14.97,0.6000000000000014
2014-05-14,14.99,15.21,14.88,15.01,779500,15.01,0.019999999999999574
2014-05-15,14.91,14.97,14.43,14.6,809200,14.6,-0.3100000000000005
2014-05-16,14.55,14.71,14.32,14.7,664800,14.7,0.14999999999999858
2014-05-19,14.72,15.04,14.55,14.98,560600,14.98,0.2599999999999998
2014-05-20,14.82,14.95,14.5,14.72,724800,14.72,-0.09999999999999964
2014-05-21,14.73,15.12,14.62,15.03,732300,15.03,0.29999999999999893
2014-05-22,15.11,15.36,14.72,14.72,634000,14.72,-0.3899999999999988
2014-05-23,14.67,14.89,14.6,14.82,477200,14.82,0.15000000000000036
2014-05-27,14.86,15.13,14.63,15.08,491900,15.08,0.22000000000000064
2014-05-28,15.04,15.6,14.86,15.34,1085200,15.34,0.3000000000000007
2014-05-29,15.4,15.47,15.18,15.43,587100,15.43,0.02999999999999936
2014-05-30,15.48,15.48,15.09,15.25,583400,15.25,-0.23000000000000043
2014-06-02,15.33,15.43,15.03,15.08,695900,15.08,-0.25
2014-06-03,15.0,15.17,14.93,15.09,496600,15.09,0.08999999999999986
2014-06-04,15.05,15.25,14.86,15.08,485800,15.08,0.02999999999999936
2014-06-05,15.08,15.16,14.8,15.15,615500,15.15,0.07000000000000028
2014-06-06,15.22,15.37,15.01,15.27,506700,15.27,0.049999999999998934
2014-06-09,15.3,15.47,15.1,15.28,594000,15.28,-0.02000000000000135
2014-06-10,15.31,15.47,15.17,15.36,502300,15.36,0.049999999999998934
2014-06-11,15.33,15.5,15.14,15.36,582500,15.36,0.02999999999999936
2014-06-12,15.47,15.96,15.47,15.94,674700,15.94,0.46999999999999886
2014-06-13,16.0,16.44,15.62,16.41,730500,16.41,0.41000000000000014
2014-06-16,16.51,16.72,16.31,16.4,884700,16.4,-0.11000000000000298
2014-06-17,16.35,16.47,16.12,16.41,569300,16.41,0.05999999999999872
2014-06-18,16.41,16.85,16.27,16.81,667400,16.81,0.3999999999999986
2014-06-19,16.88,17.09,16.73,17.09,746600,17.09,0.21000000000000085
2014-06-20,17.03,17.35,17.03,17.1,1144600,17.1,0.07000000000000028
2014-06-23,17.25,17.43,17.07,17.07,601500,17.07,-0.17999999999999972
2014-06-24,16.93,17.1,15.86,16.03,1495100,16.03,-0.8999999999999986
2014-06-25,15.91,16.38,15.91,16.29,736700,16.29,0.379999999999999
2014-06-26,16.32,16.49,16.01,16.3,314600,16.3,-0.019999999999999574
2014-06-27,16.21,16.36,16.12,16.35,1101700,16.35,0.14000000000000057
2014-06-30,16.1,16.31,15.95,16.29,881600,16.29,0.18999999999999773
2014-07-01,16.37,16.59,16.22,16.49,791800,16.49,0.11999999999999744
2014-07-02,16.49,16.76,16.39,16.41,687100,16.41,-0.0799999999999983
2014-07-03,16.46,16.62,16.29,16.43,217500,16.43,-0.030000000000001137
2014-07-07,16.47,16.52,16.15,16.22,575700,16.22,-0.25
2014-07-08,16.13,16.64,16.06,16.64,1003800,16.64,0.5100000000000016
2014-07-09,16.67,16.99,16.45,16.92,808400,16.92,0.25
2014-07-10,16.62,16.83,16.4,16.75,1399800,16.75,0.129999999999999
2014-07-11,16.69,16.69,16.11,16.14,983300,16.14,-0.5500000000000007
2014-07-14,16.29,16.69,16.04,16.44,1630000,16.44,0.15000000000000213
2014-07-15,16.35,16.45,15.68,15.7,835800,15.7,-0.6500000000000021
2014-07-16,15.63,16.21,15.63,16.14,549600,16.14,0.5099999999999998
2014-07-17,16.37,16.37,15.79,15.95,874800,15.95,-0.4200000000000017
2014-07-18,15.84,16.11,15.76,16.09,602200,16.09,0.25
2014-07-21,15.97,16.09,15.74,15.75,599400,15.75,-0.22000000000000064
2014-07-22,15.54,16.05,15.54,16.04,664600,16.04,0.5
