Date,open,high,low,close,volume,adj_close,diff
2014-01-02,13.51,13.55,13.44,13.55,103900,12.55,0.040000000000000924
2014-01-03,13.52,13.62,13.44,13.61,119400,12.6,0.08999999999999986
2014-01-06,13.64,13.83,13.62,13.76,115000,12.74,0.11999999999999922
2014-01-07,13.84,13.92,13.78,13.83,102300,12.81,-0.009999999999999787
2014-01-08,13.83,13.88,13.8,13.85,92100,12.83,0.019999999999999574
2014-01-09,13.88,13.91,13.87,13.88,62700,12.85,0.0
2014-01-10,13.87,14.02,13.87,14.0,83800,12.96,0.13000000000000078
2014-01-13,13.95,14.01,13.87,13.87,78500,12.92,-0.08000000000000007
2014-01-14,13.89,13.91,13.84,13.87,61900,12.92,-0.02000000000000135
2014-01-15,13.88,13.98,13.87,13.97,62700,13.01,0.08999999999999986
2014-01-16,13.97,14.04,13.89,13.98,94600,13.02,0.009999999999999787
2014-01-17,13.98,14.08,13.98,14.04,100300,13.08,0.05999999999999872
2014-01-21,14.08,14.12,14.0,14.01,81900,13.05,-0.07000000000000028
2014-01-22,14.01,14.09,14.01,14.09,71600,13.12,0.08000000000000007
2014-01-23,14.07,14.22,14.07,14.1,172400,13.13,0.02999999999999936
2014-01-24,14.12,14.19,14.1,14.14,103500,13.17,0.02000000000000135
2014-01-27,14.2,14.57,14.15,14.25,114300,13.27,0.05000000000000071
2014-01-28,14.25,14.26,14.19,14.26,76500,13.28,0.009999999999999787
2014-01-29,14.22,14.26,14.17,14.19,51300,13.22,-0.030000000000001137
2014-01-30,14.17,14.21,14.16,14.17,86200,13.2,0.0
2014-01-31,14.15,14.26,14.15,14.23,94700,13.25,0.08000000000000007
2014-02-03,14.29,14.33,14.2,14.25,101800,13.27,-0.03999999999999915
2014-02-04,14.25,14.27,14.2,14.2,51100,13.22,-0.05000000000000071
2014-02-05,14.19,14.22,14.12,14.15,50400,13.18,-0.03999999999999915
2014-02-06,14.13,14.18,14.05,14.09,109000,13.12,-0.040000000000000924
2014-02-07,14.08,14.17,14.06,14.14,68500,13.17,0.0600000000000005
2014-02-10,14.15,14.22,14.11,14.16,117800,13.19,0.009999999999999787
2014-02-11,14.2,14.2,14.15,14.16,33500,13.19,-0.03999999999999915
2014-02-12,14.09,14.09,13.96,13.96,133400,13.08,-0.129999999999999
