Date,open,high,low,close,volume,adj_close,diff
2014-01-02,92.33,92.59,91.07,91.31,1319900,88.8,-1.019999999999996
2014-01-03,91.8,92.53,91.14,91.37,1016100,88.85,-0.4299999999999926
2014-01-06,91.49,92.14,89.95,90.0,1690200,87.52,-1.4899999999999949
2014-01-07,90.4,90.74,90.08,90.54,1672400,88.05,0.14000000000000057
2014-01-08,90.54,90.63,89.19,89.91,1435900,87.44,-0.6300000000000097
2014-01-09,90.3,91.38,90.06,91.31,1451200,88.8,1.0100000000000051
2014-01-10,91.0,91.83,90.77,91.59,892900,89.07,0.5900000000000034
2014-01-13,91.64,92.04,89.91,90.19,1284300,87.71,-1.4500000000000028
2014-01-14,90.25,91.17,89.69,90.76,1421800,88.26,0.5100000000000051
2014-01-15,90.83,91.18,90.41,91.16,1344300,88.65,0.3299999999999983
2014-01-16,88.49,88.98,87.14,87.76,3841300,85.34,-0.7299999999999898
2014-01-17,87.63,89.88,87.61,88.99,2862300,86.54,1.3599999999999994
2014-01-21,89.26,89.74,88.25,88.71,2420300,86.27,-0.5500000000000114
2014-01-22,91.54,94.75,91.31,92.94,5877200,90.38,1.3999999999999915
2014-01-23,93.81,95.1,93.24,93.66,3194600,91.08,-0.15000000000000568
2014-01-24,92.02,92.14,89.59,89.61,3062500,87.14,-2.4099999999999966
2014-01-27,89.8,91.17,89.4,90.32,2963400,87.83,0.519999999999996
2014-01-28,90.24,92.0,90.11,91.26,1660000,88.75,1.0200000000000102
2014-01-29,90.53,90.77,89.33,89.8,2195200,87.33,-0.730000000000004
2014-01-30,90.64,93.27,90.62,92.76,2081300,90.21,2.1200000000000045
2014-01-31,91.52,93.28,91.31,92.59,2540900,90.04,1.0700000000000074
2014-02-03,93.13,93.7,89.46,89.58,2960800,87.11,-3.549999999999997
2014-02-04,91.33,92.5,89.58,91.79,8301200,89.26,0.46000000000000796
2014-02-05,91.39,92.12,89.91,91.76,3272900,89.76,0.37000000000000455
2014-02-06,91.9,93.75,91.68,93.57,2505500,91.53,1.6699999999999875
2014-02-07,93.7,94.93,92.8,94.74,2643400,92.68,1.039999999999992
2014-02-10,94.52,94.65,92.73,92.92,2522800,90.9,-1.5999999999999943
2014-02-11,93.25,93.76,92.96,93.11,2345500,91.08,-0.14000000000000057
2014-02-12,93.46,93.68,92.67,93.6,2372000,91.56,0.14000000000000057
2014-02-13,92.57,92.75,91.96,92.47,2076300,90.46,-0.09999999999999432
2014-02-14,92.43,93.15,92.22,92.84,1847000,90.82,0.4099999999999966
2014-02-18,92.87,92.88,90.43,91.4,3351700,89.41,-1.4699999999999989
2014-02-19,91.15,91.56,90.28,90.32,3099700,88.35,-0.8300000000000125
2014-02-20,90.48,91.47,90.13,91.02,2112100,89.04,0.539999999999992
2014-02-21,91.26,91.64,90.3,90.47,2484200,88.5,-0.7900000000000063
2014-02-24,90.86,92.05,90.41,91.27,2309700,89.28,0.4099999999999966
2014-02-25,91.11,91.21,89.92,90.64,2149800,88.67,-0.46999999999999886
2014-02-26,90.75,91.69,90.43,90.69,1680600,88.72,-0.060000000000002274
2014-02-27,90.41,90.71,89.76,90.61,1929200,88.64,0.20000000000000284
2014-02-28,90.69,92.48,90.57,91.91,1923400,89.91,1.2199999999999989
