Date,open,high,low,close,volume,adj_close,diff
2014-01-02,42.6,42.77,41.98,42.14,114300,40.05,-0.46000000000000085
2014-01-03,42.1,42.19,41.85,42.18,101600,40.09,0.0799999999999983
2014-01-06,42.24,42.24,41.74,41.76,204600,39.69,-0.480000000000004
2014-01-07,41.98,42.21,41.82,42.1,145600,40.02,0.12000000000000455
2014-01-08,41.96,42.09,41.69,41.95,140100,39.87,-0.00999999999999801
2014-01-09,42.15,42.15,41.69,42.0,116100,39.92,-0.14999999999999858
2014-01-10,41.94,42.61,41.94,42.1,229000,40.02,0.1600000000000037
2014-01-13,42.1,42.1,41.53,41.74,173300,39.67,-0.35999999999999943
2014-01-14,41.82,42.21,41.8,41.93,72900,39.85,0.10999999999999943
2014-01-15,41.85,42.01,41.75,41.8,87600,39.73,-0.05000000000000426
2014-01-16,41.91,42.06,41.7,41.89,100800,39.82,-0.01999999999999602
2014-01-17,41.96,42.24,41.88,42.12,99600,40.03,0.1599999999999966
2014-01-21,42.2,42.66,42.2,42.64,88100,40.53,0.4399999999999977
2014-01-22,42.61,42.74,42.51,42.58,60000,40.47,-0.030000000000001137
2014-01-23,42.51,42.75,42.34,42.75,108000,40.63,0.240000000000002
2014-01-24,42.47,42.95,42.13,42.34,119500,40.24,-0.12999999999999545
2014-01-27,42.41,42.54,41.67,41.67,169900,39.61,-0.7399999999999949
2014-01-28,41.7,41.71,41.29,41.5,139300,39.45,-0.20000000000000284
2014-01-29,40.88,41.49,40.83,41.08,198400,39.48,0.19999999999999574
2014-01-30,41.14,41.71,41.03,41.49,148600,39.88,0.3500000000000014
2014-01-31,41.05,41.68,41.05,41.56,147800,39.95,0.5100000000000051
2014-02-03,41.6,41.98,40.76,40.85,197300,39.26,-0.75
2014-02-04,41.0,41.0,40.27,40.36,149000,38.79,-0.6400000000000006
2014-02-05,40.3,40.44,40.05,40.42,168400,38.85,0.12000000000000455
2014-02-06,40.52,40.76,40.4,40.63,139600,39.05,0.10999999999999943
2014-02-07,40.75,40.93,40.34,40.54,75500,38.96,-0.21000000000000085
2014-02-10,40.5,41.19,40.3,41.11,134000,39.51,0.6099999999999994
2014-02-11,41.21,41.57,41.21,41.39,123400,39.78,0.17999999999999972
2014-02-12,41.3,41.47,41.11,41.2,82200,39.6,-0.09999999999999432
2014-02-13,41.16,42.25,41.1,42.25,122500,40.61,1.0900000000000034
2014-02-14,42.32,42.46,42.0,42.39,124800,40.74,0.07000000000000028
2014-02-18,42.26,42.7,42.19,42.4,99600,40.75,0.14000000000000057
2014-02-19,42.3,42.44,41.52,41.52,113600,39.91,-0.779999999999994
2014-02-20,41.52,42.05,41.41,41.88,89500,40.25,0.35999999999999943
2014-02-21,42.05,42.2,41.84,41.94,129800,40.31,-0.10999999999999943
2014-02-24,41.97,42.43,41.73,41.82,126600,40.2,-0.14999999999999858
2014-02-25,41.81,42.2,41.71,41.83,121900,40.2,0.01999999999999602
2014-02-26,42.0,42.12,41.64,41.78,85500,40.16,-0.21999999999999886
2014-02-27,41.76,41.98,41.51,41.74,102500,40.12,-0.01999999999999602
2014-02-28,42.0,43.04,41.81,42.87,367000,41.2,0.8699999999999974
2014-03-03,42.65,42.77,41.8,42.01,209000,40.38,-0.6400000000000006
2014-03-04,42.3,43.0,42.23,42.73,259300,41.07,0.4299999999999997
2014-03-05,42.6,42.6,42.07,42.2,85200,40.56,-0.3999999999999986
2014-03-06,42.19,42.21,41.83,42.11,104900,40.47,-0.0799999999999983
2014-03-07,42.22,42.3,41.83,42.1,90600,40.46,-0.11999999999999744
2014-03-10,42.22,42.45,41.98,42.09,135100,40.45,-0.12999999999999545
2014-03-11,42.0,42.14,41.58,41.69,82800,40.07,-0.3100000000000023
2014-03-12,41.59,42.17,41.59,42.1,104200,40.46,0.509999999999998
2014-03-13,42.28,42.69,42.1,42.66,125300,41.0,0.37999999999999545
2014-03-14,42.62,43.37,42.62,43.18,134700,41.5,0.5600000000000023
2014-03-17,43.31,43.38,43.02,43.23,118300,41.55,-0.0800000000000054
2014-03-18,43.15,43.6,43.15,43.49,138600,41.8,0.3400000000000034
2014-03-19,43.49,43.49,42.74,42.89,104300,41.22,-0.6000000000000014
2014-03-20,42.69,42.97,42.56,42.66,83600,41.0,-0.030000000000001137
2014-03-21,42.9,43.27,42.66,42.91,307300,41.24,0.00999999999999801
2014-03-24,43.0,43.47,42.84,43.42,122800,41.73,0.4200000000000017
2014-03-25,43.49,43.92,43.2,43.73,129800,42.03,0.23999999999999488
2014-03-26,43.96,44.04,43.6,43.66,218500,41.96,-0.30000000000000426
2014-03-27,43.65,43.9,43.5,43.69,83800,41.99,0.03999999999999915
2014-03-28,43.56,44.0,43.5,43.68,109600,41.98,0.11999999999999744
2014-03-31,43.9,44.09,43.78,44.01,150100,42.3,0.10999999999999943
2014-04-01,43.94,44.11,43.7,44.08,105500,42.37,0.14000000000000057
2014-04-02,44.02,44.12,43.76,44.09,65700,42.38,0.07000000000000028
2014-04-03,43.98,44.19,43.91,44.08,124000,42.37,0.10000000000000142
2014-04-04,44.21,44.34,43.79,43.9,181600,42.19,-0.3100000000000023
2014-04-07,43.75,44.03,43.63,43.76,137400,42.06,0.00999999999999801
2014-04-08,43.85,44.5,43.6,44.41,80700,42.68,0.5599999999999952
2014-04-09,44.42,44.49,44.0,44.35,90400,42.63,-0.07000000000000028
2014-04-10,44.2,44.6,43.83,44.18,132300,42.46,-0.020000000000003126
2014-04-11,43.91,44.26,43.77,44.0,87500,42.29,0.09000000000000341
2014-04-14,44.27,44.56,44.05,44.25,95400,42.53,-0.020000000000003126
2014-04-15,44.21,44.61,44.04,44.58,132100,42.85,0.36999999999999744
2014-04-16,44.64,44.7,44.36,44.5,83900,42.77,-0.14000000000000057
2014-04-17,44.63,44.7,44.31,44.53,98400,42.8,-0.10000000000000142
2014-04-21,44.64,44.85,44.41,44.7,107400,42.96,0.060000000000002274
2014-04-22,44.7,45.05,44.59,44.8,169600,43.06,0.09999999999999432
2014-04-23,44.68,44.99,44.63,44.66,106700,42.92,-0.020000000000003126
2014-04-24,44.76,44.88,44.42,44.53,67600,42.8,-0.22999999999999687
2014-04-25,44.48,44.89,44.31,44.67,137300,42.93,0.19000000000000483
2014-04-28,44.42,44.73,44.23,44.71,163400,43.42,0.28999999999999915
2014-04-29,44.75,44.93,44.37,44.51,117800,43.23,-0.240000000000002
2014-04-30,44.39,44.59,43.86,44.27,305700,42.99,-0.11999999999999744
2014-05-01,44.32,44.45,43.74,44.36,144200,43.08,0.03999999999999915
2014-05-02,44.0,44.45,43.06,43.13,129000,41.89,-0.8699999999999974
2014-05-05,43.1,44.22,43.1,44.01,140900,42.74,0.9099999999999966
2014-05-06,44.0,44.0,43.32,43.4,121100,42.15,-0.6000000000000014
2014-05-07,43.62,44.24,43.62,44.22,96800,42.94,0.6000000000000014
2014-05-08,44.33,44.59,43.66,43.66,107400,42.4,-0.6700000000000017
2014-05-09,43.55,44.12,43.55,44.02,101200,42.75,0.47000000000000597
2014-05-12,44.3,44.76,44.12,44.23,158400,42.95,-0.07000000000000028
2014-05-13,44.09,44.34,43.79,43.8,130300,42.54,-0.29000000000000625
2014-05-14,43.65,44.18,43.51,43.87,98400,42.6,0.21999999999999886
2014-05-15,43.88,44.32,43.58,44.2,112300,42.92,0.3200000000000003
2014-05-16,44.25,44.75,44.22,44.58,122300,43.29,0.3299999999999983
2014-05-19,44.54,44.55,44.06,44.11,60100,42.84,-0.4299999999999997
2014-05-20,43.98,44.16,43.51,43.97,141000,42.7,-0.00999999999999801
2014-05-21,44.2,44.24,43.69,44.05,89500,42.78,-0.15000000000000568
2014-05-22,44.01,44.5,44.01,44.22,73300,42.94,0.21000000000000085
2014-05-23,44.43,44.57,44.21,44.52,116000,43.24,0.09000000000000341
2014-05-27,44.79,45.2,44.64,45.19,230400,43.89,0.3999999999999986
2014-05-28,45.09,45.18,44.95,45.08,121300,43.78,-0.010000000000005116
2014-05-29,45.13,45.18,44.93,45.13,111400,43.83,0.0
2014-05-30,45.2,45.33,45.14,45.27,76700,43.96,0.07000000000000028
2014-06-02,45.27,45.32,44.92,45.07,81700,43.77,-0.20000000000000284
2014-06-03,44.91,45.18,44.8,44.94,81500,43.64,0.030000000000001137
2014-06-04,44.85,45.13,44.79,44.97,67900,43.67,0.11999999999999744
2014-06-05,45.0,45.9,44.97,45.84,125600,44.52,0.8400000000000034
