Date,open,high,low,close,volume,adj_close,diff
2014-01-02,5.29,5.45,5.23,5.33,10671500,5.33,0.040000000000000036
2014-01-03,5.32,5.39,5.18,5.26,5992800,5.26,-0.0600000000000005
2014-01-06,5.25,5.3,4.83,4.84,23041200,4.84,-0.41000000000000014
2014-01-07,4.89,4.97,4.71,4.83,28599200,4.83,-0.05999999999999961
2014-01-08,4.83,4.99,4.8,4.95,19388600,4.95,0.1200000000000001
2014-01-09,4.92,4.94,4.74,4.78,9561500,4.78,-0.13999999999999968
2014-01-10,4.82,4.97,4.75,4.94,12264100,4.94,0.1200000000000001
2014-01-13,4.97,4.99,4.7,4.77,11616300,4.77,-0.20000000000000018
2014-01-14,4.78,4.85,4.7,4.82,6138100,4.82,0.040000000000000036
2014-01-15,4.81,4.86,4.74,4.84,6061000,4.84,0.03000000000000025
2014-01-16,4.79,4.84,4.48,4.77,27657800,4.77,-0.020000000000000462
2014-01-17,4.74,5.03,4.74,4.93,25461300,4.93,0.1899999999999995
2014-01-21,4.99,5.01,4.92,4.96,13912900,4.96,-0.03000000000000025
2014-01-22,4.94,5.08,4.92,5.06,8464300,5.06,0.11999999999999922
2014-01-23,5.04,5.14,4.96,5.14,14039600,5.14,0.09999999999999964
2014-01-24,5.1,5.1,4.97,5.0,16603900,5.0,-0.09999999999999964
2014-01-27,4.98,5.01,4.75,4.86,16317400,4.86,-0.1200000000000001
2014-01-28,4.84,5.0,4.83,4.96,8794200,4.96,0.1200000000000001
2014-01-29,4.88,5.0,4.84,4.88,9570400,4.88,0.0
2014-01-30,4.9,4.95,4.86,4.9,5721900,4.9,0.0
2014-01-31,4.76,4.97,4.74,4.89,18311300,4.89,0.1299999999999999
2014-02-03,4.87,4.9,4.71,4.78,17534900,4.78,-0.08999999999999986
2014-02-04,4.78,4.94,4.78,4.88,12273800,4.88,0.09999999999999964
2014-02-05,4.84,4.88,4.68,4.86,9837400,4.86,0.020000000000000462
2014-02-06,4.86,5.03,4.86,5.01,9171300,5.01,0.14999999999999947
2014-02-07,5.02,5.24,5.02,5.13,7757100,5.13,0.11000000000000032
2014-02-10,5.1,5.12,4.98,5.04,8448600,5.04,-0.05999999999999961
2014-02-11,5.07,5.19,5.04,5.15,6070300,5.15,0.08000000000000007
2014-02-12,5.15,5.29,5.09,5.14,8988300,5.14,-0.010000000000000675
2014-02-13,5.13,5.17,5.06,5.15,3776400,5.15,0.020000000000000462
2014-02-14,5.14,5.16,5.06,5.11,4354700,5.11,-0.02999999999999936
2014-02-18,5.1,5.24,5.1,5.19,5379000,5.19,0.09000000000000075
2014-02-19,5.19,5.22,5.1,5.11,5562800,5.11,-0.08000000000000007
2014-02-20,5.12,5.18,5.1,5.14,3627300,5.14,0.019999999999999574
2014-02-21,5.16,5.18,5.1,5.14,5772000,5.14,-0.020000000000000462
2014-02-24,5.14,5.41,5.12,5.35,13530300,5.35,0.20999999999999996
2014-02-25,4.65,4.88,4.58,4.88,40012400,4.88,0.22999999999999954
2014-02-26,4.84,5.06,4.84,4.99,9598300,4.99,0.15000000000000036
2014-02-27,4.95,5.13,4.91,5.03,17489900,5.03,0.08000000000000007
2014-02-28,5.01,5.04,4.81,4.93,13008700,4.93,-0.08000000000000007
2014-03-03,4.9,4.93,4.82,4.87,10125800,4.87,-0.03000000000000025
2014-03-04,4.93,5.03,4.86,4.99,11357900,4.99,0.0600000000000005
2014-03-05,4.96,4.99,4.88,4.91,5268800,4.91,-0.04999999999999982
2014-03-06,4.71,4.76,4.6,4.63,21281300,4.63,-0.08000000000000007
2014-03-07,4.67,4.67,4.52,4.61,11516000,4.61,-0.05999999999999961
2014-03-10,4.59,4.65,4.56,4.61,7122700,4.61,0.020000000000000462
2014-03-11,4.63,4.65,4.54,4.54,6052900,4.54,-0.08999999999999986
2014-03-12,4.56,4.64,4.54,4.61,6016900,4.61,0.05000000000000071
2014-03-13,4.66,4.71,4.48,4.49,6771500,4.49,-0.16999999999999993
2014-03-14,4.46,4.6,4.45,4.56,6072600,4.56,0.09999999999999964
2014-03-17,4.6,4.65,4.47,4.56,6239800,4.56,-0.040000000000000036
2014-03-18,4.54,4.69,4.53,4.61,5691900,4.61,0.07000000000000028
2014-03-19,4.59,4.63,4.54,4.59,4302400,4.59,0.0
2014-03-20,4.57,4.63,4.5,4.55,7939000,4.55,-0.020000000000000462
2014-03-21,4.54,4.54,4.36,4.37,13805900,4.37,-0.16999999999999993
2014-03-24,4.39,4.42,4.16,4.19,14656900,4.19,-0.1999999999999993
2014-03-25,4.21,4.24,4.05,4.15,12013100,4.15,-0.05999999999999961
2014-03-26,4.16,4.2,3.97,4.05,17634300,4.05,-0.11000000000000032
2014-03-27,4.08,4.14,4.02,4.07,7393700,4.07,-0.009999999999999787
2014-03-28,4.11,4.15,4.06,4.11,5051100,4.11,0.0
2014-03-31,4.14,4.16,4.08,4.13,7687500,4.13,-0.009999999999999787
2014-04-01,4.14,4.25,4.11,4.25,7713200,4.25,0.11000000000000032
2014-04-02,4.28,4.41,4.27,4.3,8624400,4.3,0.019999999999999574
2014-04-03,4.3,4.32,4.17,4.25,5695600,4.25,-0.04999999999999982
2014-04-04,4.3,4.32,4.15,4.2,6192600,4.2,-0.09999999999999964
2014-04-07,4.19,4.23,4.08,4.08,8602000,4.08,-0.11000000000000032
2014-04-08,4.1,4.19,4.08,4.14,6507900,4.14,0.040000000000000036
2014-04-09,4.14,4.27,4.11,4.25,6891500,4.25,0.11000000000000032
2014-04-10,4.24,4.27,4.1,4.14,7058400,4.14,-0.10000000000000053
2014-04-11,4.08,4.17,4.03,4.05,4810600,4.05,-0.03000000000000025
2014-04-14,4.09,4.11,3.94,3.98,6617900,3.98,-0.10999999999999988
2014-04-15,3.99,4.02,3.85,3.96,7985600,3.96,-0.03000000000000025
2014-04-16,3.99,4.08,3.84,3.94,8364800,3.94,-0.050000000000000266
2014-04-17,3.9,4.07,3.9,4.05,10717200,4.05,0.1499999999999999
2014-04-21,4.03,4.08,3.97,4.02,5007500,4.02,-0.010000000000000675
2014-04-22,4.02,4.28,4.02,4.2,6591700,4.2,0.1800000000000006
2014-04-23,4.19,4.24,4.14,4.18,4049400,4.18,-0.010000000000000675
2014-04-24,4.2,4.24,4.12,4.24,4804400,4.24,0.040000000000000036
2014-04-25,4.19,4.21,4.12,4.15,3950200,4.15,-0.040000000000000036
2014-04-28,4.15,4.23,4.0,4.07,6871800,4.07,-0.08000000000000007
2014-04-29,4.07,4.1,3.97,4.03,10460200,4.03,-0.040000000000000036
2014-04-30,4.01,4.12,3.97,4.09,8739900,4.09,0.08000000000000007
2014-05-01,4.1,4.25,4.07,4.24,7899100,4.24,0.14000000000000057
2014-05-02,4.24,4.3,4.18,4.25,4771200,4.25,0.009999999999999787
2014-05-05,4.2,4.24,4.11,4.17,10805800,4.17,-0.03000000000000025
2014-05-06,4.62,5.03,4.59,4.83,61326300,4.83,0.20999999999999996
2014-05-07,4.99,5.0,4.81,5.0,15751100,5.0,0.009999999999999787
2014-05-08,4.97,5.16,4.92,5.05,14707300,5.05,0.08000000000000007
2014-05-09,5.02,5.25,5.02,5.24,18867300,5.24,0.22000000000000064
2014-05-12,5.26,5.32,5.22,5.23,15913500,5.23,-0.02999999999999936
2014-05-13,5.25,5.48,5.24,5.48,16876300,5.48,0.23000000000000043
2014-05-14,5.45,5.52,5.27,5.29,21582100,5.29,-0.16000000000000014
2014-05-15,5.25,5.39,5.12,5.38,9561000,5.38,0.1299999999999999
2014-05-16,5.36,5.38,5.22,5.29,5594900,5.29,-0.07000000000000028
2014-05-19,5.26,5.31,5.19,5.3,5700100,5.3,0.040000000000000036
2014-05-20,5.22,5.25,4.96,4.97,17225600,4.97,-0.25
2014-05-21,4.99,5.19,4.93,4.97,18044100,4.97,-0.020000000000000462
2014-05-22,5.1,5.13,4.97,5.04,6570400,5.04,-0.05999999999999961
2014-05-23,5.01,5.05,4.96,5.04,7286100,5.04,0.03000000000000025
2014-05-27,5.24,5.35,5.14,5.17,9800500,5.17,-0.07000000000000028
2014-05-28,5.18,5.19,5.03,5.15,6591800,5.15,-0.02999999999999936
2014-05-29,5.19,5.19,5.08,5.13,4717900,5.13,-0.0600000000000005
2014-05-30,5.16,5.23,5.01,5.12,6549900,5.12,-0.040000000000000036
2014-06-02,5.15,5.17,5.01,5.13,5477500,5.13,-0.020000000000000462
2014-06-03,5.1,5.16,5.05,5.11,4899900,5.11,0.010000000000000675
2014-06-04,5.08,5.17,5.06,5.16,4123600,5.16,0.08000000000000007
2014-06-05,5.15,5.22,5.03,5.18,7965300,5.18,0.02999999999999936
2014-06-06,5.22,5.23,5.15,5.2,3430700,5.2,-0.019999999999999574
2014-06-09,5.44,5.5,5.32,5.39,12375600,5.39,-0.05000000000000071
2014-06-10,5.37,5.58,5.33,5.56,12413700,5.56,0.1899999999999995
2014-06-11,5.52,5.62,5.4,5.59,7797300,5.59,0.07000000000000028
2014-06-12,5.58,5.58,5.43,5.46,5207600,5.46,-0.1200000000000001
2014-06-13,5.49,5.52,5.36,5.45,6315700,5.45,-0.040000000000000036
2014-06-16,5.45,5.56,5.44,5.53,5904100,5.53,0.08000000000000007
2014-06-17,5.5,5.73,5.48,5.67,10260900,5.67,0.16999999999999993
2014-06-18,5.65,5.82,5.58,5.81,7896200,5.81,0.15999999999999925
2014-06-19,5.81,5.85,5.61,5.67,5903300,5.67,-0.13999999999999968
2014-06-20,5.66,5.73,5.59,5.64,8509400,5.64,-0.020000000000000462
2014-06-23,5.66,5.7,5.53,5.66,5400400,5.66,0.0
2014-06-24,5.63,5.66,5.5,5.52,5713800,5.52,-0.11000000000000032
2014-06-25,5.49,5.57,5.45,5.52,6000800,5.52,0.02999999999999936
2014-06-26,5.53,5.65,5.49,5.61,4926300,5.61,0.08000000000000007
2014-06-27,5.56,5.65,5.52,5.62,9455000,5.62,0.0600000000000005
2014-06-30,5.66,5.7,5.56,5.69,5321300,5.69,0.03000000000000025
2014-07-01,5.69,5.74,5.64,5.7,6273700,5.7,0.009999999999999787
2014-07-02,5.71,5.75,5.67,5.68,3043800,5.68,-0.03000000000000025
2014-07-03,5.71,5.75,5.68,5.74,2043500,5.74,0.03000000000000025
2014-07-07,5.74,5.74,5.62,5.62,3518800,5.62,-0.1200000000000001
2014-07-08,5.63,5.63,5.44,5.49,8045500,5.49,-0.13999999999999968
