Date,open,high,low,close,volume,adj_close,diff
2014-01-02,8.31,8.5,8.18,8.41,4274300,8.41,0.09999999999999964
2014-01-03,8.42,8.65,8.42,8.58,1899300,8.58,0.16000000000000014
2014-01-06,8.54,8.58,8.3,8.36,2833200,8.36,-0.17999999999999972
2014-01-07,8.44,8.56,8.34,8.35,3577000,8.35,-0.08999999999999986
2014-01-08,8.37,8.57,8.28,8.48,2497300,8.48,0.11000000000000121
2014-01-09,8.46,8.58,8.39,8.43,2965900,8.43,-0.030000000000001137
2014-01-10,8.55,8.65,8.37,8.63,2779000,8.63,0.08000000000000007
2014-01-13,8.62,9.19,8.62,8.8,5038300,8.8,0.1800000000000015
2014-01-14,8.92,9.07,8.77,9.0,2895600,9.0,0.08000000000000007
2014-01-15,9.05,9.15,8.73,8.85,3527300,8.85,-0.20000000000000107
2014-01-16,8.88,8.89,8.66,8.8,2232800,8.8,-0.08000000000000007
2014-01-17,8.9,8.9,8.65,8.72,1804200,8.72,-0.17999999999999972
2014-01-21,8.76,8.9,8.63,8.89,2299100,8.89,0.13000000000000078
2014-01-22,8.89,9.15,8.75,8.91,2823000,8.91,0.019999999999999574
2014-01-23,8.83,8.88,8.69,8.83,1700100,8.83,0.0
2014-01-24,8.74,8.79,8.4,8.46,2850600,8.46,-0.27999999999999936
2014-01-27,8.46,8.47,7.81,8.13,6773700,8.13,-0.33000000000000007
2014-01-28,8.17,8.34,7.96,8.17,4689200,8.17,0.0
2014-01-29,8.06,8.15,7.93,7.97,4188800,7.97,-0.09000000000000075
2014-01-30,8.1,8.2,7.99,8.15,2869200,8.15,0.05000000000000071
2014-01-31,8.05,8.05,7.89,7.93,3315200,7.93,-0.120000000000001
2014-02-03,8.02,8.02,7.57,7.65,3636800,7.65,-0.3699999999999992
2014-02-04,7.7,7.77,7.56,7.6,2710500,7.6,-0.10000000000000053
2014-02-05,7.58,7.66,7.32,7.58,4161700,7.58,0.0
2014-02-06,7.58,7.72,7.5,7.65,2516100,7.65,0.07000000000000028
2014-02-07,7.68,7.8,7.58,7.74,2755600,7.74,0.0600000000000005
2014-02-10,7.88,7.9,7.7,7.85,2384300,7.85,-0.03000000000000025
2014-02-11,7.85,7.85,7.71,7.81,1867800,7.81,-0.040000000000000036
2014-02-12,7.78,7.83,7.69,7.74,1487300,7.74,-0.040000000000000036
2014-02-13,7.7,8.47,7.67,8.39,5066500,8.39,0.6900000000000004
2014-02-14,8.56,9.07,8.45,8.49,5562900,8.49,-0.07000000000000028
2014-02-18,8.62,8.78,8.5,8.65,2619400,8.65,0.030000000000001137
2014-02-19,8.61,8.64,8.45,8.48,2770400,8.48,-0.129999999999999
2014-02-20,8.45,8.78,8.36,8.71,2403400,8.71,0.26000000000000156
2014-02-21,8.91,9.2,8.82,8.83,3964100,8.83,-0.08000000000000007
2014-02-24,8.75,9.07,8.71,8.94,2937300,8.94,0.1899999999999995
2014-02-25,8.92,9.15,8.84,9.06,2858900,9.06,0.14000000000000057
2014-02-26,9.06,9.15,8.88,8.96,2190300,8.96,-0.09999999999999964
2014-02-27,8.96,9.37,8.83,9.35,3084100,9.35,0.3899999999999988
2014-02-28,9.46,10.25,9.31,9.52,8307300,9.52,0.05999999999999872
2014-03-03,9.25,9.5,9.2,9.4,2800000,9.4,0.15000000000000036
2014-03-04,9.57,9.86,9.41,9.46,3398300,9.46,-0.10999999999999943
2014-03-05,9.5,9.52,9.34,9.4,1904800,9.4,-0.09999999999999964
2014-03-06,9.45,9.48,8.93,8.99,4003000,8.99,-0.4599999999999991
