Date,open,high,low,close,volume,adj_close,diff
2014-01-02,30.51,30.86,29.35,29.57,239600,29.57,-0.9400000000000013
2014-01-03,29.73,29.75,28.25,28.62,251200,28.62,-1.1099999999999994
2014-01-06,28.53,29.09,28.39,28.73,282700,28.73,0.1999999999999993
2014-01-07,28.98,29.05,28.17,28.45,150000,28.45,-0.5300000000000011
2014-01-08,28.58,30.33,28.5,29.8,299400,29.8,1.2200000000000024
2014-01-09,30.03,30.15,29.0,29.46,327100,29.46,-0.5700000000000003
2014-01-10,29.41,29.6,28.36,28.43,171700,28.43,-0.9800000000000004
2014-01-13,28.45,28.88,27.14,27.39,348400,27.39,-1.0599999999999987
2014-01-14,27.7,29.78,27.53,29.65,293400,29.65,1.9499999999999993
2014-01-15,29.86,30.05,28.27,28.66,132200,28.66,-1.1999999999999993
2014-01-16,28.5,29.82,28.07,29.56,194900,29.56,1.0599999999999987
2014-01-17,29.56,30.0,28.46,28.63,239400,28.63,-0.9299999999999997
2014-01-21,28.88,30.34,28.58,28.86,347600,28.86,-0.019999999999999574
2014-01-22,28.86,29.64,28.51,29.29,214000,29.29,0.4299999999999997
2014-01-23,29.06,29.32,28.63,29.02,196300,29.02,-0.03999999999999915
2014-01-24,28.71,29.41,28.05,28.12,180000,28.12,-0.5899999999999999
2014-01-27,28.17,28.52,26.6,28.04,205900,28.04,-0.13000000000000256
2014-01-28,27.99,28.78,27.2,28.59,274400,28.59,0.6000000000000014
2014-01-29,28.23,28.94,28.23,28.46,289300,28.46,0.23000000000000043
2014-01-30,27.3,27.5,22.11,22.12,2270300,22.12,-5.18
2014-01-31,22.09,22.29,20.58,21.06,875000,21.06,-1.0300000000000011
2014-02-03,20.61,21.13,20.12,20.72,725000,20.72,0.10999999999999943
2014-02-04,20.79,21.14,19.14,19.33,709300,19.33,-1.4600000000000009
2014-02-05,19.07,19.62,18.25,19.43,461400,19.43,0.35999999999999943
2014-02-06,19.36,19.97,19.01,19.31,391400,19.31,-0.05000000000000071
2014-02-07,19.34,19.71,19.05,19.62,275200,19.62,0.28000000000000114
2014-02-10,19.43,19.51,18.89,19.07,310900,19.07,-0.35999999999999943
2014-02-11,19.07,19.44,18.8,19.0,274700,19.0,-0.07000000000000028
2014-02-12,19.0,19.37,18.5,18.59,272900,18.59,-0.41000000000000014
2014-02-13,18.38,19.01,18.35,18.57,220800,18.57,0.19000000000000128
