Date,open,high,low,close,volume,adj_close,diff
2014-01-02,26.46,27.23,26.26,26.76,6227100,26.76,0.3000000000000007
2014-01-03,26.9,27.69,26.77,27.59,6102200,27.59,0.6900000000000013
2014-01-06,29.1,32.45,29.0,31.49,28930300,31.49,2.389999999999997
2014-01-07,31.22,33.7,31.2,32.44,20491800,32.44,1.2199999999999989
2014-01-08,32.66,34.46,32.6,32.7,18482700,32.7,0.04000000000000625
2014-01-09,32.88,33.47,31.94,32.78,10139100,32.78,-0.10000000000000142
2014-01-10,32.84,33.53,32.15,33.47,8242300,33.47,0.6299999999999955
2014-01-13,33.36,34.07,32.06,32.53,9777100,32.53,-0.8299999999999983
2014-01-14,33.25,34.41,32.95,34.13,8832800,34.13,0.8800000000000026
2014-01-15,34.39,35.48,34.34,35.05,9957600,35.05,0.6599999999999966
2014-01-16,34.99,36.3,34.64,35.74,7322700,35.74,0.75
2014-01-17,35.74,36.02,34.61,35.12,6064500,35.12,-0.6200000000000045
2014-01-21,35.65,35.99,34.54,35.01,5919500,35.01,-0.6400000000000006
2014-01-22,35.34,35.7,34.47,34.62,4626400,34.62,-0.720000000000006
2014-01-23,34.72,34.87,33.57,34.64,4373400,34.64,-0.0799999999999983
2014-01-24,34.58,34.58,33.37,33.55,5480700,33.55,-1.0300000000000011
2014-01-27,33.85,34.2,32.36,33.12,5643600,33.12,-0.730000000000004
2014-01-28,33.55,34.05,33.33,33.94,4064600,33.94,0.39000000000000057
2014-01-29,33.51,34.2,32.78,32.92,4874200,32.92,-0.5899999999999963
2014-01-30,35.18,37.95,34.8,36.53,13027200,36.53,1.3500000000000014
2014-01-31,36.71,36.8,35.6,36.07,6491500,36.07,-0.6400000000000006
2014-02-03,36.68,37.73,34.39,34.98,10861000,34.98,-1.7000000000000028
2014-02-04,35.97,36.03,34.77,35.8,5760900,35.8,-0.1700000000000017
2014-02-05,36.06,36.3,34.06,35.83,13238500,35.83,-0.23000000000000398
2014-02-06,33.18,34.0,30.93,32.23,22852800,32.23,-0.9500000000000028
2014-02-07,32.35,34.97,32.32,34.34,11219400,34.34,1.990000000000002
2014-02-10,34.04,35.1,33.36,34.75,10707600,34.75,0.7100000000000009
2014-02-11,34.55,35.74,34.15,35.47,6837200,35.47,0.9200000000000017
2014-02-12,35.61,36.41,35.2,35.64,6286500,35.64,0.030000000000001137
2014-02-13,35.14,36.22,34.9,36.16,7150700,36.16,1.019999999999996
2014-02-14,36.02,36.2,35.64,36.14,6281900,36.14,0.11999999999999744
2014-02-18,36.0,38.21,35.97,37.97,11015000,37.97,1.9699999999999989
2014-02-19,37.77,37.89,36.69,37.09,6112400,37.09,-0.6799999999999997
2014-02-20,37.26,38.17,36.83,37.5,4875900,37.5,0.240000000000002
2014-02-21,37.7,38.42,36.97,37.18,6012800,37.18,-0.5200000000000031
2014-02-24,37.34,37.71,37.06,37.26,4072300,37.26,-0.0800000000000054
2014-02-25,37.4,38.8,37.07,37.84,7536200,37.84,0.44000000000000483
2014-02-26,37.84,39.58,37.64,38.87,8332800,38.87,1.029999999999994
2014-02-27,38.53,39.31,38.15,38.49,4325200,38.49,-0.03999999999999915
2014-02-28,38.51,38.96,36.79,37.42,6986500,37.42,-1.0899999999999963
2014-03-03,36.65,38.08,36.53,37.88,4692400,37.88,1.230000000000004
2014-03-04,38.36,39.68,38.23,39.17,5217200,39.17,0.8100000000000023
2014-03-05,39.6,40.44,39.0,39.43,5138100,39.43,-0.1700000000000017
2014-03-06,37.92,38.66,36.57,37.23,15172000,37.23,-0.6900000000000048
2014-03-07,37.45,37.88,36.72,37.15,5995300,37.15,-0.30000000000000426
2014-03-10,37.15,37.32,35.53,35.9,5372700,35.9,-1.25
2014-03-11,35.99,36.24,34.09,34.21,9282200,34.21,-1.7800000000000011
2014-03-12,33.99,35.79,33.3,35.54,7474700,35.54,1.5499999999999972
2014-03-13,35.67,35.79,34.05,34.72,7389600,34.72,-0.9500000000000028
2014-03-14,34.76,35.53,34.5,35.44,5106900,35.44,0.6799999999999997
2014-03-17,35.83,36.47,34.31,35.11,9024400,35.11,-0.7199999999999989
2014-03-18,35.25,35.25,34.52,34.98,4406900,34.98,-0.2700000000000031
2014-03-19,35.55,36.34,34.78,34.91,7773400,34.91,-0.6400000000000006
2014-03-20,34.51,34.81,33.6,33.72,6035000,33.72,-0.7899999999999991
2014-03-21,33.85,34.24,33.21,34.01,9773400,34.01,0.1599999999999966
2014-03-24,32.87,33.43,30.44,31.39,13618800,31.39,-1.4799999999999969
2014-03-25,31.89,32.1,30.18,31.27,8227800,31.27,-0.620000000000001
2014-03-26,31.28,31.48,29.4,29.69,10338900,29.69,-1.5899999999999999
2014-03-27,29.63,30.98,29.28,29.79,9914900,29.79,0.16000000000000014
2014-03-28,29.88,30.58,29.25,29.55,5784200,29.55,-0.3299999999999983
2014-03-31,30.19,30.47,29.67,30.32,6733400,30.32,0.129999999999999
2014-04-01,30.37,32.07,30.37,31.74,8603900,31.74,1.3699999999999974
2014-04-02,31.72,32.7,31.09,31.44,7920100,31.44,-0.2799999999999976
2014-04-03,32.61,33.7,29.62,29.85,18443000,29.85,-2.759999999999998
2014-04-04,29.87,30.24,27.44,28.4,16372000,28.4,-1.4700000000000024
2014-04-07,28.75,28.95,25.83,26.99,21851300,26.99,-1.7600000000000016
2014-04-08,27.19,28.69,27.16,28.26,17612000,28.26,1.0700000000000003
2014-04-09,28.55,29.8,28.44,29.77,11013500,29.77,1.2199999999999989
2014-04-10,29.7,30.05,25.66,26.66,18306800,26.66,-3.039999999999999
2014-04-11,26.03,26.92,25.06,25.31,16789000,25.31,-0.7200000000000024
2014-04-14,26.0,26.48,24.66,25.27,12203400,25.27,-0.7300000000000004
2014-04-15,26.11,26.53,24.56,26.19,16230600,26.19,0.08000000000000185
2014-04-16,26.41,27.42,25.93,27.34,11023000,27.34,0.9299999999999997
2014-04-17,27.16,27.68,26.7,27.02,7506800,27.02,-0.14000000000000057
2014-04-21,26.88,28.54,26.64,28.36,11577300,28.36,1.4800000000000004
2014-04-22,28.53,29.85,28.52,29.39,13625100,29.39,0.8599999999999994
2014-04-23,29.3,29.36,28.05,28.17,8319300,28.17,-1.129999999999999
2014-04-24,28.8,28.98,27.1,28.2,19333700,28.2,-0.6000000000000014
2014-04-25,25.5,25.87,23.4,23.51,32763000,23.51,-1.9899999999999984
2014-04-28,23.69,24.0,21.47,22.84,22969700,22.84,-0.8500000000000014
2014-04-29,22.81,24.42,22.81,23.92,15400500,23.92,1.110000000000003
2014-04-30,23.6,23.69,22.71,23.42,12886500,23.42,-0.17999999999999972
2014-05-01,23.86,25.36,23.67,24.71,13984400,24.71,0.8500000000000014
2014-05-02,24.47,25.24,24.15,24.31,8433500,24.31,-0.16000000000000014
2014-05-05,24.07,24.78,23.65,24.73,6868900,24.73,0.6600000000000001
2014-05-06,24.72,24.99,22.48,22.52,14900100,22.52,-2.1999999999999993
2014-05-07,22.51,22.71,21.59,22.17,11192200,22.17,-0.33999999999999986
2014-05-08,21.97,23.41,21.82,22.2,9467100,22.2,0.23000000000000043
2014-05-09,22.25,22.94,21.65,22.62,10504700,22.62,0.370000000000001
2014-05-12,23.49,24.06,22.91,23.98,9154900,23.98,0.490000000000002
2014-05-13,23.79,24.68,23.68,23.77,9331000,23.77,-0.019999999999999574
2014-05-14,24.13,24.66,23.56,23.62,7267300,23.62,-0.509999999999998
2014-05-15,23.53,23.73,22.62,23.63,8266600,23.63,0.09999999999999787
2014-05-16,23.66,23.66,22.71,23.43,8229200,23.43,-0.23000000000000043
2014-05-19,23.13,24.75,23.05,24.66,8778900,24.66,1.5300000000000011
2014-05-20,24.53,26.24,23.77,25.03,20975600,25.03,0.5
2014-05-21,24.56,25.21,24.3,24.73,10069500,24.73,0.1700000000000017
2014-05-22,24.65,25.4,24.57,25.05,7712600,25.05,0.40000000000000213
2014-05-23,25.01,25.65,24.56,25.54,7400100,25.54,0.5299999999999976
