Date,open,high,low,close,volume,adj_close,diff
2014-01-02,42.06,42.06,41.01,41.07,636800,39.87,-0.990000000000002
2014-01-03,40.96,41.58,40.64,41.38,417600,40.17,0.4200000000000017
2014-01-06,41.4,41.72,41.0,41.2,380900,39.99,-0.19999999999999574
2014-01-07,41.85,43.45,41.61,42.87,908500,41.61,1.019999999999996
2014-01-08,42.89,43.2,42.88,43.15,613800,41.89,0.259999999999998
2014-01-09,43.19,43.76,43.19,43.75,565100,42.47,0.5600000000000023
2014-01-10,43.52,43.84,43.39,43.63,369100,42.35,0.10999999999999943
2014-01-13,43.43,43.97,43.12,43.29,1109900,42.02,-0.14000000000000057
2014-01-14,43.5,43.5,42.74,42.87,393600,41.61,-0.6300000000000026
2014-01-15,43.09,43.15,42.43,42.68,753900,41.43,-0.4100000000000037
2014-01-16,42.91,42.91,42.19,42.61,276700,41.36,-0.29999999999999716
2014-01-17,42.61,42.72,42.4,42.64,286700,41.39,0.030000000000001137
2014-01-21,42.73,43.65,42.73,43.21,287200,41.94,0.480000000000004
2014-01-22,43.17,43.43,42.97,43.35,452400,42.08,0.17999999999999972
2014-01-23,42.88,43.23,41.47,43.21,1000300,41.94,0.3299999999999983
2014-01-24,43.08,43.33,42.55,43.0,799200,41.74,-0.0799999999999983
2014-01-27,42.97,43.38,41.52,41.56,542400,40.34,-1.4099999999999966
2014-01-28,41.84,42.37,41.67,41.79,566200,40.57,-0.05000000000000426
2014-01-29,41.44,41.57,40.39,40.47,544600,39.28,-0.9699999999999989
2014-01-30,40.95,41.18,40.3,40.86,616600,39.66,-0.09000000000000341
2014-01-31,40.31,40.53,39.86,40.11,418900,38.93,-0.20000000000000284
2014-02-03,39.98,40.17,38.03,38.12,682300,37.0,-1.8599999999999994
2014-02-04,38.16,39.36,38.16,39.31,478200,38.16,1.1500000000000057
2014-02-05,39.18,39.32,38.69,39.07,278700,37.92,-0.10999999999999943
2014-02-06,39.11,39.53,38.91,39.51,288500,38.35,0.3999999999999986
2014-02-07,39.73,40.1,39.34,39.87,281400,38.7,0.14000000000000057
2014-02-10,39.85,40.16,39.35,39.92,307400,38.75,0.07000000000000028
2014-02-11,40.05,40.7,39.63,40.41,246100,39.23,0.35999999999999943
2014-02-12,40.42,41.02,40.05,40.42,223600,39.24,0.0
2014-02-13,40.14,40.2,39.4,40.11,450100,38.93,-0.030000000000001137
2014-02-14,40.07,40.45,39.61,39.73,551500,38.57,-0.3400000000000034
2014-02-18,39.76,40.45,39.58,39.77,517400,38.6,0.010000000000005116
2014-02-19,39.62,39.73,38.32,38.42,854700,37.29,-1.1999999999999957
2014-02-20,38.3,38.63,37.7,38.51,1331200,37.63,0.21000000000000085
2014-02-21,38.71,39.84,38.6,39.78,1011200,38.87,1.0700000000000003
2014-02-24,39.79,40.59,39.61,40.5,962100,39.57,0.7100000000000009
