Date,open,high,low,close,volume,adj_close,diff
2014-01-02,13.14,13.15,13.1,13.14,19700,12.37,0.0
2014-01-03,13.1,13.16,13.1,13.14,12800,12.37,0.040000000000000924
2014-01-06,13.11,13.18,13.09,13.13,22700,12.36,0.02000000000000135
2014-01-07,13.09,13.14,13.09,13.13,10100,12.36,0.040000000000000924
2014-01-08,13.1,13.21,13.1,13.21,23100,12.44,0.11000000000000121
2014-01-09,13.16,13.21,13.13,13.17,30100,12.4,0.009999999999999787
2014-01-10,13.08,13.24,13.08,13.21,52500,12.44,0.13000000000000078
2014-01-13,13.16,13.19,13.15,13.18,16500,12.41,0.019999999999999574
2014-01-14,13.12,13.13,13.09,13.12,32200,12.35,0.0
2014-01-15,13.11,13.11,13.08,13.1,23000,12.33,-0.009999999999999787
2014-01-16,13.1,13.13,13.09,13.11,17900,12.34,0.009999999999999787
2014-01-17,13.12,13.17,13.11,13.17,21600,12.4,0.05000000000000071
2014-01-21,13.16,13.23,13.16,13.22,12600,12.45,0.0600000000000005
2014-01-22,13.21,13.28,13.18,13.28,20600,12.56,0.06999999999999851
2014-01-23,13.25,13.3,13.23,13.3,19900,12.58,0.05000000000000071
2014-01-24,13.32,13.32,13.25,13.26,24200,12.54,-0.0600000000000005
2014-01-27,13.22,13.24,13.13,13.16,21900,12.44,-0.0600000000000005
2014-01-28,13.15,13.21,13.11,13.18,18600,12.46,0.02999999999999936
2014-01-29,13.15,13.18,13.08,13.1,13500,12.39,-0.05000000000000071
2014-01-30,13.11,13.18,13.11,13.14,26000,12.42,0.030000000000001137
2014-01-31,13.14,13.14,13.11,13.13,21700,12.42,-0.009999999999999787
2014-02-03,13.14,13.17,13.11,13.12,34700,12.41,-0.02000000000000135
2014-02-04,13.12,13.19,13.11,13.16,40900,12.44,0.040000000000000924
2014-02-05,13.15,13.2,13.12,13.14,39700,12.42,-0.009999999999999787
2014-02-06,13.13,13.14,13.09,13.11,18900,12.4,-0.02000000000000135
2014-02-07,13.15,13.15,13.11,13.11,18500,12.4,-0.040000000000000924
2014-02-10,13.12,13.15,13.1,13.11,22400,12.4,-0.009999999999999787
2014-02-11,13.05,13.18,13.05,13.15,28100,12.43,0.09999999999999964
2014-02-12,13.18,13.18,13.09,13.1,30000,12.39,-0.08000000000000007
2014-02-13,13.1,13.13,13.05,13.08,18300,12.37,-0.019999999999999574
2014-02-14,13.08,13.17,13.08,13.14,27900,12.42,0.0600000000000005
2014-02-18,13.13,13.2,13.13,13.17,25500,12.45,0.03999999999999915
2014-02-19,13.16,13.17,13.14,13.14,18900,12.48,-0.019999999999999574
2014-02-20,13.15,13.18,13.13,13.13,45400,12.47,-0.019999999999999574
2014-02-21,13.14,13.19,13.13,13.16,12600,12.5,0.019999999999999574
2014-02-24,13.18,13.21,13.18,13.2,9300,12.54,0.019999999999999574
2014-02-25,13.21,13.33,13.2,13.25,5800,12.58,0.03999999999999915
2014-02-26,13.25,13.34,13.25,13.34,19700,12.67,0.08999999999999986
2014-02-27,13.34,13.35,13.33,13.33,22800,12.66,-0.009999999999999787
2014-02-28,13.37,13.37,13.3,13.37,10700,12.7,0.0
2014-03-03,13.41,13.41,13.34,13.39,13500,12.72,-0.019999999999999574
2014-03-04,13.4,13.43,13.39,13.41,9900,12.74,0.009999999999999787
2014-03-05,13.4,13.41,13.34,13.37,5600,12.7,-0.030000000000001137
2014-03-06,13.36,13.36,13.3,13.32,10200,12.65,-0.03999999999999915
2014-03-07,13.31,13.31,13.2,13.21,21400,12.55,-0.09999999999999964
2014-03-10,13.19,13.27,13.19,13.22,41500,12.56,0.030000000000001137
2014-03-11,13.23,13.31,13.22,13.28,25400,12.61,0.049999999999998934
2014-03-12,13.24,13.33,13.24,13.32,16500,12.65,0.08000000000000007
2014-03-13,13.37,13.44,13.32,13.34,12400,12.67,-0.02999999999999936
2014-03-14,13.31,13.36,13.28,13.28,11000,12.61,-0.030000000000001137
2014-03-17,13.29,13.33,13.28,13.31,16000,12.64,0.02000000000000135
2014-03-18,13.32,13.37,13.31,13.33,36900,12.66,0.009999999999999787
2014-03-19,13.32,13.32,13.15,13.15,18400,12.54,-0.16999999999999993
2014-03-20,13.17,13.17,13.11,13.13,18600,12.52,-0.03999999999999915
2014-03-21,13.14,13.23,13.14,13.18,7200,12.57,0.03999999999999915
2014-03-24,13.18,13.24,13.18,13.18,16400,12.57,0.0
2014-03-25,13.24,13.26,13.19,13.2,30600,12.59,-0.040000000000000924
2014-03-26,13.21,13.23,13.2,13.21,13500,12.6,0.0
2014-03-27,13.27,13.32,13.23,13.31,32700,12.7,0.040000000000000924
2014-03-28,13.31,13.34,13.3,13.31,25000,12.7,0.0
2014-03-31,13.33,13.35,13.27,13.27,72900,12.66,-0.0600000000000005
2014-04-01,13.26,13.29,13.25,13.27,18400,12.66,0.009999999999999787
2014-04-02,13.27,13.39,13.27,13.35,52500,12.73,0.08000000000000007
2014-04-03,13.29,13.41,13.29,13.32,48400,12.71,0.030000000000001137
2014-04-04,13.31,13.47,13.31,13.34,70500,12.72,0.02999999999999936
2014-04-07,13.34,13.42,13.34,13.37,46300,12.75,0.02999999999999936
2014-04-08,13.38,13.46,13.38,13.46,32300,12.84,0.08000000000000007
2014-04-09,13.44,13.55,13.42,13.53,54700,12.91,0.08999999999999986
2014-04-10,13.48,13.55,13.46,13.54,39600,12.92,0.05999999999999872
2014-04-11,13.53,13.58,13.5,13.52,42000,12.9,-0.009999999999999787
2014-04-14,13.53,13.6,13.53,13.58,34300,12.95,0.05000000000000071
2014-04-15,13.53,13.61,13.53,13.58,10900,13.01,0.05000000000000071
2014-04-16,13.61,13.77,13.61,13.66,11900,13.09,0.05000000000000071
2014-04-17,13.66,13.66,13.6,13.62,24400,13.05,-0.040000000000000924
2014-04-21,13.62,13.69,13.62,13.63,17900,13.06,0.010000000000001563
2014-04-22,13.65,13.72,13.63,13.63,17500,13.06,-0.019999999999999574
2014-04-23,13.63,13.78,13.63,13.7,6900,13.12,0.06999999999999851
2014-04-24,13.69,13.72,13.66,13.71,13500,13.13,0.02000000000000135
2014-04-25,13.72,13.72,13.68,13.7,8200,13.12,-0.02000000000000135
2014-04-28,13.7,13.72,13.68,13.7,9900,13.12,0.0
2014-04-29,13.67,13.69,13.63,13.67,60600,13.1,0.0
2014-04-30,13.66,13.67,13.62,13.63,15100,13.06,-0.02999999999999936
2014-05-01,13.65,13.67,13.62,13.65,9600,13.08,0.0
2014-05-02,13.67,13.7,13.66,13.68,6500,13.11,0.009999999999999787
2014-05-05,13.68,13.72,13.68,13.7,11400,13.12,0.019999999999999574
2014-05-06,13.69,13.8,13.66,13.68,44500,13.11,-0.009999999999999787
2014-05-07,13.69,13.74,13.67,13.68,17800,13.11,-0.009999999999999787
2014-05-08,13.67,13.7,13.66,13.67,7200,13.1,0.0
2014-05-09,13.62,13.68,13.62,13.64,5600,13.07,0.02000000000000135
2014-05-12,13.64,13.73,13.64,13.67,13400,13.1,0.02999999999999936
2014-05-13,13.65,13.69,13.65,13.67,13600,13.1,0.019999999999999574
2014-05-14,13.59,13.69,13.59,13.67,30100,13.1,0.08000000000000007
2014-05-15,13.67,13.68,13.64,13.66,46800,13.09,-0.009999999999999787
