Date,open,high,low,close,volume,adj_close,diff
2014-01-02,14.12,14.25,14.12,14.15,9900,13.91,0.030000000000001137
2014-01-03,14.25,14.28,14.25,14.28,9600,14.03,0.02999999999999936
2014-01-06,14.28,14.28,14.28,14.28,0,14.03,0.0
2014-01-07,14.26,14.28,14.15,14.15,5000,13.91,-0.10999999999999943
2014-01-08,14.0,14.0,14.0,14.0,100,13.76,0.0
2014-01-09,14.0,14.0,14.0,14.0,0,13.76,0.0
2014-01-10,14.02,14.02,14.0,14.0,2000,13.76,-0.019999999999999574
2014-01-13,14.05,14.05,14.05,14.05,500,13.81,0.0
2014-01-14,14.22,14.22,14.0,14.0,1300,13.76,-0.22000000000000064
2014-01-15,14.05,14.05,14.05,14.05,2700,13.81,0.0
2014-01-16,14.05,14.05,14.05,14.05,0,13.81,0.0
2014-01-17,13.9,14.19,13.9,13.95,5800,13.71,0.049999999999998934
2014-01-21,13.95,13.95,13.94,13.95,1500,13.71,0.0
2014-01-22,13.92,13.92,13.9,13.9,600,13.66,-0.019999999999999574
2014-01-23,13.9,13.9,13.85,13.9,2600,13.66,0.0
2014-01-24,13.85,13.85,13.85,13.85,600,13.61,0.0
2014-01-27,13.85,13.85,13.85,13.85,0,13.61,0.0
2014-01-28,13.98,14.0,13.87,13.87,900,13.63,-0.11000000000000121
2014-01-29,14.0,14.0,13.98,13.98,700,13.79,-0.019999999999999574
2014-01-30,13.8,13.82,13.75,13.75,1200,13.56,-0.05000000000000071
2014-01-31,13.92,14.0,13.92,14.0,1600,13.81,0.08000000000000007
2014-02-03,13.76,13.81,13.76,13.79,800,13.6,0.02999999999999936
2014-02-04,13.8,14.0,13.75,13.98,6500,13.79,0.17999999999999972
2014-02-05,13.98,13.98,13.98,13.98,0,13.79,0.0
2014-02-06,13.98,13.98,13.98,13.98,0,13.79,0.0
2014-02-07,13.98,14.05,13.98,14.05,1000,13.86,0.07000000000000028
2014-02-10,13.9,13.9,13.75,13.75,4800,13.56,-0.15000000000000036
2014-02-11,13.87,13.91,13.85,13.85,1200,13.66,-0.019999999999999574
2014-02-12,13.85,13.85,13.85,13.85,0,13.66,0.0
2014-02-13,14.01,14.01,14.01,14.01,200,13.82,0.0
2014-02-14,13.9,13.92,13.88,13.9,7200,13.71,0.0
2014-02-18,13.9,13.9,13.9,13.9,3000,13.71,0.0
2014-02-19,13.9,13.9,13.9,13.9,0,13.71,0.0
2014-02-20,13.9,13.9,13.9,13.9,200,13.71,0.0
2014-02-21,14.02,14.02,14.02,14.02,200,13.83,0.0
2014-02-24,14.05,14.05,12.46,13.51,7800,13.33,-0.5400000000000009
2014-02-25,13.62,13.93,13.62,13.83,1400,13.64,0.21000000000000085
2014-02-26,13.75,13.87,13.75,13.87,3500,13.68,0.11999999999999922
