Date,open,high,low,close,volume,adj_close,diff
2014-01-02,12.65,12.8,12.6,12.78,129600,11.96,0.129999999999999
2014-01-03,12.7,12.82,12.64,12.82,160200,12.0,0.120000000000001
2014-01-06,12.83,12.91,12.78,12.88,136000,12.06,0.05000000000000071
2014-01-07,12.87,12.98,12.82,12.98,80200,12.15,0.11000000000000121
2014-01-08,12.96,13.08,12.95,13.04,110200,12.21,0.0799999999999983
2014-01-09,13.01,13.05,12.95,12.97,114700,12.14,-0.03999999999999915
2014-01-10,12.98,13.08,12.97,12.97,75200,12.14,-0.009999999999999787
2014-01-13,12.97,13.01,12.89,12.91,112300,12.08,-0.0600000000000005
2014-01-14,12.88,12.91,12.72,12.75,119100,11.93,-0.13000000000000078
2014-01-15,12.72,12.87,12.67,12.85,184200,12.03,0.129999999999999
2014-01-16,12.88,12.97,12.83,12.92,65800,12.09,0.03999999999999915
2014-01-17,12.91,12.99,12.88,12.98,65800,12.15,0.07000000000000028
2014-01-21,12.98,13.0,12.91,12.99,88100,12.16,0.009999999999999787
2014-01-22,12.99,13.03,12.93,13.03,64900,12.2,0.03999999999999915
2014-01-23,13.03,13.13,13.03,13.12,60500,12.28,0.08999999999999986
2014-01-24,13.06,13.12,12.95,13.01,62100,12.18,-0.05000000000000071
2014-01-27,12.96,12.96,12.79,12.93,143700,12.1,-0.030000000000001137
2014-01-28,12.86,12.92,12.83,12.9,95200,12.08,0.040000000000000924
2014-01-29,12.9,12.96,12.84,12.89,104400,12.07,-0.009999999999999787
2014-01-30,12.81,12.86,12.78,12.81,83000,11.99,0.0
2014-01-31,12.69,12.85,12.69,12.85,60700,12.03,0.16000000000000014
2014-02-03,12.8,12.85,12.76,12.83,116200,12.01,0.02999999999999936
2014-02-04,12.76,12.86,12.7,12.81,62800,11.99,0.05000000000000071
2014-02-05,12.74,12.85,12.74,12.84,60300,12.02,0.09999999999999964
2014-02-06,12.79,12.97,12.79,12.97,82600,12.14,0.1800000000000015
2014-02-07,12.94,13.01,12.94,13.0,99400,12.17,0.0600000000000005
2014-02-10,12.97,12.98,12.88,12.93,72900,12.1,-0.040000000000000924
2014-02-11,12.83,12.96,12.83,12.95,93200,12.12,0.11999999999999922
2014-02-12,12.91,12.93,12.81,12.93,93200,12.1,0.019999999999999574
2014-02-13,12.94,13.03,12.91,12.99,79300,12.16,0.05000000000000071
2014-02-14,13.0,13.0,12.94,12.99,62500,12.16,-0.009999999999999787
2014-02-18,12.87,12.92,12.86,12.86,75000,12.11,-0.009999999999999787
2014-02-19,12.84,12.85,12.78,12.79,140900,12.04,-0.05000000000000071
2014-02-20,12.75,12.77,12.62,12.67,118600,11.93,-0.08000000000000007
2014-02-21,12.66,12.75,12.61,12.74,78200,11.99,0.08000000000000007
2014-02-24,12.7,12.8,12.68,12.74,104100,11.99,0.040000000000000924
2014-02-25,12.72,12.83,12.69,12.79,82400,12.04,0.06999999999999851
2014-02-26,12.74,12.78,12.72,12.75,82900,12.0,0.009999999999999787
2014-02-27,12.72,12.82,12.72,12.81,116000,12.06,0.08999999999999986
2014-02-28,12.8,12.9,12.79,12.9,108700,12.15,0.09999999999999964
2014-03-03,12.85,12.91,12.85,12.88,80100,12.13,0.030000000000001137
2014-03-04,12.9,12.96,12.85,12.96,60500,12.2,0.0600000000000005
2014-03-05,12.92,13.06,12.91,13.03,82700,12.27,0.10999999999999943
2014-03-06,13.01,13.07,12.95,12.95,95100,12.19,-0.0600000000000005
2014-03-07,12.96,13.0,12.88,12.95,64200,12.19,-0.010000000000001563
2014-03-10,12.9,13.02,12.9,12.92,74600,12.16,0.019999999999999574
2014-03-11,12.98,12.98,12.89,12.89,106300,12.14,-0.08999999999999986
2014-03-12,12.85,12.91,12.75,12.8,135200,12.05,-0.049999999999998934
2014-03-13,12.78,12.91,12.75,12.75,91100,12.0,-0.02999999999999936
2014-03-14,12.72,12.76,12.64,12.64,60900,11.97,-0.08000000000000007
2014-03-17,12.65,12.75,12.6,12.65,105700,11.98,0.0
2014-03-18,12.65,12.71,12.65,12.67,80000,12.0,0.019999999999999574
2014-03-19,12.66,12.78,12.66,12.77,55700,12.09,0.10999999999999943
2014-03-20,12.69,12.7,12.6,12.64,89200,11.97,-0.049999999999998934
2014-03-21,12.69,12.74,12.64,12.71,72300,12.04,0.02000000000000135
2014-03-24,12.67,12.67,12.58,12.63,89900,11.96,-0.03999999999999915
2014-03-25,12.67,12.71,12.66,12.7,45800,12.03,0.02999999999999936
2014-03-26,12.66,12.67,12.61,12.61,56600,11.94,-0.05000000000000071
