Date,open,high,low,close,volume,adj_close,diff
2014-01-02,8.13,8.22,7.97,8.0,534500,8.0,-0.13000000000000078
2014-01-03,7.99,8.19,7.99,8.09,890700,8.09,0.09999999999999964
2014-01-06,8.19,8.67,8.16,8.38,1443000,8.38,0.19000000000000128
2014-01-07,8.45,8.49,7.95,8.07,1224100,8.07,-0.379999999999999
2014-01-08,8.09,8.15,7.82,8.02,816100,8.02,-0.07000000000000028
2014-01-09,8.05,8.08,7.69,7.86,849600,7.86,-0.1900000000000004
2014-01-10,7.88,8.01,7.77,7.95,530000,7.95,0.07000000000000028
2014-01-13,7.92,7.95,7.61,7.68,782000,7.68,-0.2400000000000002
2014-01-14,7.74,7.91,7.72,7.87,441800,7.87,0.1299999999999999
2014-01-15,7.88,7.98,7.79,7.93,594200,7.93,0.04999999999999982
2014-01-16,8.05,8.13,7.96,8.01,690000,8.01,-0.040000000000000924
2014-01-17,7.99,8.1,7.95,8.06,618300,8.06,0.07000000000000028
2014-01-21,8.11,8.3,8.1,8.22,767200,8.22,0.11000000000000121
2014-01-22,8.24,8.35,8.2,8.26,498800,8.26,0.019999999999999574
2014-01-23,8.25,8.25,8.04,8.15,570300,8.15,-0.09999999999999964
2014-01-24,8.06,8.07,7.57,7.81,912800,7.81,-0.2500000000000009
2014-01-27,7.86,7.87,7.45,7.61,641800,7.61,-0.25
2014-01-28,7.61,7.74,7.51,7.72,599400,7.72,0.10999999999999943
2014-01-29,7.62,7.74,7.52,7.59,602300,7.59,-0.03000000000000025
2014-01-30,7.71,7.75,7.52,7.6,591400,7.6,-0.11000000000000032
2014-01-31,7.5,7.58,7.41,7.44,988000,7.44,-0.05999999999999961
2014-02-03,7.44,7.48,7.03,7.09,702600,7.09,-0.35000000000000053
2014-02-04,7.17,7.28,7.1,7.16,448200,7.16,-0.009999999999999787
2014-02-05,7.11,7.11,6.85,6.93,587600,6.93,-0.1800000000000006
2014-02-06,6.98,7.15,6.95,7.04,459400,7.04,0.05999999999999961
2014-02-07,7.06,7.16,6.88,7.14,658100,7.14,0.08000000000000007
2014-02-10,7.12,7.13,6.93,6.93,506200,6.93,-0.1900000000000004
2014-02-11,6.93,7.12,6.92,7.1,501400,7.1,0.16999999999999993
2014-02-12,7.11,7.25,7.02,7.02,487200,7.02,-0.09000000000000075
2014-02-13,6.99,7.35,6.98,7.33,536000,7.33,0.33999999999999986
2014-02-14,7.34,7.45,7.28,7.32,364600,7.32,-0.019999999999999574
2014-02-18,7.37,7.44,7.21,7.42,533700,7.42,0.04999999999999982
2014-02-19,7.4,7.64,7.39,7.58,735500,7.58,0.17999999999999972
2014-02-20,7.6,8.1,7.59,8.09,1101800,8.09,0.4900000000000002
2014-02-21,8.15,8.18,7.84,7.93,780000,7.93,-0.22000000000000064
2014-02-24,7.95,8.35,7.95,8.23,838700,8.23,0.28000000000000025
2014-02-25,8.23,8.23,7.87,8.2,759700,8.2,-0.030000000000001137
2014-02-26,8.12,8.15,7.37,7.71,1473000,7.71,-0.40999999999999925
2014-02-27,7.65,7.9,7.57,7.86,658300,7.86,0.20999999999999996
2014-02-28,7.89,8.2,7.89,8.07,797600,8.07,0.1800000000000006
2014-03-03,7.95,8.03,7.8,7.86,694300,7.86,-0.08999999999999986
2014-03-04,7.95,8.12,7.88,7.97,1033600,7.97,0.019999999999999574
2014-03-05,7.95,8.03,7.8,7.81,817300,7.81,-0.14000000000000057
2014-03-06,7.86,8.0,7.83,7.86,604800,7.86,0.0
2014-03-07,7.94,7.94,7.67,7.72,845900,7.72,-0.22000000000000064
2014-03-10,7.69,7.69,7.32,7.51,967600,7.51,-0.1800000000000006
2014-03-11,7.54,7.58,7.21,7.26,1022400,7.26,-0.28000000000000025
2014-03-12,7.25,7.25,7.04,7.12,904000,7.12,-0.1299999999999999
2014-03-13,7.16,7.31,6.95,7.1,744900,7.1,-0.0600000000000005
2014-03-14,7.1,7.2,7.07,7.18,623600,7.18,0.08000000000000007
2014-03-17,7.25,7.35,7.1,7.21,454500,7.21,-0.040000000000000036
2014-03-18,7.2,7.29,7.17,7.24,627100,7.24,0.040000000000000036
2014-03-19,7.25,7.29,7.15,7.22,553500,7.22,-0.03000000000000025
2014-03-20,7.21,7.31,7.16,7.26,295900,7.26,0.04999999999999982
2014-03-21,7.31,7.35,7.23,7.3,1185700,7.3,-0.009999999999999787
2014-03-24,7.33,7.39,7.16,7.21,877600,7.21,-0.1200000000000001
2014-03-25,7.29,7.38,7.1,7.24,713600,7.24,-0.04999999999999982
2014-03-26,7.25,7.29,6.89,6.89,951200,6.89,-0.3600000000000003
2014-03-27,6.9,7.14,6.9,6.95,790600,6.95,0.04999999999999982
2014-03-28,6.99,7.09,6.95,7.01,1021400,7.01,0.019999999999999574
2014-03-31,7.08,7.13,6.88,7.09,1706900,7.09,0.009999999999999787
2014-04-01,7.11,7.2,7.04,7.16,1426000,7.16,0.04999999999999982
2014-04-02,7.16,7.39,7.16,7.35,1495800,7.35,0.1899999999999995
2014-04-03,7.37,7.37,7.05,7.09,1124200,7.09,-0.28000000000000025
2014-04-04,7.16,7.24,6.91,6.96,856500,6.96,-0.20000000000000018
2014-04-07,6.92,6.97,6.66,6.66,822200,6.66,-0.2599999999999998
2014-04-08,6.66,6.8,6.58,6.73,1577200,6.73,0.07000000000000028
2014-04-09,6.78,6.96,6.7,6.88,1372600,6.88,0.09999999999999964
2014-04-10,6.88,7.0,6.75,6.8,984300,6.8,-0.08000000000000007
2014-04-11,6.76,6.99,6.72,6.83,1376600,6.83,0.07000000000000028
2014-04-14,6.85,6.89,6.57,6.61,1093900,6.61,-0.23999999999999932
2014-04-15,6.63,6.72,6.42,6.57,1144300,6.57,-0.05999999999999961
2014-04-16,6.61,6.64,6.43,6.49,701100,6.49,-0.1200000000000001
2014-04-17,6.49,6.59,6.29,6.52,919300,6.52,0.02999999999999936
2014-04-21,6.55,6.75,6.5,6.72,654300,6.72,0.16999999999999993
2014-04-22,6.72,6.77,6.62,6.68,605700,6.68,-0.040000000000000036
2014-04-23,6.69,7.1,6.69,6.9,1056700,6.9,0.20999999999999996
2014-04-24,6.95,6.97,6.79,6.79,669900,6.79,-0.16000000000000014
2014-04-25,6.76,6.79,6.48,6.5,1196300,6.5,-0.2599999999999998
2014-04-28,6.52,6.59,6.28,6.37,1023100,6.37,-0.14999999999999947
2014-04-29,6.49,6.63,6.44,6.55,888100,6.55,0.05999999999999961
2014-04-30,6.53,6.65,6.39,6.63,1025000,6.63,0.09999999999999964
2014-05-01,6.64,6.66,6.47,6.54,864700,6.54,-0.09999999999999964
2014-05-02,6.54,6.74,6.5,6.7,842500,6.7,0.16000000000000014
2014-05-05,6.7,6.71,6.53,6.61,444700,6.61,-0.08999999999999986
2014-05-06,6.61,6.68,6.48,6.49,511300,6.49,-0.1200000000000001
2014-05-07,6.52,6.53,6.33,6.51,674300,6.51,-0.009999999999999787
2014-05-08,6.54,6.74,6.33,6.33,1126700,6.33,-0.20999999999999996
2014-05-09,6.33,6.33,6.01,6.16,1343100,6.16,-0.16999999999999993
2014-05-12,6.2,6.34,6.18,6.32,924300,6.32,0.1200000000000001
2014-05-13,6.3,6.4,6.16,6.24,1867900,6.24,-0.05999999999999961
2014-05-14,6.25,6.36,6.15,6.15,1706900,6.15,-0.09999999999999964
2014-05-15,6.14,6.14,5.88,5.99,1410500,5.99,-0.14999999999999947
2014-05-16,5.97,6.02,5.9,5.98,774700,5.98,0.010000000000000675
2014-05-19,5.97,6.16,5.95,6.09,876000,6.09,0.1200000000000001
2014-05-20,6.06,6.07,5.95,6.0,1246700,6.0,-0.05999999999999961
2014-05-21,6.04,6.22,6.04,6.12,1219700,6.12,0.08000000000000007
2014-05-22,6.12,6.29,6.11,6.2,861000,6.2,0.08000000000000007
2014-05-23,6.22,6.38,6.21,6.31,481800,6.31,0.08999999999999986
2014-05-27,6.33,6.48,6.33,6.38,539200,6.38,0.04999999999999982
2014-05-28,6.36,6.42,6.27,6.33,513400,6.33,-0.03000000000000025
2014-05-29,6.35,6.46,6.35,6.45,410000,6.45,0.10000000000000053
2014-05-30,6.46,6.54,6.39,6.47,670800,6.47,0.009999999999999787
2014-06-02,6.5,6.54,6.31,6.33,607400,6.33,-0.16999999999999993
2014-06-03,6.37,6.41,6.25,6.39,824800,6.39,0.019999999999999574
2014-06-04,6.51,6.51,6.35,6.36,586200,6.36,-0.14999999999999947
2014-06-05,6.39,6.55,6.31,6.55,890600,6.55,0.16000000000000014
2014-06-06,6.59,6.69,6.54,6.67,712600,6.67,0.08000000000000007
2014-06-09,6.66,7.1,6.62,7.04,1626100,7.04,0.3799999999999999
2014-06-10,7.06,7.06,6.93,6.96,694300,6.96,-0.09999999999999964
2014-06-11,6.96,7.04,6.9,7.03,510800,7.03,0.07000000000000028
2014-06-12,7.03,7.18,7.03,7.08,592100,7.08,0.04999999999999982
2014-06-13,7.13,7.13,7.0,7.03,522000,7.03,-0.09999999999999964
2014-06-16,7.04,7.04,6.9,6.95,521200,6.95,-0.08999999999999986
