Date,open,high,low,close,volume,adj_close,diff
2014-01-02,51.72,51.72,50.29,51.29,62300,50.94,-0.4299999999999997
2014-01-03,51.28,51.65,50.6,50.98,41900,50.64,-0.30000000000000426
2014-01-06,51.13,51.5,50.51,50.59,52100,50.25,-0.5399999999999991
2014-01-07,50.86,51.63,50.43,50.75,37100,50.41,-0.10999999999999943
2014-01-08,50.73,51.34,50.73,51.05,24000,50.71,0.3200000000000003
2014-01-09,51.13,51.5,50.41,51.19,34400,50.84,0.05999999999999517
2014-01-10,51.33,51.7,50.73,51.25,26500,50.9,-0.0799999999999983
2014-01-13,51.26,51.41,50.74,50.85,60000,50.51,-0.4099999999999966
2014-01-14,50.97,51.6,50.81,51.24,29200,50.89,0.2700000000000031
2014-01-15,50.91,51.39,50.72,50.9,35800,50.56,-0.00999999999999801
2014-01-16,50.9,51.2,50.75,51.1,23500,50.75,0.20000000000000284
2014-01-17,51.17,51.5,50.61,50.97,18200,50.63,-0.20000000000000284
2014-01-21,51.35,51.81,50.85,51.3,24800,50.95,-0.05000000000000426
2014-01-22,51.48,51.72,50.95,51.12,19600,50.77,-0.35999999999999943
2014-01-23,50.99,51.35,50.73,50.92,27100,50.58,-0.07000000000000028
2014-01-24,50.65,50.85,49.35,50.33,61400,49.99,-0.3200000000000003
2014-01-27,50.32,50.62,48.56,48.59,33300,48.26,-1.7299999999999969
2014-01-28,48.51,49.23,48.2,49.23,33900,48.9,0.7199999999999989
2014-01-29,48.99,51.03,48.16,48.23,27400,47.9,-0.7600000000000051
2014-01-30,48.81,49.76,47.9,48.96,35200,48.63,0.14999999999999858
2014-01-31,48.02,48.57,47.05,47.8,49300,47.48,-0.22000000000000597
2014-02-03,47.86,47.92,44.5,45.41,70400,45.1,-2.450000000000003
2014-02-04,45.39,46.48,45.15,46.13,43400,45.82,0.740000000000002
2014-02-05,45.83,45.83,44.27,44.51,38000,44.21,-1.3200000000000003
2014-02-06,44.78,45.03,43.39,44.67,38900,44.37,-0.10999999999999943
2014-02-07,44.73,45.24,43.51,44.37,43400,44.07,-0.35999999999999943
2014-02-10,44.15,44.68,43.42,44.52,36800,44.22,0.37000000000000455
2014-02-11,44.51,44.51,43.11,44.06,40000,43.76,-0.44999999999999574
2014-02-12,43.97,46.0,43.77,45.69,35400,45.38,1.7199999999999989
2014-02-13,45.62,49.15,45.24,48.36,57500,48.03,2.740000000000002
2014-02-14,48.07,48.36,46.8,47.5,48500,47.18,-0.5700000000000003
2014-02-18,47.59,48.33,47.39,48.06,32700,47.74,0.46999999999999886
2014-02-19,47.76,48.49,47.76,48.24,38800,47.91,0.480000000000004
