Date,open,high,low,close,volume,adj_close,diff
2014-01-02,47.29,47.29,47.29,47.29,100,47.29,0.0
2014-01-03,48.46,48.46,48.46,48.46,200,48.46,0.0
2014-01-06,47.52,50.25,47.52,50.0,6300,50.0,2.479999999999997
2014-01-07,50.49,50.49,49.81,49.81,6700,49.81,-0.6799999999999997
2014-01-08,49.81,49.81,49.81,49.81,0,49.81,0.0
2014-01-09,50.0,50.0,50.0,50.0,400,50.0,0.0
2014-01-10,50.0,50.0,50.0,50.0,0,50.0,0.0
2014-01-13,51.32,51.32,50.0,50.0,900,50.0,-1.3200000000000003
2014-01-14,50.0,50.01,50.0,50.01,200,50.01,0.00999999999999801
2014-01-15,50.01,50.01,50.01,50.01,0,50.01,0.0
2014-01-16,50.0,50.0,50.0,50.0,100,50.0,0.0
2014-01-17,50.28,52.0,50.0,51.9,2300,51.9,1.6199999999999974
2014-01-21,50.51,51.77,50.51,51.77,1500,51.77,1.2600000000000051
2014-01-22,52.43,53.55,52.43,53.55,800,53.55,1.1199999999999974
2014-01-23,53.0,53.0,53.0,53.0,700,53.0,0.0
2014-01-24,53.45,54.39,53.45,54.3,400,54.3,0.8499999999999943
2014-01-27,54.5,56.0,54.5,55.7,1300,55.7,1.2000000000000028
2014-01-28,55.7,55.7,55.7,55.7,0,55.7,0.0
2014-01-29,55.7,55.7,55.7,55.7,0,55.7,0.0
2014-01-30,55.7,55.7,55.7,55.7,0,55.7,0.0
2014-01-31,55.7,55.7,55.7,55.7,0,55.7,0.0
2014-02-03,52.06,52.06,52.06,52.06,400,52.06,0.0
2014-02-04,49.27,49.27,49.27,49.27,300,49.27,0.0
2014-02-05,50.53,50.53,50.53,50.53,200,50.53,0.0
2014-02-06,51.34,51.34,50.15,50.15,400,50.15,-1.1900000000000048
2014-02-07,50.2,50.2,50.2,50.2,400,50.2,0.0
2014-02-10,50.2,50.2,50.2,50.2,0,50.2,0.0
2014-02-11,54.91,54.91,50.81,50.81,500,50.81,-4.099999999999994
2014-02-12,52.68,52.68,52.59,52.59,300,52.59,-0.0899999999999963
2014-02-13,51.07,51.1,51.07,51.1,400,51.1,0.030000000000001137
2014-02-14,51.1,51.1,51.1,51.1,0,51.1,0.0
