Date,open,high,low,close,volume,adj_close,diff
2014-01-02,3.15,3.15,3.15,3.15,400,3.15,0.0
2014-01-03,3.16,3.16,3.16,3.16,100,3.16,0.0
2014-01-06,3.16,3.16,3.02,3.1,9300,3.1,-0.06000000000000005
2014-01-07,3.15,3.22,3.12,3.2,9100,3.2,0.050000000000000266
2014-01-08,3.19,3.19,3.16,3.19,500,3.19,0.0
2014-01-09,3.15,3.17,3.11,3.16,5700,3.16,0.010000000000000231
2014-01-10,3.15,3.15,3.1,3.15,3000,3.15,0.0
2014-01-13,3.11,3.19,3.11,3.15,1100,3.15,0.040000000000000036
2014-01-14,3.11,3.15,3.1,3.13,6900,3.13,0.020000000000000018
2014-01-15,3.13,3.13,2.97,3.12,15100,3.12,-0.009999999999999787
2014-01-16,3.15,3.15,3.03,3.04,4100,3.04,-0.10999999999999988
2014-01-17,3.11,3.11,3.11,3.11,600,3.11,0.0
2014-01-21,3.12,3.12,3.1,3.1,1900,3.1,-0.020000000000000018
2014-01-22,3.1,3.1,3.1,3.1,0,3.1,0.0
2014-01-23,3.02,3.07,2.98,3.02,6500,3.02,0.0
2014-01-24,3.03,3.03,3.01,3.01,3200,3.01,-0.020000000000000018
2014-01-27,3.02,3.08,2.99,2.99,15100,2.99,-0.029999999999999805
2014-01-28,3.05,3.06,3.01,3.01,3500,3.01,-0.040000000000000036
2014-01-29,3.07,3.08,2.96,2.96,24900,2.96,-0.10999999999999988
2014-01-30,3.0,3.24,3.0,3.24,31600,3.24,0.2400000000000002
2014-01-31,3.13,3.13,3.13,3.13,1600,3.13,0.0
2014-02-03,3.2,3.21,3.13,3.13,6500,3.13,-0.07000000000000028
2014-02-04,3.08,3.12,2.99,3.06,51600,3.06,-0.020000000000000018
2014-02-05,3.06,3.06,3.06,3.06,0,3.06,0.0
2014-02-06,3.06,3.06,3.06,3.06,500,3.06,0.0
2014-02-07,3.03,3.13,2.99,2.99,400,2.99,-0.03999999999999959
2014-02-10,2.99,2.99,2.99,2.99,0,2.99,0.0
2014-02-11,2.99,2.99,2.99,2.99,0,2.99,0.0
2014-02-12,3.02,3.07,3.0,3.07,1400,3.07,0.04999999999999982
2014-02-13,3.11,3.11,3.07,3.07,1900,3.07,-0.040000000000000036
2014-02-14,3.05,3.06,3.05,3.05,4400,3.05,0.0
2014-02-18,3.06,3.19,3.05,3.05,20900,3.05,-0.010000000000000231
2014-02-19,3.07,3.23,3.07,3.23,7200,3.23,0.16000000000000014
2014-02-20,3.17,3.19,3.1,3.15,4300,3.15,-0.020000000000000018
2014-02-21,3.12,3.22,3.1,3.11,500,3.11,-0.010000000000000231
2014-02-24,3.11,3.22,3.11,3.11,2800,3.11,0.0
2014-02-25,3.17,3.17,3.16,3.16,200,3.16,-0.009999999999999787
2014-02-26,3.25,3.25,3.25,3.25,1000,3.25,0.0
2014-02-27,3.25,3.26,3.24,3.24,3600,3.24,-0.009999999999999787
2014-02-28,3.26,3.32,3.22,3.22,7700,3.22,-0.03999999999999959
2014-03-03,3.25,3.32,3.22,3.22,28600,3.22,-0.029999999999999805
2014-03-04,3.25,3.25,3.24,3.24,3300,3.24,-0.009999999999999787
2014-03-05,3.2,3.22,3.2,3.22,200,3.22,0.020000000000000018
2014-03-06,3.25,3.31,3.22,3.23,56600,3.23,-0.020000000000000018
2014-03-07,3.23,3.26,3.19,3.25,37700,3.25,0.020000000000000018
2014-03-10,3.25,3.25,3.25,3.25,0,3.25,0.0
2014-03-11,3.18,3.24,3.1,3.24,6100,3.24,0.06000000000000005
2014-03-12,3.12,3.27,3.08,3.27,31800,3.27,0.1499999999999999
2014-03-13,3.21,3.49,3.0,3.34,1157500,3.34,0.1299999999999999
2014-03-14,3.32,3.35,3.25,3.35,30800,3.35,0.03000000000000025
2014-03-17,3.32,3.36,3.18,3.21,6400,3.21,-0.10999999999999988
2014-03-18,3.2,3.4,3.2,3.21,9400,3.21,0.009999999999999787
2014-03-19,3.3,3.4,3.16,3.27,123600,3.27,-0.029999999999999805
2014-03-20,3.31,3.37,3.24,3.3,115100,3.3,-0.010000000000000231
2014-03-21,3.4,3.4,3.29,3.35,21400,3.35,-0.04999999999999982
2014-03-24,3.3,3.4,3.19,3.19,84800,3.19,-0.10999999999999988
2014-03-25,3.3,3.3,3.16,3.21,7400,3.21,-0.08999999999999986
2014-03-26,3.36,3.36,3.19,3.2,7000,3.2,-0.1599999999999997
2014-03-27,3.19,3.2,3.16,3.2,6600,3.2,0.010000000000000231
2014-03-28,3.21,3.31,3.17,3.3,98600,3.3,0.08999999999999986
2014-03-31,3.3,3.35,3.26,3.3,62700,3.3,0.0
2014-04-01,3.34,3.4,3.3,3.4,14600,3.4,0.06000000000000005
2014-04-02,3.4,3.47,3.3,3.35,59500,3.35,-0.04999999999999982
2014-04-03,3.33,3.43,3.28,3.28,44600,3.28,-0.050000000000000266
2014-04-04,3.42,3.43,3.35,3.35,2600,3.35,-0.06999999999999984
2014-04-07,3.31,3.37,3.24,3.34,24300,3.34,0.029999999999999805
2014-04-08,3.38,3.39,3.28,3.28,6500,3.28,-0.10000000000000009
2014-04-09,3.33,3.35,3.28,3.34,31900,3.34,0.009999999999999787
2014-04-10,3.31,3.37,3.24,3.3,7700,3.3,-0.010000000000000231
2014-04-11,3.26,3.33,3.21,3.22,28700,3.22,-0.03999999999999959
2014-04-14,3.35,3.35,3.34,3.34,300,3.34,-0.010000000000000231
2014-04-15,3.29,3.31,3.14,3.22,33100,3.22,-0.06999999999999984
2014-04-16,3.15,3.15,3.04,3.14,42900,3.14,-0.009999999999999787
2014-04-17,3.1,3.15,3.05,3.05,25600,3.05,-0.050000000000000266
2014-04-21,3.05,3.15,3.04,3.04,13000,3.04,-0.009999999999999787
2014-04-22,3.05,3.05,3.05,3.05,13400,3.05,0.0
2014-04-23,3.05,3.07,2.97,3.0,64900,3.0,-0.04999999999999982
2014-04-24,3.05,3.33,3.05,3.25,70000,3.25,0.20000000000000018
2014-04-25,3.27,3.35,3.25,3.35,37100,3.35,0.08000000000000007
2014-04-28,3.39,3.39,3.2,3.29,7200,3.29,-0.10000000000000009
2014-04-29,3.21,3.32,3.21,3.29,500,3.29,0.08000000000000007
2014-04-30,3.21,3.26,3.21,3.21,2700,3.21,0.0
2014-05-01,3.21,3.25,3.06,3.12,48400,3.12,-0.08999999999999986
2014-05-02,3.19,3.19,3.1,3.15,13900,3.15,-0.040000000000000036
2014-05-05,3.13,3.3,3.1,3.21,22800,3.21,0.08000000000000007
2014-05-06,3.28,3.28,3.28,3.28,600,3.28,0.0
2014-05-07,3.24,3.3,3.22,3.22,1500,3.22,-0.020000000000000018
2014-05-08,3.22,3.22,3.22,3.22,300,3.22,0.0
2014-05-09,3.22,3.29,3.2,3.26,3000,3.26,0.03999999999999959
2014-05-12,3.21,3.24,3.18,3.24,4700,3.24,0.03000000000000025
2014-05-13,3.26,3.29,3.09,3.15,62900,3.15,-0.10999999999999988
2014-05-14,3.15,3.19,3.15,3.19,5000,3.19,0.040000000000000036
2014-05-15,3.15,3.2,3.13,3.14,16100,3.14,-0.009999999999999787
2014-05-16,3.15,3.21,3.15,3.2,9100,3.2,0.050000000000000266
2014-05-19,3.28,3.37,3.21,3.35,334400,3.35,0.07000000000000028
2014-05-20,3.35,3.39,3.2,3.21,47300,3.21,-0.14000000000000012
