Date,open,high,low,close,volume,adj_close,diff
2014-01-02,8.08,8.19,8.01,8.09,19000,8.09,0.009999999999999787
2014-01-03,8.1,8.14,7.96,7.99,33400,7.99,-0.10999999999999943
2014-01-06,7.96,8.16,7.96,7.98,22200,7.98,0.020000000000000462
2014-01-07,8.06,8.06,7.9,7.95,30700,7.95,-0.11000000000000032
2014-01-08,7.95,8.08,7.94,8.05,27400,8.05,0.10000000000000053
2014-01-09,8.09,8.15,7.93,7.98,12100,7.98,-0.10999999999999943
2014-01-10,8.0,8.0,7.99,8.0,10600,8.0,0.0
2014-01-13,8.0,8.0,7.93,8.0,27200,8.0,0.0
2014-01-14,8.0,8.0,7.95,7.97,10800,7.97,-0.03000000000000025
2014-01-15,8.01,8.07,8.0,8.04,47200,8.04,0.02999999999999936
2014-01-16,8.04,8.1,7.97,8.09,5800,8.09,0.05000000000000071
2014-01-17,8.05,8.1,8.0,8.03,31700,8.03,-0.02000000000000135
2014-01-21,8.02,8.03,7.91,7.95,17200,7.95,-0.0699999999999994
2014-01-22,7.91,7.99,7.75,7.94,40400,7.94,0.03000000000000025
2014-01-23,7.87,7.99,7.8,7.89,16000,7.89,0.019999999999999574
2014-01-24,7.84,7.86,7.34,7.55,90200,7.55,-0.29000000000000004
2014-01-27,7.51,7.51,7.31,7.39,43200,7.39,-0.1200000000000001
2014-01-28,7.37,7.54,7.22,7.36,26800,7.36,-0.009999999999999787
2014-01-29,7.86,7.86,7.05,7.11,44900,7.11,-0.75
2014-01-30,7.05,7.06,6.36,6.38,137800,6.38,-0.6699999999999999
2014-01-31,6.37,6.5,6.15,6.34,112800,6.34,-0.03000000000000025
2014-02-03,6.38,6.48,6.0,6.13,74000,6.13,-0.25
2014-02-04,6.13,6.7,6.13,6.45,42000,6.45,0.3200000000000003
2014-02-05,6.49,6.58,6.25,6.29,35600,6.29,-0.20000000000000018
2014-02-06,6.44,6.63,6.37,6.43,27800,6.43,-0.010000000000000675
2014-02-07,6.51,6.51,6.25,6.26,44000,6.26,-0.25
2014-02-10,6.3,6.6,6.3,6.32,31300,6.32,0.020000000000000462
2014-02-11,6.31,6.66,5.6,6.17,204800,6.17,-0.13999999999999968
2014-02-12,6.16,6.17,5.87,6.07,42900,6.07,-0.08999999999999986
2014-02-13,5.8,6.35,5.64,6.35,40500,6.35,0.5499999999999998
2014-02-14,6.3,6.61,6.28,6.5,27900,6.5,0.20000000000000018
2014-02-18,6.5,6.54,6.32,6.53,20500,6.53,0.03000000000000025
2014-02-19,6.58,6.65,6.4,6.4,19600,6.4,-0.17999999999999972
2014-02-20,6.39,6.48,6.33,6.38,8000,6.38,-0.009999999999999787
2014-02-21,6.32,6.51,6.29,6.41,16500,6.41,0.08999999999999986
2014-02-24,6.4,6.67,6.21,6.46,24400,6.46,0.05999999999999961
2014-02-25,6.47,6.64,6.29,6.5,5700,6.5,0.03000000000000025
2014-02-26,6.47,6.59,6.43,6.54,26100,6.54,0.07000000000000028
2014-02-27,6.86,6.88,6.32,6.62,47000,6.62,-0.2400000000000002
2014-02-28,6.6,6.6,6.35,6.4,15800,6.4,-0.1999999999999993
2014-03-03,6.25,6.5,6.22,6.49,8700,6.49,0.2400000000000002
2014-03-04,6.51,6.61,6.36,6.48,33600,6.48,-0.02999999999999936
2014-03-05,6.43,6.43,6.05,6.17,36200,6.17,-0.2599999999999998
2014-03-06,6.14,6.31,6.0,6.12,22400,6.12,-0.019999999999999574
2014-03-07,6.04,6.15,5.73,5.89,101000,5.89,-0.15000000000000036
2014-03-10,5.81,6.02,5.79,6.02,20400,6.02,0.20999999999999996
2014-03-11,6.07,6.18,5.9,5.99,28900,5.99,-0.08000000000000007
2014-03-12,5.89,6.04,5.89,5.98,22600,5.98,0.09000000000000075
2014-03-13,6.04,6.06,6.0,6.02,20500,6.02,-0.020000000000000462
2014-03-14,6.01,6.05,5.99,6.04,18400,6.04,0.03000000000000025
2014-03-17,6.07,6.09,5.95,5.98,24100,5.98,-0.08999999999999986
2014-03-18,5.96,6.11,5.88,6.04,32000,6.04,0.08000000000000007
2014-03-19,6.04,6.09,5.96,6.02,24700,6.02,-0.020000000000000462
2014-03-20,5.94,5.94,5.6,5.8,82600,5.8,-0.14000000000000057
2014-03-21,5.74,5.74,5.38,5.55,154800,5.55,-0.1900000000000004
