Date,open,high,low,close,volume,adj_close,diff
2014-01-02,13.82,14.26,13.75,14.24,227400,13.87,0.41999999999999993
2014-01-03,15.57,15.94,14.86,14.91,723700,14.53,-0.6600000000000001
2014-01-06,14.9,15.03,14.46,14.5,245200,14.13,-0.40000000000000036
2014-01-07,14.58,14.71,14.52,14.61,172400,14.24,0.02999999999999936
2014-01-08,14.55,14.55,14.28,14.52,187300,14.15,-0.030000000000001137
2014-01-09,14.59,14.75,14.45,14.61,186900,14.24,0.019999999999999574
2014-01-10,14.64,14.73,14.5,14.64,108600,14.26,0.0
2014-01-13,14.58,14.73,14.43,14.5,115100,14.13,-0.08000000000000007
2014-01-14,14.53,14.75,14.51,14.66,83500,14.28,0.13000000000000078
2014-01-15,14.69,14.83,14.6,14.65,94500,14.27,-0.03999999999999915
2014-01-16,14.58,14.86,14.57,14.82,83900,14.44,0.2400000000000002
2014-01-17,14.78,14.82,14.57,14.62,65400,14.25,-0.16000000000000014
2014-01-21,14.71,14.96,14.67,14.92,156600,14.54,0.20999999999999908
2014-01-22,14.92,15.02,14.87,14.98,318000,14.6,0.0600000000000005
2014-01-23,14.86,14.96,14.69,14.94,110000,14.56,0.08000000000000007
2014-01-24,14.82,14.89,14.51,14.66,201300,14.28,-0.16000000000000014
2014-01-27,14.66,14.68,14.27,14.28,156300,13.91,-0.3800000000000008
2014-01-28,14.34,14.34,14.06,14.17,184900,13.81,-0.16999999999999993
2014-01-29,13.96,14.14,13.28,13.73,156700,13.38,-0.23000000000000043
2014-01-30,13.84,13.96,13.65,13.84,166300,13.49,0.0
2014-01-31,13.53,13.97,13.44,13.48,280500,13.13,-0.049999999999998934
2014-02-03,13.43,14.0,12.97,13.05,200200,12.72,-0.379999999999999
2014-02-04,13.09,13.41,13.08,13.23,149600,12.89,0.14000000000000057
2014-02-05,13.14,13.22,12.8,12.94,111900,12.61,-0.20000000000000107
2014-02-06,12.97,13.25,12.96,13.15,116400,12.81,0.17999999999999972
2014-02-07,13.18,13.35,12.92,13.21,105400,12.87,0.030000000000001137
2014-02-10,13.17,13.17,12.78,13.07,89600,12.73,-0.09999999999999964
2014-02-11,13.05,13.21,12.83,13.14,110100,12.8,0.08999999999999986
2014-02-12,13.14,13.34,12.99,13.29,77600,12.95,0.14999999999999858
2014-02-13,13.14,13.58,13.14,13.55,58300,13.2,0.41000000000000014
2014-02-14,13.54,13.54,13.09,13.44,62300,13.1,-0.09999999999999964
2014-02-18,13.41,13.86,13.25,13.41,85400,13.13,0.0
2014-02-19,13.35,13.38,12.69,13.07,113900,12.8,-0.27999999999999936
2014-02-20,13.11,13.24,12.94,13.16,66800,12.89,0.05000000000000071
2014-02-21,13.23,13.31,13.11,13.18,115100,12.91,-0.05000000000000071
2014-02-24,13.19,13.49,13.19,13.27,141200,13.0,0.08000000000000007
