Date,open,high,low,close,volume,adj_close,diff
2014-01-02,2.3,2.37,2.3,2.36,56600,2.36,0.06000000000000005
2014-01-03,2.4,2.56,2.38,2.51,378600,2.51,0.10999999999999988
2014-01-06,2.48,2.5,2.35,2.38,107200,2.38,-0.10000000000000009
2014-01-07,2.38,2.45,2.38,2.42,52600,2.42,0.040000000000000036
2014-01-08,2.43,2.48,2.37,2.44,106400,2.44,0.009999999999999787
2014-01-09,2.45,2.47,2.36,2.36,45200,2.36,-0.0900000000000003
2014-01-10,2.41,2.42,2.31,2.35,37300,2.35,-0.06000000000000005
2014-01-13,2.34,2.38,2.27,2.28,80200,2.28,-0.06000000000000005
2014-01-14,2.28,2.37,2.25,2.34,46500,2.34,0.06000000000000005
2014-01-15,2.34,2.4,2.34,2.39,50300,2.39,0.050000000000000266
2014-01-16,2.41,2.62,2.33,2.56,265200,2.56,0.1499999999999999
2014-01-17,2.49,2.6,2.36,2.38,171300,2.38,-0.11000000000000032
2014-01-21,2.4,2.5,2.28,2.34,258000,2.34,-0.06000000000000005
2014-01-22,2.31,2.37,2.22,2.22,161800,2.22,-0.08999999999999986
2014-01-23,2.25,2.29,2.16,2.18,138800,2.18,-0.06999999999999984
2014-01-24,2.13,2.17,2.1,2.14,188400,2.14,0.010000000000000231
2014-01-27,2.16,2.16,2.05,2.06,121600,2.06,-0.10000000000000009
2014-01-28,2.07,2.2,2.07,2.18,61700,2.18,0.11000000000000032
2014-01-29,2.16,2.18,2.1,2.11,76800,2.11,-0.050000000000000266
2014-01-30,2.1,2.13,2.08,2.13,31300,2.13,0.029999999999999805
2014-01-31,2.1,2.11,2.07,2.1,29000,2.1,0.0
2014-02-03,2.09,2.11,2.03,2.06,69000,2.06,-0.029999999999999805
2014-02-04,2.05,2.08,2.04,2.06,22800,2.06,0.010000000000000231
2014-02-05,2.04,2.04,2.01,2.02,40900,2.02,-0.020000000000000018
2014-02-06,2.05,2.07,2.04,2.04,28000,2.04,-0.009999999999999787
2014-02-07,2.07,2.17,2.07,2.12,45600,2.12,0.050000000000000266
2014-02-10,2.11,2.14,2.09,2.14,20800,2.14,0.03000000000000025
2014-02-11,2.11,2.15,2.11,2.13,16400,2.13,0.020000000000000018
2014-02-12,2.1,2.17,2.06,2.15,81800,2.15,0.04999999999999982
2014-02-13,2.16,2.21,2.14,2.15,48800,2.15,-0.010000000000000231
2014-02-14,2.15,2.18,2.12,2.14,30700,2.14,-0.009999999999999787
2014-02-18,2.12,2.18,2.11,2.12,16900,2.12,0.0
2014-02-19,2.12,2.2,2.12,2.14,46600,2.14,0.020000000000000018
2014-02-20,2.2,2.42,2.15,2.27,317200,2.27,0.06999999999999984
2014-02-21,2.23,2.32,2.22,2.3,101700,2.3,0.06999999999999984
2014-02-24,2.27,2.34,2.04,2.17,181300,2.17,-0.10000000000000009
2014-02-25,2.13,2.17,2.11,2.11,39100,2.11,-0.020000000000000018
2014-02-26,2.14,2.16,2.11,2.12,30200,2.12,-0.020000000000000018
2014-02-27,2.19,2.2,2.1,2.12,33900,2.12,-0.06999999999999984
2014-02-28,2.12,2.16,2.1,2.1,28000,2.1,-0.020000000000000018
2014-03-03,2.06,2.15,2.06,2.1,52700,2.1,0.040000000000000036
2014-03-04,2.14,2.14,2.08,2.13,54400,2.13,-0.010000000000000231
2014-03-05,2.1,2.4,2.1,2.32,197300,2.32,0.21999999999999975
2014-03-06,2.23,2.52,2.23,2.25,435100,2.25,0.020000000000000018
2014-03-07,2.34,2.34,2.11,2.15,130200,2.15,-0.18999999999999995
2014-03-10,2.13,2.17,2.09,2.12,63000,2.12,-0.009999999999999787
2014-03-11,2.12,2.18,2.12,2.14,26500,2.14,0.020000000000000018
2014-03-12,2.12,2.15,2.12,2.14,15900,2.14,0.020000000000000018
2014-03-13,2.12,2.15,2.08,2.1,117700,2.1,-0.020000000000000018
2014-03-14,2.1,2.12,2.08,2.08,26200,2.08,-0.020000000000000018
2014-03-17,2.08,2.19,2.08,2.13,40900,2.13,0.04999999999999982
2014-03-18,2.12,2.25,2.12,2.2,90100,2.2,0.08000000000000007
2014-03-19,2.14,2.2,2.12,2.16,41100,2.16,0.020000000000000018
2014-03-20,2.14,2.17,2.1,2.11,29500,2.11,-0.03000000000000025
2014-03-21,2.13,2.15,2.11,2.11,31200,2.11,-0.020000000000000018
2014-03-24,2.18,2.22,2.1,2.16,83000,2.16,-0.020000000000000018
2014-03-25,2.2,2.24,2.12,2.18,123500,2.18,-0.020000000000000018
2014-03-26,2.17,2.18,2.08,2.1,83600,2.1,-0.06999999999999984
2014-03-27,2.16,2.16,2.1,2.13,20800,2.13,-0.03000000000000025
2014-03-28,2.11,2.19,2.11,2.12,33900,2.12,0.010000000000000231
2014-03-31,2.13,2.2,2.07,2.18,68300,2.18,0.050000000000000266
2014-04-01,2.2,2.35,2.19,2.23,181800,2.23,0.029999999999999805
2014-04-02,2.25,2.3,2.16,2.24,41900,2.24,-0.009999999999999787
2014-04-03,2.25,2.27,2.12,2.15,70000,2.15,-0.10000000000000009
2014-04-04,2.14,2.2,2.08,2.12,78300,2.12,-0.020000000000000018
2014-04-07,2.1,2.16,2.1,2.14,31900,2.14,0.040000000000000036
2014-04-08,2.14,2.18,2.12,2.16,34100,2.16,0.020000000000000018
2014-04-09,2.17,2.18,2.15,2.17,45500,2.17,0.0
2014-04-10,2.15,2.19,2.12,2.13,49100,2.13,-0.020000000000000018
2014-04-11,2.13,2.15,2.09,2.12,81800,2.12,-0.009999999999999787
2014-04-14,2.1,2.12,2.08,2.09,45700,2.09,-0.010000000000000231
2014-04-15,2.09,2.1,2.03,2.07,97600,2.07,-0.020000000000000018
