Date,open,high,low,close,volume,adj_close,diff
2014-01-02,14.53,14.53,14.02,14.42,958200,14.42,-0.10999999999999943
2014-01-03,14.41,14.49,14.29,14.39,460900,14.39,-0.019999999999999574
2014-01-06,14.42,14.53,14.3,14.39,436100,14.39,-0.02999999999999936
2014-01-07,14.38,14.45,14.26,14.35,319900,14.35,-0.030000000000001137
2014-01-08,14.31,14.32,14.09,14.21,613100,14.21,-0.09999999999999964
2014-01-09,14.26,14.3,14.1,14.26,364700,14.26,0.0
2014-01-10,14.25,14.28,14.08,14.2,282700,14.2,-0.05000000000000071
2014-01-13,14.15,14.24,14.1,14.17,588200,14.17,0.019999999999999574
2014-01-14,14.26,14.37,13.97,14.0,558600,14.0,-0.2599999999999998
2014-01-15,14.02,14.14,14.02,14.05,462700,14.05,0.030000000000001137
2014-01-16,14.08,14.17,14.0,14.04,277000,14.04,-0.040000000000000924
2014-01-17,14.01,14.05,13.89,13.96,296100,13.96,-0.049999999999998934
2014-01-21,14.0,14.09,13.97,14.0,433800,14.0,0.0
2014-01-22,14.04,14.13,13.92,13.94,256500,13.94,-0.09999999999999964
2014-01-23,13.88,13.97,13.76,13.95,405400,13.95,0.06999999999999851
2014-01-24,13.84,13.84,13.4,13.42,1015500,13.42,-0.41999999999999993
2014-01-27,12.5,12.69,11.55,12.09,4026700,12.09,-0.41000000000000014
2014-01-28,11.65,12.22,11.48,12.04,2041500,12.04,0.3899999999999988
2014-01-29,11.98,12.42,11.92,12.39,1984500,12.39,0.41000000000000014
2014-01-30,12.43,12.79,12.01,12.32,1614900,12.32,-0.10999999999999943
2014-01-31,12.3,12.66,12.23,12.33,1015500,12.33,0.02999999999999936
2014-02-03,12.49,12.69,12.34,12.59,1865900,12.59,0.09999999999999964
2014-02-04,12.68,12.75,12.58,12.6,732000,12.6,-0.08000000000000007
2014-02-05,12.59,12.74,12.5,12.65,703900,12.65,0.0600000000000005
2014-02-06,12.7,12.98,12.65,12.85,1177400,12.85,0.15000000000000036
2014-02-07,12.89,12.99,12.8,12.86,530000,12.86,-0.030000000000001137
2014-02-10,12.87,13.19,12.77,13.13,1282100,13.13,0.26000000000000156
2014-02-11,13.17,13.23,13.03,13.07,398700,13.07,-0.09999999999999964
2014-02-12,13.11,13.32,13.1,13.27,396600,13.27,0.16000000000000014
2014-02-13,13.22,13.4,13.15,13.32,456700,13.32,0.09999999999999964
2014-02-14,13.34,13.38,13.24,13.31,273700,13.31,-0.02999999999999936
2014-02-18,13.32,13.5,13.2,13.35,642600,13.35,0.02999999999999936
2014-02-19,13.35,13.4,13.21,13.25,584500,13.25,-0.09999999999999964
2014-02-20,13.27,13.56,13.27,13.42,412000,13.42,0.15000000000000036
2014-02-21,13.46,13.59,13.44,13.58,470700,13.58,0.11999999999999922
2014-02-24,13.58,13.85,13.58,13.75,567400,13.75,0.16999999999999993
2014-02-25,13.82,14.0,13.75,13.97,372300,13.97,0.15000000000000036
2014-02-26,13.98,14.11,13.9,13.99,530800,13.99,0.009999999999999787
2014-02-27,13.95,14.0,13.82,13.9,433900,13.9,-0.049999999999998934
2014-02-28,13.92,14.12,13.9,14.06,487000,14.06,0.14000000000000057
2014-03-03,14.01,14.16,13.9,14.08,282000,14.08,0.07000000000000028
2014-03-04,14.18,14.55,14.15,14.23,521800,14.23,0.05000000000000071
2014-03-05,14.24,14.29,14.08,14.14,431200,14.14,-0.09999999999999964
2014-03-06,14.17,14.25,14.07,14.17,262800,14.17,0.0
2014-03-07,14.23,14.27,14.1,14.18,468000,14.18,-0.05000000000000071
2014-03-10,14.2,14.48,14.15,14.36,406300,14.36,0.16000000000000014
2014-03-11,14.38,14.4,14.18,14.22,473500,14.22,-0.16000000000000014
2014-03-12,14.19,14.32,14.13,14.31,319900,14.31,0.120000000000001
2014-03-13,14.35,14.41,14.2,14.25,352900,14.25,-0.09999999999999964
2014-03-14,14.25,14.42,14.22,14.36,278900,14.36,0.10999999999999943
2014-03-17,14.4,14.64,14.25,14.3,267000,14.3,-0.09999999999999964
2014-03-18,14.33,14.53,14.11,14.53,218100,14.53,0.1999999999999993
2014-03-19,14.55,14.55,14.12,14.14,215300,14.14,-0.41000000000000014
2014-03-20,14.14,14.32,14.02,14.08,643400,14.08,-0.0600000000000005
2014-03-21,14.1,14.2,14.01,14.1,945000,14.1,0.0
2014-03-24,14.14,14.15,13.79,13.91,718000,13.91,-0.23000000000000043
2014-03-25,13.97,14.12,13.87,13.9,660200,13.9,-0.07000000000000028
2014-03-26,13.93,13.93,13.73,13.74,509800,13.74,-0.1899999999999995
2014-03-27,13.76,13.86,13.31,13.43,556300,13.43,-0.33000000000000007
2014-03-28,13.35,13.61,13.32,13.52,287100,13.52,0.16999999999999993
2014-03-31,13.58,13.93,13.54,13.7,392500,13.7,0.11999999999999922
2014-04-01,13.68,13.79,13.56,13.73,233200,13.73,0.05000000000000071
2014-04-02,13.72,13.96,13.7,13.87,242600,13.87,0.14999999999999858
2014-04-03,13.87,13.95,13.68,13.7,203100,13.7,-0.16999999999999993
2014-04-04,13.79,13.86,13.39,13.52,363400,13.52,-0.2699999999999996
2014-04-07,13.5,13.57,13.36,13.46,552300,13.46,-0.03999999999999915
2014-04-08,13.46,13.67,13.44,13.5,286000,13.5,0.03999999999999915
2014-04-09,13.54,13.67,13.5,13.57,269300,13.57,0.030000000000001137
2014-04-10,13.58,13.62,13.37,13.41,518900,13.41,-0.16999999999999993
2014-04-11,13.32,13.32,13.1,13.25,554300,13.25,-0.07000000000000028
2014-04-14,13.36,13.38,13.18,13.25,387500,13.25,-0.10999999999999943
2014-04-15,13.25,13.35,12.95,13.29,468700,13.29,0.03999999999999915
2014-04-16,13.38,13.38,13.04,13.11,280500,13.11,-0.27000000000000135
2014-04-17,13.1,13.32,13.1,13.25,256000,13.25,0.15000000000000036
2014-04-21,13.25,13.34,13.21,13.3,222700,13.3,0.05000000000000071
2014-04-22,13.3,13.49,13.22,13.29,379700,13.29,-0.010000000000001563
2014-04-23,13.28,13.44,13.19,13.39,266500,13.39,0.11000000000000121
2014-04-24,13.47,13.47,13.12,13.15,207100,13.15,-0.3200000000000003
2014-04-25,13.13,13.23,13.01,13.21,321300,13.21,0.08000000000000007
2014-04-28,13.24,13.24,12.96,13.1,408200,13.1,-0.14000000000000057
2014-04-29,13.19,13.31,13.09,13.17,428300,13.17,-0.019999999999999574
2014-04-30,13.0,13.18,12.62,13.14,951000,13.14,0.14000000000000057
2014-05-01,13.04,13.08,12.72,12.92,939300,12.92,-0.11999999999999922
2014-05-02,12.9,13.45,12.87,13.23,701500,13.23,0.33000000000000007
2014-05-05,13.19,13.5,13.1,13.4,737200,13.4,0.21000000000000085
2014-05-06,13.36,13.37,13.11,13.21,526700,13.21,-0.14999999999999858
2014-05-07,13.34,13.56,13.19,13.33,602500,13.33,-0.009999999999999787
2014-05-08,13.32,13.5,13.17,13.19,475800,13.19,-0.13000000000000078
2014-05-09,13.2,13.86,13.15,13.85,538100,13.85,0.6500000000000004
2014-05-12,13.87,14.02,13.84,13.97,652300,13.97,0.10000000000000142
2014-05-13,14.0,14.04,13.78,13.94,423300,13.94,-0.0600000000000005
2014-05-14,13.88,13.88,13.45,13.45,365000,13.45,-0.4300000000000015
2014-05-15,13.4,13.55,13.12,13.49,419000,13.49,0.08999999999999986
2014-05-16,13.45,13.46,13.3,13.44,298500,13.44,-0.009999999999999787
2014-05-19,13.4,13.49,13.32,13.48,276000,13.48,0.08000000000000007
2014-05-20,13.48,13.48,13.06,13.19,630100,13.19,-0.2900000000000009
2014-05-21,13.21,13.29,13.08,13.24,203900,13.24,0.02999999999999936
2014-05-22,13.22,13.35,13.17,13.22,286600,13.22,0.0
2014-05-23,13.5,13.91,13.5,13.89,433500,13.89,0.39000000000000057
2014-05-27,13.89,14.01,13.76,13.88,304100,13.88,-0.009999999999999787
2014-05-28,13.89,13.89,13.57,13.67,183000,13.67,-0.22000000000000064
2014-05-29,13.69,13.76,13.59,13.69,121300,13.69,0.0
2014-05-30,13.72,13.8,13.61,13.76,226700,13.76,0.03999999999999915
2014-06-02,13.75,13.79,13.47,13.51,182200,13.51,-0.2400000000000002
2014-06-03,13.46,13.61,13.13,13.56,315600,13.56,0.09999999999999964
2014-06-04,13.45,13.64,13.39,13.56,175200,13.56,0.11000000000000121
2014-06-05,13.61,13.89,13.4,13.84,220200,13.84,0.23000000000000043
2014-06-06,13.95,14.12,13.82,13.9,294100,13.9,-0.049999999999998934
2014-06-09,13.9,14.2,13.89,13.99,207000,13.99,0.08999999999999986
2014-06-10,13.95,14.0,13.83,13.9,194900,13.9,-0.049999999999998934
2014-06-11,13.91,13.93,13.71,13.93,364900,13.93,0.019999999999999574
2014-06-12,13.88,13.9,13.73,13.82,142800,13.82,-0.0600000000000005
2014-06-13,13.85,13.86,13.68,13.79,162000,13.79,-0.0600000000000005
2014-06-16,13.72,13.78,13.49,13.64,272700,13.64,-0.08000000000000007
2014-06-17,13.66,13.86,13.54,13.85,231000,13.85,0.1899999999999995
2014-06-18,13.84,13.84,13.61,13.72,262500,13.72,-0.11999999999999922
2014-06-19,13.74,13.94,13.73,13.91,301100,13.91,0.16999999999999993
2014-06-20,13.98,13.98,13.72,13.8,488300,13.8,-0.17999999999999972
2014-06-23,13.82,13.86,13.63,13.85,212000,13.85,0.02999999999999936
2014-06-24,13.82,14.08,13.72,13.77,289500,13.77,-0.05000000000000071
2014-06-25,13.69,13.93,13.63,13.88,220800,13.88,0.19000000000000128
2014-06-26,13.86,13.97,13.7,13.84,175800,13.84,-0.019999999999999574
2014-06-27,13.8,14.05,13.71,14.05,1145500,14.05,0.25
2014-06-30,14.02,14.14,13.78,14.08,338000,14.08,0.0600000000000005
2014-07-01,14.05,14.28,13.87,13.88,530900,13.88,-0.16999999999999993
2014-07-02,13.86,14.23,13.86,14.15,401300,14.15,0.2900000000000009
2014-07-03,14.17,14.35,14.05,14.2,148600,14.2,0.02999999999999936
2014-07-07,14.15,14.15,13.9,13.95,280100,13.95,-0.20000000000000107
2014-07-08,13.92,14.43,13.78,14.42,508400,14.42,0.5
2014-07-09,14.44,14.51,14.2,14.21,299800,14.21,-0.22999999999999865
2014-07-10,13.98,14.1,13.9,13.98,277800,13.98,0.0
2014-07-11,13.93,14.16,13.92,14.13,296900,14.13,0.20000000000000107
2014-07-14,14.2,14.2,13.94,14.07,265400,14.07,-0.129999999999999
2014-07-15,14.11,14.2,13.95,13.98,234600,13.98,-0.129999999999999
2014-07-16,14.02,14.07,13.76,13.95,332400,13.95,-0.07000000000000028
2014-07-17,13.89,14.05,13.53,13.55,469000,13.55,-0.33999999999999986
2014-07-18,13.54,13.86,13.54,13.77,404300,13.77,0.23000000000000043
2014-07-21,13.69,13.87,13.69,13.8,311300,13.8,0.11000000000000121
2014-07-22,13.83,14.01,13.81,13.82,292000,13.82,-0.009999999999999787
2014-07-23,13.82,14.01,13.8,13.91,208200,13.91,0.08999999999999986
2014-07-24,13.93,14.03,13.79,13.83,299800,13.83,-0.09999999999999964
2014-07-25,13.73,13.98,13.73,13.84,223000,13.84,0.10999999999999943
2014-07-28,13.84,13.95,13.77,13.93,295200,13.93,0.08999999999999986
2014-07-29,13.93,14.07,13.88,13.9,263600,13.9,-0.02999999999999936
2014-07-30,13.97,14.14,13.88,13.93,219800,13.93,-0.040000000000000924
2014-07-31,13.78,14.04,13.78,13.93,341100,13.93,0.15000000000000036
2014-08-01,13.92,14.14,13.74,13.79,300600,13.79,-0.13000000000000078
2014-08-04,13.79,13.92,13.65,13.76,309600,13.76,-0.02999999999999936
2014-08-05,13.71,14.12,13.71,14.1,451500,14.1,0.3899999999999988
2014-08-06,14.07,14.48,14.03,14.44,354000,14.44,0.3699999999999992
2014-08-07,14.47,14.64,14.42,14.51,427500,14.51,0.03999999999999915
2014-08-08,14.5,14.5,14.35,14.41,294200,14.41,-0.08999999999999986
2014-08-11,14.41,14.81,14.35,14.69,283300,14.69,0.27999999999999936
2014-08-12,14.68,14.76,14.44,14.46,269800,14.46,-0.21999999999999886
2014-08-13,14.47,14.57,14.36,14.49,175400,14.49,0.019999999999999574
2014-08-14,14.49,14.67,14.43,14.56,254900,14.56,0.07000000000000028
2014-08-15,14.65,14.65,14.09,14.13,496400,14.13,-0.5199999999999996
2014-08-18,14.19,14.44,14.19,14.43,434200,14.43,0.2400000000000002
2014-08-19,14.46,14.63,14.36,14.54,406100,14.54,0.0799999999999983
2014-08-20,14.5,14.5,14.32,14.36,202900,14.36,-0.14000000000000057
2014-08-21,14.35,14.6,14.35,14.52,284000,14.52,0.16999999999999993
2014-08-22,14.51,14.66,14.46,14.65,227500,14.65,0.14000000000000057
2014-08-25,14.69,14.8,14.56,14.75,514200,14.75,0.0600000000000005
2014-08-26,13.98,14.57,13.5,14.09,1621500,14.09,0.10999999999999943
2014-08-27,14.09,14.51,14.08,14.5,355000,14.5,0.41000000000000014
2014-08-28,14.51,15.06,14.49,14.96,749100,14.96,0.45000000000000107
2014-08-29,15.0,15.14,14.96,15.11,323700,15.11,0.10999999999999943
2014-09-02,15.19,15.43,15.17,15.33,363900,15.33,0.14000000000000057
2014-09-03,15.5,15.98,15.5,15.94,542000,15.94,0.4399999999999995
2014-09-04,16.0,16.61,15.98,16.39,628300,16.39,0.39000000000000057
2014-09-05,16.32,16.93,16.31,16.88,560200,16.88,0.5599999999999987
2014-09-08,16.91,17.3,16.86,16.98,751100,16.98,0.07000000000000028
2014-09-09,16.93,17.32,16.77,17.19,1129100,17.19,0.26000000000000156
2014-09-10,17.14,17.51,17.03,17.31,639200,17.31,0.16999999999999815
2014-09-11,17.23,17.37,17.13,17.25,589500,17.25,0.019999999999999574
2014-09-12,17.3,17.3,16.85,17.02,440300,17.02,-0.28000000000000114
2014-09-15,16.97,17.05,16.82,16.97,289200,16.97,0.0
2014-09-16,16.98,17.02,16.79,16.9,457900,16.9,-0.08000000000000185
2014-09-17,16.85,16.99,16.69,16.92,423500,16.92,0.07000000000000028
2014-09-18,16.93,17.07,16.89,16.93,380000,16.93,0.0
2014-09-19,16.96,17.0,16.81,16.95,692100,16.95,-0.010000000000001563
2014-09-22,16.93,16.98,16.69,16.72,409100,16.72,-0.21000000000000085
2014-09-23,16.68,16.82,16.56,16.67,414100,16.67,-0.00999999999999801
2014-09-24,16.71,16.8,16.67,16.73,452300,16.73,0.019999999999999574
2014-09-25,16.7,16.8,16.47,16.48,441000,16.48,-0.21999999999999886
2014-09-26,16.49,16.57,16.39,16.45,408400,16.45,-0.03999999999999915
2014-09-29,16.33,16.52,16.28,16.44,381300,16.44,0.11000000000000298
2014-09-30,16.46,16.47,15.95,15.96,505900,15.96,-0.5
2014-10-01,15.97,16.03,15.7,15.72,425200,15.72,-0.25
2014-10-02,15.69,15.83,15.37,15.64,344100,15.64,-0.049999999999998934
2014-10-03,15.76,15.88,15.71,15.81,230300,15.81,0.05000000000000071
2014-10-06,15.84,15.91,15.65,15.71,269200,15.71,-0.129999999999999
2014-10-07,15.63,15.74,15.36,15.38,369400,15.38,-0.25
2014-10-08,15.35,15.51,15.33,15.5,509100,15.5,0.15000000000000036
2014-10-09,15.48,15.5,15.21,15.27,308500,15.27,-0.21000000000000085
2014-10-10,15.21,15.4,14.98,15.0,359900,15.0,-0.21000000000000085
2014-10-13,15.03,15.14,14.73,14.74,402800,14.74,-0.28999999999999915
2014-10-14,14.87,15.27,14.86,15.03,737000,15.03,0.16000000000000014
2014-10-15,14.84,15.08,14.58,15.03,451600,15.03,0.1899999999999995
2014-10-16,14.87,15.57,14.87,15.46,425500,15.46,0.5900000000000016
2014-10-17,15.59,15.61,15.24,15.35,369500,15.35,-0.2400000000000002
2014-10-20,15.29,15.57,15.18,15.44,428700,15.44,0.15000000000000036
2014-10-21,15.49,15.75,15.44,15.7,487800,15.7,0.20999999999999908
2014-10-22,15.74,15.85,15.51,15.58,376800,15.58,-0.16000000000000014
2014-10-23,15.68,16.16,15.59,15.99,722400,15.99,0.3100000000000005
2014-10-24,16.02,16.02,15.79,15.88,265800,15.88,-0.1399999999999988
