Date,open,high,low,close,volume,adj_close,diff
2014-01-02,25.39,25.39,25.39,25.39,500,23.15,0.0
2014-01-03,25.39,25.39,25.39,25.39,1300,23.15,0.0
2014-01-06,25.28,25.28,25.28,25.28,200,23.05,0.0
2014-01-07,25.26,25.26,25.13,25.13,33200,22.91,-0.13000000000000256
2014-01-08,25.15,25.15,25.14,25.15,3600,22.93,0.0
2014-01-09,25.15,25.15,25.11,25.11,3400,22.89,-0.03999999999999915
2014-01-10,25.27,25.27,25.27,25.27,300,23.04,0.0
2014-01-13,25.21,25.21,25.21,25.21,300,22.99,0.0
2014-01-14,25.12,25.25,25.1,25.23,3700,23.0,0.10999999999999943
2014-01-15,25.23,25.38,25.16,25.26,8600,23.03,0.030000000000001137
2014-01-16,25.29,25.29,25.22,25.29,2600,23.06,0.0
2014-01-17,25.29,25.29,25.29,25.29,0,23.06,0.0
2014-01-21,25.25,25.25,25.2,25.2,6200,22.98,-0.05000000000000071
2014-01-22,25.3,25.3,25.3,25.3,100,23.07,0.0
2014-01-23,25.21,25.26,25.21,25.26,3300,23.03,0.05000000000000071
2014-01-24,25.4,25.4,25.3,25.3,3300,23.07,-0.09999999999999787
2014-01-27,25.4,25.4,25.33,25.33,1100,23.1,-0.07000000000000028
2014-01-28,25.31,25.31,25.22,25.3,9100,23.07,-0.00999999999999801
2014-01-29,25.13,25.13,24.87,25.0,6200,23.23,-0.129999999999999
2014-01-30,25.06,25.07,25.02,25.06,3100,23.28,0.0
2014-01-31,25.0,25.2,25.0,25.2,4300,23.41,0.1999999999999993
2014-02-03,25.22,25.23,25.22,25.23,700,23.44,0.010000000000001563
2014-02-04,25.1,25.1,25.02,25.06,1300,23.28,-0.0400000000000027
2014-02-05,25.03,25.03,25.03,25.03,2000,23.25,0.0
2014-02-06,25.06,25.15,25.02,25.14,4400,23.36,0.08000000000000185
2014-02-07,25.15,25.15,25.15,25.15,400,23.36,0.0
2014-02-10,25.16,25.18,25.15,25.18,1300,23.39,0.019999999999999574
2014-02-11,25.2,25.2,25.13,25.13,3000,23.35,-0.07000000000000028
2014-02-12,25.12,25.12,25.03,25.12,8100,23.34,0.0
2014-02-13,25.18,25.18,25.18,25.18,400,23.39,0.0
2014-02-14,25.18,25.25,25.14,25.25,7600,23.46,0.07000000000000028
2014-02-18,25.4,25.4,25.12,25.19,4100,23.4,-0.2099999999999973
2014-02-19,25.18,25.18,25.18,25.18,300,23.39,0.0
2014-02-20,25.2,25.24,25.19,25.24,1200,23.45,0.03999999999999915
2014-02-21,25.24,25.24,25.24,25.24,2200,23.45,0.0
2014-02-24,25.24,25.24,25.24,25.24,600,23.45,0.0
2014-02-25,25.45,25.45,25.24,25.24,9200,23.45,-0.21000000000000085
2014-02-26,25.22,25.22,25.2,25.2,2000,23.41,-0.019999999999999574
2014-02-27,25.22,25.22,25.2,25.2,1200,23.41,-0.019999999999999574
2014-02-28,25.2,25.2,25.14,25.15,8300,23.36,-0.05000000000000071
2014-03-03,25.09,25.15,25.09,25.15,1000,23.36,0.05999999999999872
2014-03-04,25.15,25.18,25.13,25.15,4300,23.36,0.0
2014-03-05,25.08,25.18,25.08,25.1,9400,23.32,0.020000000000003126
2014-03-06,25.16,25.18,25.12,25.15,7300,23.36,-0.010000000000001563
2014-03-07,25.1,25.17,25.1,25.17,1500,23.38,0.07000000000000028
2014-03-10,25.17,25.17,25.17,25.17,0,23.38,0.0
2014-03-11,25.13,25.17,25.13,25.13,1100,23.35,0.0
2014-03-12,25.17,25.17,25.17,25.17,400,23.38,0.0
2014-03-13,25.17,25.17,25.15,25.15,800,23.36,-0.020000000000003126
2014-03-14,25.15,25.15,25.15,25.15,800,23.36,0.0
2014-03-17,25.1,25.19,25.1,25.18,3800,23.39,0.0799999999999983
2014-03-18,25.19,25.19,25.13,25.15,9900,23.36,-0.0400000000000027
2014-03-19,25.13,25.15,25.11,25.15,4600,23.36,0.019999999999999574
2014-03-20,25.15,25.15,25.13,25.15,5500,23.36,0.0
2014-03-21,25.13,25.19,25.13,25.15,6100,23.36,0.019999999999999574
2014-03-24,25.15,25.15,25.15,25.15,0,23.36,0.0
2014-03-25,25.2,25.2,25.09,25.1,9700,23.32,-0.09999999999999787
2014-03-26,25.11,25.14,25.11,25.14,1500,23.36,0.030000000000001137
2014-03-27,25.15,25.15,25.15,25.15,400,23.36,0.0
2014-03-28,25.24,25.24,25.24,25.24,400,23.45,0.0
