Date,open,high,low,close,volume,adj_close,diff
2014-01-02,7.9,8.1,7.86,7.91,2200,7.73,0.009999999999999787
2014-01-03,7.96,7.98,7.95,7.96,900,7.78,0.0
2014-01-06,7.95,8.04,7.95,8.04,4800,7.85,0.08999999999999897
2014-01-07,8.09,8.09,8.09,8.09,900,7.9,0.0
2014-01-08,8.0,8.0,7.75,7.85,7700,7.67,-0.15000000000000036
2014-01-09,8.0,8.07,7.98,8.0,11000,7.81,0.0
2014-01-10,8.12,8.2,8.12,8.2,10500,8.01,0.08000000000000007
2014-01-13,8.23,8.45,8.23,8.25,10500,8.06,0.019999999999999574
2014-01-14,8.4,8.4,8.31,8.35,1300,8.16,-0.05000000000000071
2014-01-15,8.44,8.44,8.44,8.44,200,8.24,0.0
2014-01-16,8.25,8.43,8.25,8.41,3100,8.21,0.16000000000000014
2014-01-17,8.32,8.4,8.32,8.39,2600,8.2,0.07000000000000028
2014-01-21,8.39,8.4,8.29,8.39,7500,8.2,0.0
2014-01-22,8.26,8.3,8.25,8.26,5100,8.07,0.0
2014-01-23,8.27,8.27,8.27,8.27,500,8.08,0.0
2014-01-24,8.26,8.39,8.2,8.26,8600,8.07,0.0
2014-01-27,8.21,8.27,8.2,8.2,3100,8.01,-0.010000000000001563
2014-01-28,8.22,8.79,8.22,8.5,9800,8.3,0.27999999999999936
2014-01-29,8.54,8.74,8.54,8.55,5800,8.35,0.010000000000001563
2014-01-30,8.78,8.8,8.75,8.8,1100,8.6,0.02000000000000135
2014-01-31,8.7,8.8,8.34,8.4,12400,8.2,-0.29999999999999893
2014-02-03,8.55,8.74,8.5,8.63,3700,8.43,0.08000000000000007
2014-02-04,8.63,8.76,8.5,8.66,17500,8.46,0.02999999999999936
2014-02-05,8.37,8.7,8.37,8.6,2800,8.43,0.23000000000000043
2014-02-06,8.5,8.5,8.5,8.5,300,8.34,0.0
2014-02-07,8.5,8.57,8.5,8.55,8200,8.39,0.05000000000000071
2014-02-10,8.48,8.65,8.48,8.55,4800,8.39,0.07000000000000028
2014-02-11,8.44,8.49,8.31,8.32,2200,8.16,-0.11999999999999922
2014-02-12,8.37,8.37,8.35,8.35,700,8.19,-0.019999999999999574
2014-02-13,8.35,8.75,8.35,8.62,20700,8.45,0.2699999999999996
2014-02-14,8.58,8.6,8.55,8.6,3100,8.43,0.019999999999999574
2014-02-18,8.65,8.75,8.65,8.73,3000,8.56,0.08000000000000007
2014-02-19,8.71,8.75,8.71,8.75,500,8.58,0.03999999999999915
2014-02-20,8.75,9.0,8.7,8.8,7400,8.63,0.05000000000000071
2014-02-21,8.8,8.8,8.65,8.65,2600,8.48,-0.15000000000000036
2014-02-24,8.52,8.8,8.52,8.8,2100,8.63,0.28000000000000114
2014-02-25,8.8,8.8,8.8,8.8,800,8.63,0.0
2014-02-26,8.72,8.73,8.7,8.7,1600,8.53,-0.02000000000000135
2014-02-27,8.7,8.7,8.7,8.7,0,8.53,0.0
2014-02-28,8.55,8.66,8.55,8.66,1300,8.49,0.10999999999999943
2014-03-03,8.69,8.8,8.64,8.79,3000,8.62,0.09999999999999964
2014-03-04,8.76,8.76,8.5,8.65,5900,8.48,-0.10999999999999943
2014-03-05,8.7,8.71,8.57,8.57,9800,8.4,-0.129999999999999
2014-03-06,8.61,8.64,8.6,8.62,3300,8.45,0.009999999999999787
2014-03-07,8.7,8.7,8.7,8.7,1500,8.53,0.0
2014-03-10,8.7,8.7,8.5,8.5,7600,8.34,-0.1999999999999993
2014-03-11,8.69,8.71,8.69,8.71,400,8.54,0.02000000000000135
2014-03-12,8.63,8.63,8.59,8.59,1300,8.42,-0.040000000000000924
2014-03-13,8.68,8.68,8.68,8.68,300,8.51,0.0
2014-03-14,8.62,8.62,8.55,8.55,1100,8.39,-0.06999999999999851
2014-03-17,8.55,8.55,8.55,8.55,0,8.39,0.0
2014-03-18,8.56,8.61,8.35,8.55,9200,8.39,-0.009999999999999787
2014-03-19,8.55,8.71,8.41,8.44,8300,8.28,-0.11000000000000121
2014-03-20,8.51,8.61,8.21,8.29,18100,8.13,-0.22000000000000064
2014-03-21,8.45,8.57,8.3,8.3,5900,8.14,-0.14999999999999858
