Date,open,high,low,close,volume,adj_close,diff
2014-01-02,32.59,33.32,32.24,32.46,328400,31.18,-0.13000000000000256
2014-01-03,32.39,32.81,31.97,32.09,272800,30.83,-0.29999999999999716
2014-01-06,32.35,32.36,30.66,31.09,399700,29.87,-1.2600000000000016
2014-01-07,31.11,31.57,31.01,31.04,267100,29.82,-0.07000000000000028
2014-01-08,30.71,30.76,28.85,30.06,590200,28.88,-0.6500000000000021
2014-01-09,29.99,29.99,28.05,28.4,812900,27.28,-1.5899999999999999
2014-01-10,28.4,28.97,28.03,28.94,466800,27.8,0.5400000000000027
2014-01-13,28.98,29.16,28.53,28.75,373400,27.62,-0.23000000000000043
2014-01-14,28.87,29.12,28.73,29.06,334600,27.92,0.18999999999999773
2014-01-15,29.0,29.38,29.0,29.23,277100,28.08,0.23000000000000043
2014-01-16,29.3,29.66,29.13,29.6,447400,28.43,0.3000000000000007
2014-01-17,29.65,29.98,29.5,29.84,284100,28.67,0.19000000000000128
2014-01-21,29.86,30.19,29.51,29.9,383700,28.72,0.03999999999999915
2014-01-22,29.94,30.11,29.42,29.46,332800,28.3,-0.4800000000000004
2014-01-23,29.31,29.9,29.31,29.53,318000,28.37,0.22000000000000242
2014-01-24,29.36,29.37,27.9,28.11,446400,27.0,-1.25
2014-01-27,28.29,28.52,27.27,27.34,257000,26.26,-0.9499999999999993
2014-01-28,27.56,27.88,27.02,27.67,370100,26.58,0.11000000000000298
2014-01-29,28.0,28.0,26.98,27.23,262300,26.16,-0.7699999999999996
2014-01-30,27.13,27.21,26.31,26.73,401200,25.68,-0.3999999999999986
2014-01-31,26.17,26.95,26.03,26.42,262600,25.38,0.25
2014-02-03,26.4,26.4,25.21,25.43,417900,24.43,-0.9699999999999989
2014-02-04,25.56,26.1,25.21,25.36,284800,24.36,-0.1999999999999993
2014-02-05,25.27,25.79,24.75,25.32,256300,24.32,0.05000000000000071
2014-02-06,25.38,25.74,25.2,25.43,316100,24.43,0.05000000000000071
2014-02-07,25.63,25.8,25.23,25.51,200500,24.51,-0.11999999999999744
2014-02-10,25.39,25.9,25.19,25.26,171000,24.27,-0.129999999999999
2014-02-11,25.34,25.94,25.34,25.86,242900,24.84,0.5199999999999996
2014-02-12,25.86,26.3,25.68,25.88,212800,24.86,0.019999999999999574
2014-02-13,25.86,26.78,25.83,26.43,402600,25.39,0.5700000000000003
2014-02-14,26.51,26.85,26.39,26.58,258500,25.53,0.06999999999999673
2014-02-18,26.6,26.6,25.86,25.93,215500,25.09,-0.6700000000000017
2014-02-19,25.75,26.18,25.57,25.6,245700,24.77,-0.14999999999999858
2014-02-20,25.6,25.84,25.27,25.76,199800,24.92,0.16000000000000014
2014-02-21,25.88,25.98,25.14,25.24,271500,24.42,-0.6400000000000006
2014-02-24,25.24,25.96,25.06,25.46,320400,24.63,0.22000000000000242
2014-02-25,25.29,25.29,24.71,25.08,259600,24.26,-0.21000000000000085
2014-02-26,25.19,25.71,25.04,25.35,218200,24.53,0.16000000000000014
2014-02-27,25.32,25.8,25.25,25.78,193600,24.94,0.46000000000000085
2014-02-28,25.8,25.8,25.31,25.37,201400,24.55,-0.4299999999999997
2014-03-03,25.18,25.28,24.82,24.94,252000,24.13,-0.23999999999999844
2014-03-04,25.28,26.15,25.2,25.93,340900,25.09,0.6499999999999986
2014-03-05,25.86,26.44,25.66,25.88,372500,25.04,0.019999999999999574
2014-03-06,25.93,26.37,25.93,26.2,234500,25.35,0.2699999999999996
2014-03-07,26.09,26.46,25.8,26.36,299200,25.5,0.2699999999999996
2014-03-10,26.18,26.18,25.51,25.93,203600,25.09,-0.25
2014-03-11,25.9,26.15,25.39,25.76,225900,24.92,-0.13999999999999702
2014-03-12,25.58,26.35,25.58,25.97,239300,25.13,0.39000000000000057
2014-03-13,26.12,26.31,25.68,25.88,194900,25.04,-0.240000000000002
2014-03-14,25.82,26.25,25.62,26.17,259500,25.32,0.3500000000000014
2014-03-17,26.29,26.7,26.29,26.52,210100,25.66,0.23000000000000043
2014-03-18,26.48,27.27,26.4,27.06,216900,26.18,0.5799999999999983
2014-03-19,27.0,27.47,26.79,26.95,178700,26.07,-0.05000000000000071
2014-03-20,26.78,27.42,26.5,27.09,155100,26.21,0.3099999999999987
2014-03-21,27.26,28.84,27.19,28.78,725400,27.84,1.5199999999999996
2014-03-24,28.88,29.14,28.48,28.81,305500,27.87,-0.07000000000000028
2014-03-25,29.16,29.56,29.04,29.19,205900,28.24,0.030000000000001137
2014-03-26,29.3,29.31,28.39,28.5,209400,27.57,-0.8000000000000007
2014-03-27,28.59,28.88,28.04,28.56,270600,27.63,-0.030000000000001137
2014-03-28,28.69,28.94,28.37,28.55,153300,27.62,-0.14000000000000057
2014-03-31,28.73,29.32,28.58,28.85,350100,27.91,0.120000000000001
2014-04-01,28.9,29.12,27.58,27.83,513900,26.93,-1.0700000000000003
2014-04-02,27.71,28.25,27.53,28.1,389800,27.19,0.39000000000000057
2014-04-03,28.16,30.04,27.9,29.22,812000,28.27,1.0599999999999987
2014-04-04,29.5,29.53,28.18,28.53,359300,27.6,-0.9699999999999989
2014-04-07,28.42,28.98,27.92,28.33,319800,27.41,-0.09000000000000341
2014-04-08,28.45,28.98,28.24,28.64,232100,27.71,0.19000000000000128
2014-04-09,28.64,28.95,28.22,28.47,258900,27.54,-0.1700000000000017
2014-04-10,28.48,28.48,27.69,27.93,325900,27.02,-0.5500000000000007
2014-04-11,27.75,27.76,27.2,27.53,264100,26.63,-0.21999999999999886
2014-04-14,27.77,28.21,27.37,27.85,370800,26.94,0.08000000000000185
2014-04-15,27.77,28.26,27.33,28.14,503600,27.23,0.370000000000001
2014-04-16,28.41,28.59,27.89,28.1,165000,27.19,-0.3099999999999987
2014-04-17,28.13,28.35,27.77,27.81,221000,26.91,-0.3200000000000003
2014-04-21,27.76,28.19,27.38,27.8,210600,26.9,0.03999999999999915
2014-04-22,27.96,28.21,27.62,27.87,218600,26.96,-0.08999999999999986
2014-04-23,27.86,28.32,27.86,28.0,196000,27.09,0.14000000000000057
2014-04-24,28.19,28.27,27.79,27.95,166800,27.04,-0.240000000000002
2014-04-25,27.88,28.56,27.79,28.16,256700,27.24,0.28000000000000114
2014-04-28,28.13,28.44,27.7,28.11,233600,27.2,-0.019999999999999574
2014-04-29,28.25,28.76,28.06,28.28,180100,27.36,0.030000000000001137
2014-04-30,28.28,28.28,27.65,28.07,222500,27.16,-0.21000000000000085
2014-05-01,28.05,28.29,27.64,27.98,255900,27.07,-0.07000000000000028
2014-05-02,28.08,28.65,27.83,28.02,171800,27.11,-0.05999999999999872
2014-05-05,27.85,27.88,27.17,27.46,219000,26.57,-0.39000000000000057
2014-05-06,27.44,27.69,27.06,27.1,174500,26.22,-0.33999999999999986
2014-05-07,27.11,27.36,26.9,27.18,246000,26.3,0.07000000000000028
2014-05-08,27.01,27.31,26.82,26.93,202200,26.24,-0.08000000000000185
2014-05-09,26.77,27.03,26.51,26.99,248600,26.29,0.21999999999999886
2014-05-12,27.23,27.98,27.21,27.79,273700,27.07,0.5599999999999987
2014-05-13,27.82,28.12,27.71,27.76,277700,27.04,-0.05999999999999872
2014-05-14,27.75,27.9,27.1,27.11,177300,26.41,-0.6400000000000006
2014-05-15,26.98,27.32,26.51,26.8,261200,26.11,-0.17999999999999972
2014-05-16,26.69,26.72,26.25,26.33,241800,25.65,-0.360000000000003
2014-05-19,26.13,26.65,26.08,26.45,223700,25.77,0.3200000000000003
2014-05-20,26.31,26.31,25.45,25.7,355700,25.04,-0.6099999999999994
2014-05-21,25.91,26.1,25.55,25.87,236500,25.2,-0.03999999999999915
2014-05-22,25.98,26.07,25.57,25.72,115100,25.06,-0.26000000000000156
2014-05-23,25.38,25.7,25.13,25.51,367700,24.85,0.13000000000000256
2014-05-27,25.57,25.57,24.46,24.99,398700,24.35,-0.5800000000000018
2014-05-28,24.92,25.24,24.7,25.15,411200,24.5,0.22999999999999687
2014-05-29,25.31,25.41,24.93,25.32,134600,24.67,0.010000000000001563
2014-05-30,25.32,25.33,24.79,24.92,233600,24.28,-0.3999999999999986
2014-06-02,25.0,25.12,24.58,24.76,283600,24.12,-0.23999999999999844
