Date,open,high,low,close,volume,adj_close,diff
2014-09-24,13.1,13.42,11.97,12.01,12221500,12.01,-1.0899999999999999
2014-09-25,12.0,13.09,12.0,12.5,1282100,12.5,0.5
2014-09-26,12.82,13.86,12.7,13.7,1409300,13.7,0.879999999999999
2014-09-29,13.64,14.8,13.56,14.59,736900,14.59,0.9499999999999993
2014-09-30,14.5,14.99,13.98,14.43,635000,14.43,-0.07000000000000028
2014-10-01,14.43,14.48,13.7,13.86,463400,13.86,-0.5700000000000003
2014-10-02,13.65,14.04,13.46,13.99,223700,13.99,0.33999999999999986
2014-10-03,14.0,14.09,13.5,13.64,307200,13.64,-0.35999999999999943
2014-10-06,13.87,13.87,12.96,13.27,261400,13.27,-0.5999999999999996
2014-10-07,13.15,13.88,13.15,13.41,102800,13.41,0.2599999999999998
2014-10-08,13.58,13.8,13.21,13.46,144800,13.46,-0.11999999999999922
2014-10-09,13.36,13.41,12.5,12.68,591000,12.68,-0.6799999999999997
2014-10-10,12.45,13.05,12.23,12.96,249500,12.96,0.5100000000000016
2014-10-13,12.75,13.16,12.75,12.9,93900,12.9,0.15000000000000036
2014-10-14,12.84,13.45,12.84,13.16,126900,13.16,0.3200000000000003
2014-10-15,13.0,13.25,12.9,13.0,94400,13.0,0.0
2014-10-16,12.9,13.05,12.6,13.0,123400,13.0,0.09999999999999964
2014-10-17,13.1,13.5,12.7,12.9,332700,12.9,-0.1999999999999993
2014-10-20,12.81,12.85,12.41,12.71,205000,12.71,-0.09999999999999964
2014-10-21,12.67,12.94,12.57,12.8,375100,12.8,0.13000000000000078
2014-10-22,12.8,13.44,12.8,13.3,171700,13.3,0.5
2014-10-23,13.27,13.38,12.92,13.1,131700,13.1,-0.16999999999999993
2014-10-24,13.15,13.15,13.05,13.1,32100,13.1,-0.05000000000000071
2014-10-27,13.05,13.45,13.01,13.14,75000,13.14,0.08999999999999986
2014-10-28,13.2,14.45,13.2,13.99,229000,13.99,0.7900000000000009
2014-10-29,13.88,14.36,13.38,14.0,124800,14.0,0.11999999999999922
2014-10-30,13.91,14.18,13.72,14.0,76300,14.0,0.08999999999999986
2014-10-31,14.2,14.89,14.03,14.75,141800,14.75,0.5500000000000007
2014-11-03,14.58,14.75,14.08,14.45,235500,14.45,-0.13000000000000078
2014-11-04,14.37,14.5,14.06,14.21,135500,14.21,-0.15999999999999837
2014-11-05,14.19,14.39,14.0,14.31,87900,14.31,0.120000000000001
2014-11-06,14.21,14.74,14.21,14.71,109600,14.71,0.5
2014-11-07,14.56,15.44,14.56,14.89,309300,14.89,0.33000000000000007
2014-11-10,15.03,15.1,14.73,14.95,174500,14.95,-0.08000000000000007
2014-11-11,15.2,15.31,14.34,15.02,266500,15.02,-0.17999999999999972
2014-11-12,14.88,15.2,14.32,14.58,93900,14.58,-0.3000000000000007
2014-11-13,14.7,15.2,13.25,14.38,695400,14.38,-0.3199999999999985
2014-11-14,14.41,15.55,13.98,15.49,495900,15.49,1.08
2014-11-17,15.53,15.53,14.94,15.04,203100,15.04,-0.4900000000000002
2014-11-18,15.1,15.16,14.84,14.96,215500,14.96,-0.1399999999999988
2014-11-19,15.0,15.0,14.52,14.62,135500,14.62,-0.3800000000000008
2014-11-20,14.54,15.03,14.54,14.99,69700,14.99,0.45000000000000107
2014-11-21,15.01,15.03,14.59,14.96,163200,14.96,-0.049999999999998934
2014-11-24,15.0,15.5,14.75,15.3,281100,15.3,0.3000000000000007
2014-11-25,15.25,15.49,14.99,15.24,142400,15.24,-0.009999999999999787
2014-11-26,15.37,15.49,15.06,15.36,109900,15.36,-0.009999999999999787
2014-11-28,15.35,15.73,15.08,15.66,101100,15.66,0.3100000000000005
2014-12-01,15.75,15.75,14.5,14.9,249900,14.9,-0.8499999999999996
2014-12-02,15.01,16.04,15.0,15.74,300800,15.74,0.7300000000000004
2014-12-03,15.91,16.55,15.75,16.26,284400,16.26,0.3500000000000014
2014-12-04,16.37,16.49,15.76,15.96,217400,15.96,-0.41000000000000014
2014-12-05,16.12,16.35,15.8,15.96,130400,15.96,-0.16000000000000014
2014-12-08,15.97,16.21,15.8,15.85,207200,15.85,-0.120000000000001
2014-12-09,15.7,15.83,15.04,15.36,255600,15.36,-0.33999999999999986
2014-12-10,15.25,15.7,15.2,15.45,258100,15.45,0.1999999999999993
2014-12-11,15.45,15.67,14.6,15.08,321800,15.08,-0.3699999999999992
2014-12-12,14.99,15.65,14.99,15.57,270100,15.57,0.5800000000000001
2014-12-15,15.69,16.0,15.3,15.54,324700,15.54,-0.15000000000000036
2014-12-16,15.42,15.78,14.85,15.1,329800,15.1,-0.3200000000000003
2014-12-17,15.2,15.92,15.07,15.85,398800,15.85,0.6500000000000004
2014-12-18,15.95,16.0,15.0,15.49,405300,15.49,-0.4599999999999991
2014-12-19,15.54,15.78,14.9,14.98,1685200,14.98,-0.5599999999999987
2014-12-22,15.05,16.22,14.91,16.1,645200,16.1,1.0500000000000007
2014-12-23,16.02,16.05,15.69,15.97,382800,15.97,-0.049999999999998934
2014-12-24,15.98,16.08,15.26,15.5,142600,15.5,-0.4800000000000004
2014-12-26,15.57,15.78,15.32,15.4,107700,15.4,-0.16999999999999993
2014-12-29,15.31,15.4,14.95,15.14,263000,15.14,-0.16999999999999993
2014-12-30,15.17,16.57,15.03,16.53,552800,16.53,1.3600000000000012
2014-12-31,16.5,16.5,15.66,15.73,376800,15.73,-0.7699999999999996
