Date,open,high,low,close,volume,adj_close,diff
2014-01-02,25.2,25.33,24.57,24.85,115700,24.85,-0.34999999999999787
2014-01-03,24.84,25.47,24.69,25.3,96900,25.3,0.46000000000000085
2014-01-06,25.49,26.08,24.6,25.0,217200,25.0,-0.48999999999999844
2014-01-07,24.63,25.13,24.06,24.24,207300,24.24,-0.39000000000000057
2014-01-08,24.15,24.7,23.83,24.28,224500,24.28,0.13000000000000256
2014-01-09,24.4,24.59,23.63,24.18,198000,24.18,-0.21999999999999886
2014-01-10,24.11,24.46,23.57,23.94,189300,23.94,-0.16999999999999815
2014-01-13,23.97,24.4,23.74,23.95,199100,23.95,-0.019999999999999574
2014-01-14,23.96,24.7,23.79,24.64,154900,24.64,0.6799999999999997
2014-01-15,24.74,25.05,24.09,24.17,130400,24.17,-0.5699999999999967
2014-01-16,24.05,24.05,22.1,22.34,310100,22.34,-1.7100000000000009
2014-01-17,22.3,22.51,22.15,22.31,216300,22.31,0.00999999999999801
2014-01-21,22.5,22.53,20.91,21.31,583400,21.31,-1.1900000000000013
2014-01-22,21.26,21.26,19.43,19.84,543300,19.84,-1.4200000000000017
2014-01-23,19.73,20.23,19.61,20.23,229400,20.23,0.5
2014-01-24,20.1,20.27,19.72,20.03,200300,20.03,-0.07000000000000028
2014-01-27,19.74,20.26,19.74,19.98,253900,19.98,0.240000000000002
2014-01-28,20.08,20.23,19.91,20.12,337500,20.12,0.0400000000000027
2014-01-29,20.01,20.21,19.63,19.98,264000,19.98,-0.030000000000001137
2014-01-30,20.0,20.22,19.67,19.73,123200,19.73,-0.2699999999999996
2014-01-31,19.49,19.55,18.64,18.93,220600,18.93,-0.5599999999999987
2014-02-03,18.84,19.03,17.95,18.1,433600,18.1,-0.7399999999999984
2014-02-04,18.18,18.23,17.61,18.0,570200,18.0,-0.17999999999999972
2014-02-05,17.96,18.64,17.49,18.57,501000,18.57,0.6099999999999994
2014-02-06,18.56,19.89,18.47,19.81,444700,19.81,1.25
2014-02-07,20.26,20.96,19.55,19.83,599800,19.83,-0.43000000000000327
2014-02-10,19.88,20.06,19.47,19.97,551100,19.97,0.08999999999999986
2014-02-11,20.77,21.25,19.2,19.73,377700,19.73,-1.0399999999999991
2014-02-12,20.12,21.4,19.97,20.38,419200,20.38,0.259999999999998
2014-02-13,20.16,20.36,20.0,20.18,266900,20.18,0.019999999999999574
2014-02-14,20.2,20.55,20.06,20.16,124300,20.16,-0.03999999999999915
2014-02-18,20.28,20.47,20.01,20.17,189000,20.17,-0.10999999999999943
2014-02-19,20.12,22.39,20.12,22.12,693100,22.12,2.0
2014-02-20,22.02,22.15,21.55,21.84,162400,21.84,-0.17999999999999972
2014-02-21,21.93,22.17,21.35,21.75,324400,21.75,-0.17999999999999972
2014-02-24,21.82,22.11,21.46,21.47,138600,21.47,-0.3500000000000014
2014-02-25,21.5,21.72,20.9,21.25,170600,21.25,-0.25
2014-02-26,21.31,21.79,21.13,21.54,113800,21.54,0.23000000000000043
2014-02-27,21.43,21.66,20.9,21.43,252700,21.43,0.0
2014-02-28,21.47,21.69,20.84,21.16,241700,21.16,-0.3099999999999987
2014-03-03,21.04,22.1,20.77,22.0,314500,22.0,0.9600000000000009
2014-03-04,22.14,23.22,22.07,22.35,1101700,22.35,0.21000000000000085
2014-03-05,22.25,22.38,21.97,22.22,339200,22.22,-0.030000000000001137
2014-03-06,22.28,22.43,22.03,22.14,330300,22.14,-0.14000000000000057
2014-03-07,22.11,22.26,21.34,21.61,147400,21.61,-0.5
2014-03-10,21.63,22.19,20.62,22.18,186900,22.18,0.5500000000000007
2014-03-11,22.26,22.27,21.82,22.11,147900,22.11,-0.15000000000000213
2014-03-12,22.0,22.44,21.72,22.28,178600,22.28,0.28000000000000114
2014-03-13,22.41,22.45,22.06,22.23,202900,22.23,-0.17999999999999972
2014-03-14,22.2,23.09,22.1,23.06,240400,23.06,0.8599999999999994
2014-03-17,23.16,24.49,23.16,23.8,258700,23.8,0.6400000000000006
2014-03-18,23.81,24.18,23.52,23.78,184500,23.78,-0.029999999999997584
