Date,open,high,low,close,volume,adj_close,diff
2014-01-02,10.03,10.03,9.94,10.0,1200,10.0,-0.02999999999999936
2014-01-03,10.01,10.01,10.01,10.01,200,10.01,0.0
2014-01-06,9.41,9.86,9.41,9.86,800,9.86,0.4499999999999993
2014-01-07,9.83,9.83,9.8,9.8,1000,9.8,-0.02999999999999936
2014-01-08,9.8,9.8,9.8,9.8,0,9.8,0.0
2014-01-09,9.8,9.8,9.8,9.8,0,9.8,0.0
2014-01-10,9.8,10.0,9.8,9.8,3800,9.8,0.0
2014-01-13,9.82,9.95,9.75,9.92,5200,9.92,0.09999999999999964
2014-01-14,9.9,9.9,9.75,9.75,600,9.75,-0.15000000000000036
2014-01-15,9.9,9.94,9.75,9.75,1200,9.75,-0.15000000000000036
2014-01-16,9.93,9.93,9.92,9.92,2100,9.92,-0.009999999999999787
2014-01-17,9.9,9.9,9.9,9.9,1400,9.9,0.0
2014-01-21,9.85,9.85,9.8,9.83,600,9.83,-0.019999999999999574
2014-01-22,9.8,9.8,9.75,9.75,2800,9.75,-0.05000000000000071
2014-01-23,9.75,9.75,9.75,9.75,1000,9.75,0.0
2014-01-24,9.64,9.9,9.02,9.75,14700,9.75,0.10999999999999943
2014-01-27,9.83,10.09,9.83,10.09,16200,10.09,0.2599999999999998
2014-01-28,10.0,10.5,10.0,10.35,12800,10.35,0.34999999999999964
2014-01-29,10.25,10.49,10.0,10.25,9800,10.25,0.0
2014-01-30,10.35,10.4,9.9,10.0,16100,10.0,-0.34999999999999964
2014-01-31,10.11,10.11,10.11,10.11,200,10.11,0.0
2014-02-03,10.16,10.25,9.92,10.25,9000,10.25,0.08999999999999986
2014-02-04,10.29,10.29,10.29,10.29,400,10.29,0.0
2014-02-05,10.25,10.29,9.91,9.91,2100,9.91,-0.33999999999999986
2014-02-06,10.15,10.15,9.88,10.06,15900,10.06,-0.08999999999999986
2014-02-07,10.1,10.1,8.89,9.92,3100,9.92,-0.17999999999999972
2014-02-10,10.1,10.1,10.1,10.1,400,10.1,0.0
2014-02-11,10.1,10.1,10.1,10.1,0,10.1,0.0
2014-02-12,10.11,10.54,9.95,9.95,3600,9.95,-0.16000000000000014
2014-02-13,10.01,10.03,9.75,10.0,7300,10.0,-0.009999999999999787
2014-02-14,10.25,10.25,10.2,10.2,1300,10.2,-0.05000000000000071
2014-02-18,10.0,10.4,10.0,10.36,5300,10.36,0.35999999999999943
2014-02-19,10.4,10.88,10.4,10.88,3600,10.88,0.4800000000000004
2014-02-20,10.61,10.64,10.61,10.64,200,10.64,0.030000000000001137
2014-02-21,10.63,11.0,10.63,10.75,8800,10.75,0.11999999999999922
2014-02-24,10.72,10.72,10.41,10.56,2300,10.56,-0.16000000000000014
2014-02-25,10.11,10.11,10.11,10.11,300,10.11,0.0
2014-02-26,10.14,10.5,10.14,10.48,3300,10.48,0.33999999999999986
2014-02-27,10.06,10.06,10.06,10.06,800,10.06,0.0
2014-02-28,10.15,10.47,10.05,10.47,9600,10.47,0.3200000000000003
2014-03-03,10.49,10.49,10.34,10.4,1200,10.4,-0.08999999999999986
2014-03-04,10.43,10.64,10.43,10.51,3000,10.51,0.08000000000000007
2014-03-05,10.51,10.51,10.51,10.51,0,10.51,0.0
2014-03-06,10.45,10.59,10.45,10.59,7000,10.59,0.14000000000000057
2014-03-07,10.59,10.59,10.59,10.59,400,10.59,0.0
2014-03-10,10.45,10.49,10.45,10.49,4400,10.49,0.040000000000000924
2014-03-11,10.58,10.58,10.58,10.58,200,10.58,0.0
2014-03-12,10.58,10.58,10.17,10.27,3200,10.27,-0.3100000000000005
2014-03-13,10.2,10.2,10.2,10.2,100,10.2,0.0
2014-03-14,10.2,10.2,10.2,10.2,0,10.2,0.0
2014-03-17,10.21,10.21,10.1,10.11,2300,10.11,-0.10000000000000142
2014-03-18,10.13,10.31,9.82,10.0,24200,10.0,-0.13000000000000078
2014-03-19,9.87,9.87,9.87,9.87,500,9.87,0.0
2014-03-20,9.98,10.55,9.98,10.3,4100,10.3,0.3200000000000003
2014-03-21,10.48,10.48,10.48,10.48,200,10.48,0.0
2014-03-24,10.55,10.55,10.07,10.3,600,10.3,-0.25
2014-03-25,10.21,10.3,10.21,10.3,1900,10.3,0.08999999999999986
2014-03-26,10.3,10.3,9.91,9.91,5400,9.91,-0.39000000000000057
2014-03-27,9.99,9.99,9.95,9.95,800,9.95,-0.040000000000000924
2014-03-28,9.99,10.06,9.99,10.0,5400,10.0,0.009999999999999787
2014-03-31,9.97,10.25,9.96,10.25,11600,10.25,0.27999999999999936
2014-04-01,10.28,11.0,10.25,10.79,3700,10.79,0.5099999999999998
2014-04-02,10.9,10.9,10.04,10.89,2200,10.89,-0.009999999999999787
2014-04-03,11.0,11.0,10.59,10.59,1100,10.59,-0.41000000000000014
2014-04-04,10.8,10.8,10.8,10.8,100,10.8,0.0
2014-04-07,10.39,10.49,10.25,10.49,900,10.49,0.09999999999999964
2014-04-08,10.49,10.79,10.4,10.4,2100,10.4,-0.08999999999999986
2014-04-09,10.5,10.5,10.3,10.47,2800,10.47,-0.02999999999999936
2014-04-10,10.4,10.4,10.38,10.4,2200,10.4,0.0
2014-04-11,10.44,10.44,10.4,10.4,900,10.4,-0.03999999999999915
2014-04-14,11.0,11.0,10.15,10.25,12000,10.25,-0.75
2014-04-15,10.21,10.27,10.0,10.0,2000,10.0,-0.21000000000000085
2014-04-16,10.06,10.4,9.75,10.0,6900,10.0,-0.0600000000000005
2014-04-17,10.07,10.11,9.84,10.1,1500,10.1,0.02999999999999936
2014-04-21,9.88,10.75,9.88,10.21,5900,10.21,0.33000000000000007
2014-04-22,10.59,10.6,10.35,10.6,3400,10.6,0.009999999999999787
2014-04-23,10.23,10.6,10.23,10.6,1000,10.6,0.3699999999999992
2014-04-24,10.07,10.6,10.01,10.5,6600,10.5,0.4299999999999997
2014-04-25,10.48,10.6,10.47,10.6,3000,10.6,0.11999999999999922
2014-04-28,10.51,10.6,10.5,10.6,2500,10.6,0.08999999999999986
2014-04-29,10.51,10.6,10.5,10.59,1500,10.59,0.08000000000000007
2014-04-30,10.6,10.6,10.57,10.57,500,10.57,-0.02999999999999936
2014-05-01,10.57,10.57,10.57,10.57,0,10.57,0.0
2014-05-02,10.55,10.8,10.55,10.77,2900,10.77,0.21999999999999886
2014-05-05,10.7,10.7,10.5,10.54,3000,10.54,-0.16000000000000014
2014-05-06,10.5,10.6,10.5,10.6,300,10.6,0.09999999999999964
2014-05-07,10.6,10.6,10.5,10.5,2900,10.5,-0.09999999999999964
2014-05-08,10.59,10.6,10.5,10.6,4700,10.6,0.009999999999999787
2014-05-09,10.6,10.61,10.6,10.61,1100,10.61,0.009999999999999787
2014-05-12,10.6,10.65,10.6,10.6,1800,10.6,0.0
2014-05-13,10.97,11.22,10.2,11.08,7900,11.08,0.10999999999999943
2014-05-14,11.15,11.15,11.05,11.05,2300,11.05,-0.09999999999999964
2014-05-15,10.96,11.1,10.96,11.0,4600,11.0,0.03999999999999915
2014-05-16,10.98,11.03,10.98,11.03,3500,11.03,0.049999999999998934
2014-05-19,11.03,11.03,11.03,11.03,0,11.03,0.0
2014-05-20,11.0,11.07,11.0,11.05,2000,11.05,0.05000000000000071
2014-05-21,11.05,11.05,11.05,11.05,0,11.05,0.0
2014-05-22,11.05,11.05,11.05,11.05,0,11.05,0.0
2014-05-23,11.03,11.03,11.0,11.0,1100,11.0,-0.02999999999999936
2014-05-27,11.03,11.03,11.01,11.01,2000,11.01,-0.019999999999999574
2014-05-28,11.05,11.05,10.85,11.01,3100,11.01,-0.040000000000000924
2014-05-29,10.25,10.8,10.25,10.36,3900,10.36,0.10999999999999943
2014-05-30,10.5,10.5,10.5,10.5,400,10.5,0.0
2014-06-02,10.3,11.23,9.98,10.89,4100,10.89,0.5899999999999999
2014-06-03,10.9,10.9,10.28,10.4,7600,10.4,-0.5
2014-06-04,10.4,10.99,10.4,10.7,5000,10.7,0.29999999999999893
2014-06-05,10.43,10.96,10.02,10.7,4600,10.7,0.2699999999999996
2014-06-06,10.49,10.69,10.43,10.6,4800,10.6,0.10999999999999943
2014-06-09,10.43,10.75,10.41,10.7,5900,10.7,0.2699999999999996
2014-06-10,10.49,10.99,10.0,10.99,11000,10.99,0.5
2014-06-11,10.66,10.66,10.66,10.66,300,10.66,0.0
2014-06-12,10.54,10.54,10.5,10.53,800,10.53,-0.009999999999999787
2014-06-13,10.26,10.74,10.26,10.53,2300,10.53,0.2699999999999996
2014-06-16,10.64,10.67,10.53,10.62,1200,10.62,-0.02000000000000135
2014-06-17,10.31,10.42,10.27,10.37,2500,10.37,0.05999999999999872
2014-06-18,10.4,10.48,10.4,10.48,700,10.48,0.08000000000000007
2014-06-19,10.48,10.48,10.48,10.48,900,10.48,0.0
2014-06-20,10.52,10.52,10.52,10.52,200,10.52,0.0
2014-06-23,10.34,10.45,10.33,10.45,900,10.45,0.10999999999999943
2014-06-24,10.57,10.57,10.33,10.33,2200,10.33,-0.2400000000000002
2014-06-25,10.59,10.92,10.56,10.59,1600,10.59,0.0
2014-06-26,10.62,10.62,10.62,10.62,100,10.62,0.0
2014-06-27,10.59,10.59,10.59,10.59,200,10.59,0.0
2014-06-30,10.64,10.99,10.64,10.64,6500,10.64,0.0
2014-07-01,10.6,10.6,10.6,10.6,100,10.6,0.0
2014-07-02,10.7,10.7,10.64,10.64,2000,10.64,-0.05999999999999872
2014-07-03,10.59,10.59,10.59,10.59,200,10.59,0.0
2014-07-07,10.94,10.94,10.94,10.94,200,10.94,0.0
2014-07-08,10.38,10.62,10.33,10.62,3100,10.62,0.23999999999999844
2014-07-09,10.62,10.62,10.62,10.62,0,10.62,0.0
