Date,open,high,low,close,volume,adj_close,diff
2014-01-02,70.02,70.34,69.02,69.38,3046400,68.26,-0.6400000000000006
2014-01-03,69.51,69.56,68.43,68.86,2288500,67.75,-0.6500000000000057
2014-01-06,68.89,69.13,68.01,68.35,2709600,67.25,-0.5400000000000063
2014-01-07,68.63,69.74,68.13,69.28,4103100,68.16,0.6500000000000057
2014-01-08,69.77,73.92,69.61,73.45,9636400,72.27,3.680000000000007
2014-01-09,73.45,73.81,71.93,72.66,3475400,71.49,-0.7900000000000063
2014-01-10,72.69,72.95,71.23,72.6,3263500,71.43,-0.09000000000000341
2014-01-13,72.51,73.43,71.05,71.18,3276500,70.03,-1.3299999999999983
2014-01-14,71.11,72.52,70.92,72.25,3634600,71.09,1.1400000000000006
2014-01-15,72.18,73.2,71.52,72.46,3922000,71.29,0.2799999999999869
2014-01-16,72.78,73.68,72.36,73.07,2902000,71.89,0.28999999999999204
2014-01-17,73.05,74.14,72.8,73.69,5035400,72.5,0.6400000000000006
2014-01-21,71.92,72.71,71.03,71.89,6452900,70.73,-0.030000000000001137
2014-01-22,72.31,72.35,71.35,72.19,5943900,71.03,-0.12000000000000455
2014-01-23,70.25,72.15,69.3,72.02,9932100,70.86,1.769999999999996
2014-01-24,71.78,72.52,69.42,69.48,6566100,68.36,-2.299999999999997
2014-01-27,69.92,70.41,68.46,69.54,4127000,68.42,-0.37999999999999545
2014-01-28,68.87,69.99,68.69,69.6,4405200,68.48,0.7299999999999898
2014-01-29,68.98,70.07,68.72,69.05,3886400,67.94,0.06999999999999318
2014-01-30,69.64,71.02,69.2,70.23,4119600,69.32,0.5900000000000034
2014-01-31,69.68,70.23,69.3,69.55,4555700,68.65,-0.13000000000000966
2014-02-03,69.46,69.55,67.17,67.39,5126200,66.52,-2.069999999999993
2014-02-04,67.91,68.58,67.5,68.24,4723000,67.36,0.3299999999999983
2014-02-05,67.86,68.95,66.8,68.78,5248200,67.89,0.9200000000000017
2014-02-06,68.97,70.47,68.86,70.24,2987200,69.33,1.269999999999996
2014-02-07,70.38,71.7,69.61,71.61,3985500,70.69,1.230000000000004
2014-02-10,71.41,72.66,71.2,71.67,2841500,70.75,0.2600000000000051
2014-02-11,71.97,72.89,71.91,72.29,4455600,71.36,0.3200000000000074
2014-02-12,72.53,72.84,72.02,72.08,3484100,71.15,-0.45000000000000284
2014-02-13,71.61,75.0,71.45,74.4,5602400,73.44,2.7900000000000063
2014-02-14,74.44,75.0,74.06,74.59,3068700,73.63,0.15000000000000568
