Date,open,high,low,close,volume,adj_close,diff
2014-01-02,4.87,4.89,4.64,4.76,27500,4.32,-0.11000000000000032
2014-01-03,4.7,4.85,4.7,4.71,58500,4.27,0.009999999999999787
2014-01-06,4.78,4.79,4.68,4.68,9900,4.24,-0.10000000000000053
2014-01-07,4.73,4.85,4.4,4.5,33400,4.08,-0.23000000000000043
2014-01-08,4.55,4.84,4.55,4.83,52800,4.38,0.28000000000000025
2014-01-09,4.64,4.86,4.58,4.85,15100,4.4,0.20999999999999996
2014-01-10,4.86,4.86,4.63,4.69,15400,4.25,-0.16999999999999993
2014-01-13,4.74,4.85,4.71,4.83,22500,4.38,0.08999999999999986
2014-01-14,4.82,4.83,4.65,4.78,12600,4.34,-0.040000000000000036
2014-01-15,4.64,4.83,4.53,4.79,11300,4.56,0.15000000000000036
2014-01-16,4.75,4.83,4.67,4.74,5800,4.51,-0.009999999999999787
2014-01-17,4.82,4.82,4.55,4.65,20700,4.43,-0.16999999999999993
2014-01-21,4.59,4.82,4.53,4.74,5400,4.51,0.15000000000000036
2014-01-22,4.69,4.83,4.57,4.6,11300,4.38,-0.09000000000000075
2014-01-23,4.62,4.79,4.52,4.54,8400,4.32,-0.08000000000000007
2014-01-24,4.51,4.6,4.27,4.37,28800,4.16,-0.13999999999999968
2014-01-27,4.0,4.6,3.91,4.36,37800,4.15,0.3600000000000003
2014-01-28,4.34,4.55,4.33,4.55,7800,4.33,0.20999999999999996
2014-01-29,4.54,4.67,4.34,4.65,6400,4.43,0.11000000000000032
2014-01-30,4.5,4.64,4.45,4.58,4500,4.36,0.08000000000000007
2014-01-31,4.49,4.5,4.44,4.5,11600,4.29,0.009999999999999787
2014-02-03,4.48,4.5,4.41,4.41,25600,4.2,-0.07000000000000028
2014-02-04,4.41,4.46,4.36,4.44,8500,4.23,0.03000000000000025
2014-02-05,4.42,4.44,4.27,4.43,10900,4.22,0.009999999999999787
2014-02-06,4.44,4.44,4.25,4.43,25500,4.22,-0.010000000000000675
2014-02-07,4.34,4.43,4.32,4.35,10700,4.14,0.009999999999999787
2014-02-10,4.3,4.44,4.3,4.39,10600,4.18,0.08999999999999986
2014-02-11,4.35,4.38,4.25,4.29,20900,4.09,-0.05999999999999961
2014-02-12,4.33,4.44,4.26,4.38,19100,4.17,0.04999999999999982
2014-02-13,4.31,4.44,4.25,4.4,12700,4.19,0.09000000000000075
2014-02-14,4.37,4.39,4.26,4.26,12200,4.06,-0.11000000000000032
2014-02-18,4.29,4.35,4.0,4.08,33800,3.89,-0.20999999999999996
2014-02-19,4.21,4.25,4.1,4.19,11800,3.99,-0.019999999999999574
2014-02-20,4.16,4.17,4.02,4.08,11200,3.89,-0.08000000000000007
2014-02-21,4.1,4.23,4.0,4.2,24400,4.0,0.10000000000000053
2014-02-24,4.2,4.28,4.12,4.2,13700,4.0,0.0
2014-02-25,4.17,4.17,4.06,4.16,15600,3.96,-0.009999999999999787
2014-02-26,4.17,4.23,3.83,3.9,41500,3.71,-0.27
2014-02-27,4.0,4.05,3.88,4.0,5900,3.81,0.0
2014-02-28,4.03,4.05,3.73,3.89,21100,3.7,-0.14000000000000012
2014-03-03,3.86,3.99,3.73,3.85,8300,3.67,-0.009999999999999787
2014-03-04,3.82,3.99,3.76,3.87,9500,3.69,0.050000000000000266
2014-03-05,3.86,3.94,3.86,3.9,18700,3.71,0.040000000000000036
2014-03-06,3.93,4.01,3.86,3.9,48500,3.71,-0.03000000000000025
2014-03-07,3.99,4.0,3.93,3.95,6300,3.76,-0.040000000000000036
2014-03-10,3.89,3.93,3.85,3.9,24000,3.71,0.009999999999999787
2014-03-11,3.95,3.95,3.76,3.85,31300,3.67,-0.10000000000000009
2014-03-12,3.83,3.9,3.8,3.89,10100,3.7,0.06000000000000005
2014-03-13,3.88,3.95,3.71,3.9,43100,3.71,0.020000000000000018
2014-03-14,3.83,3.93,3.83,3.9,9800,3.71,0.06999999999999984
2014-03-17,3.91,3.93,3.84,3.92,23900,3.73,0.009999999999999787
2014-03-18,3.92,4.05,3.9,3.98,7600,3.79,0.06000000000000005
2014-03-19,3.95,4.1,3.95,4.09,16300,3.9,0.13999999999999968
2014-03-20,4.1,4.1,4.01,4.02,14400,3.83,-0.08000000000000007
2014-03-21,4.09,4.39,4.09,4.22,104500,4.02,0.1299999999999999
2014-03-24,4.22,4.25,4.03,4.16,12900,3.96,-0.05999999999999961
2014-03-25,4.2,4.2,4.04,4.18,14700,3.98,-0.020000000000000462
2014-03-26,4.17,4.25,4.07,4.16,3000,3.96,-0.009999999999999787
2014-03-27,4.24,4.24,4.04,4.13,17100,3.93,-0.11000000000000032
2014-03-28,4.22,4.22,4.09,4.13,15200,3.93,-0.08999999999999986
2014-03-31,4.04,4.15,4.0,4.06,34500,3.87,0.019999999999999574
2014-04-01,4.01,4.17,4.01,4.08,9600,3.89,0.07000000000000028
2014-04-02,4.05,4.1,3.98,4.05,27300,3.86,0.0
2014-04-03,4.01,4.05,4.0,4.01,17300,3.82,0.0
2014-04-04,4.01,4.05,4.0,4.0,20400,3.81,-0.009999999999999787
