Date,open,high,low,close,volume,adj_close,diff
2014-01-02,81.08,81.08,79.76,79.93,124000,76.64,-1.1499999999999915
2014-01-03,79.09,79.25,78.0,78.67,117600,75.43,-0.4200000000000017
2014-01-06,77.99,77.99,77.19,77.24,96800,74.06,-0.75
2014-01-07,77.04,77.32,76.79,77.0,114200,73.83,-0.04000000000000625
2014-01-08,76.5,76.55,75.71,76.23,143300,73.09,-0.269999999999996
2014-01-09,75.05,76.07,74.4,74.9,170600,71.81,-0.14999999999999147
2014-01-10,75.33,75.92,75.22,75.8,128400,72.68,0.46999999999999886
2014-01-13,75.85,76.15,75.02,75.19,110200,72.09,-0.6599999999999966
2014-01-14,76.0,76.96,75.8,76.88,142800,73.71,0.8799999999999955
2014-01-15,76.75,76.77,76.35,76.62,81600,73.46,-0.12999999999999545
2014-01-16,76.5,76.8,76.15,76.27,105500,73.13,-0.23000000000000398
2014-01-17,77.51,77.77,77.03,77.23,132500,74.05,-0.28000000000000114
2014-01-21,81.51,82.25,81.15,81.8,258600,78.43,0.28999999999999204
2014-01-22,82.84,83.26,82.1,82.87,154600,79.45,0.030000000000001137
2014-01-23,80.76,80.92,79.7,80.31,142100,77.0,-0.45000000000000284
2014-01-24,80.79,80.79,79.38,79.47,149900,76.19,-1.3200000000000074
2014-01-27,79.82,80.78,79.57,79.87,193000,76.58,0.05000000000001137
2014-01-28,79.8,80.3,79.62,79.99,86100,76.69,0.18999999999999773
2014-01-29,78.98,79.02,77.75,78.27,172500,75.04,-0.710000000000008
2014-01-30,79.31,79.69,78.58,79.05,156700,75.79,-0.2600000000000051
2014-01-31,79.03,79.49,78.25,78.83,93100,75.58,-0.20000000000000284
2014-02-03,79.02,79.46,77.71,77.76,293700,74.56,-1.259999999999991
2014-02-04,77.0,78.36,76.74,78.18,323200,74.96,1.1800000000000068
2014-02-05,76.22,76.58,75.32,76.07,251500,72.93,-0.15000000000000568
2014-02-06,75.73,75.78,74.76,74.98,485700,71.89,-0.75
2014-02-07,75.25,75.76,74.66,75.45,207700,72.34,0.20000000000000284
2014-02-10,74.72,74.76,73.99,74.53,257200,71.46,-0.18999999999999773
2014-02-11,75.76,77.25,75.76,77.09,359700,73.91,1.3299999999999983
2014-02-12,78.0,78.19,77.15,77.39,140700,74.2,-0.6099999999999994
2014-02-13,76.94,77.38,76.54,77.26,81900,74.08,0.3200000000000074
2014-02-14,77.93,78.98,77.91,78.49,101900,75.26,0.5599999999999881
2014-02-18,77.54,78.02,76.8,77.02,156300,73.85,-0.5200000000000102
2014-02-19,79.25,84.25,79.25,83.51,912900,80.07,4.260000000000005
2014-02-20,84.89,86.8,84.7,86.68,575000,83.11,1.7900000000000063
2014-02-21,84.63,84.85,83.8,84.3,288700,80.83,-0.3299999999999983
2014-02-24,83.31,83.74,83.08,83.42,166800,79.98,0.10999999999999943
2014-02-25,82.51,82.86,81.79,82.08,242700,78.7,-0.4300000000000068
2014-02-26,85.84,86.82,84.45,84.86,291900,81.36,-0.980000000000004
2014-02-27,89.3,90.25,88.97,89.89,447600,86.19,0.5900000000000034
2014-02-28,89.59,89.59,88.21,88.43,325200,84.79,-1.1599999999999966
2014-03-03,86.8,88.3,86.56,87.21,260700,83.62,0.4099999999999966
2014-03-04,88.73,89.56,88.36,89.34,267500,85.66,0.6099999999999994
2014-03-05,87.18,87.38,86.56,87.38,174200,83.78,0.19999999999998863
2014-03-06,87.87,88.5,87.0,87.51,177400,83.9,-0.35999999999999943
2014-03-07,90.56,90.82,89.22,89.96,402700,86.25,-0.6000000000000085
2014-03-10,88.82,88.89,87.45,88.44,328700,84.8,-0.37999999999999545
2014-03-11,88.75,89.12,87.31,87.6,179600,83.99,-1.1500000000000057
2014-03-12,85.25,85.51,84.43,85.41,203900,81.89,0.1599999999999966
2014-03-13,84.8,84.87,82.63,82.99,224000,79.57,-1.8100000000000023
2014-03-14,84.29,85.01,83.59,83.99,209300,80.53,-0.30000000000001137
2014-03-17,86.32,86.47,85.73,85.78,400600,82.24,-0.539999999999992
2014-03-18,85.6,85.82,84.81,85.31,298800,81.79,-0.28999999999999204
2014-03-19,85.86,86.0,84.74,85.06,439300,81.55,-0.7999999999999972
2014-03-20,83.46,83.68,82.74,83.55,422300,80.11,0.09000000000000341
2014-03-21,85.89,86.53,85.54,86.26,716000,82.7,0.37000000000000455
2014-03-24,89.95,89.95,87.82,88.6,251200,84.95,-1.3500000000000085
2014-03-25,88.71,89.53,88.71,89.31,171300,85.63,0.6000000000000085
2014-03-26,88.65,89.18,88.08,88.42,149200,84.78,-0.23000000000000398
2014-03-27,89.63,90.42,89.55,90.21,205900,86.49,0.5799999999999983
2014-03-28,89.39,90.21,89.16,89.7,135100,86.0,0.3100000000000023
2014-03-31,89.6,89.93,89.3,89.5,105500,85.81,-0.09999999999999432
2014-04-01,90.16,90.42,89.76,90.3,158000,86.58,0.14000000000000057
2014-04-02,89.82,90.17,89.43,90.17,130500,86.45,0.3500000000000085
2014-04-03,89.48,89.64,88.84,89.48,137400,85.79,0.0
2014-04-04,90.47,90.6,89.33,89.49,127200,85.8,-0.980000000000004
2014-04-07,90.27,90.45,89.64,90.01,87900,86.3,-0.2599999999999909
2014-04-08,90.91,91.69,90.52,90.84,139400,87.1,-0.06999999999999318
2014-04-09,93.97,94.86,93.23,94.35,179100,90.46,0.37999999999999545
2014-04-10,94.92,95.68,93.9,93.98,201400,90.11,-0.9399999999999977
2014-04-11,92.67,93.49,92.63,93.13,116300,89.29,0.45999999999999375
2014-04-14,93.5,93.5,92.03,92.34,97900,88.53,-1.1599999999999966
2014-04-15,89.18,89.37,87.78,88.81,170900,85.15,-0.37000000000000455
2014-04-16,89.58,90.32,89.31,89.88,112600,86.18,0.29999999999999716
2014-04-17,90.31,90.76,90.1,90.47,137000,86.74,0.1599999999999966
2014-04-21,90.26,90.26,89.44,90.07,76200,86.36,-0.19000000000001194
2014-04-22,92.9,93.83,92.59,92.78,223400,88.96,-0.12000000000000455
2014-04-23,92.3,92.3,91.52,92.18,96400,88.38,-0.11999999999999034
2014-04-24,91.88,91.88,90.77,91.4,81700,87.63,-0.47999999999998977
2014-04-25,89.2,90.08,88.89,90.05,133800,86.34,0.8499999999999943
2014-04-28,90.44,90.48,89.25,90.32,246000,86.6,-0.12000000000000455
2014-04-29,89.5,90.05,89.29,89.36,129400,85.68,-0.14000000000000057
2014-04-30,88.27,88.92,87.92,88.87,138400,85.21,0.6000000000000085
2014-05-01,88.84,89.92,88.51,89.27,284500,85.59,0.4299999999999926
2014-05-02,88.7,88.98,88.17,88.83,179200,85.17,0.12999999999999545
2014-05-05,87.12,87.64,86.8,87.64,191000,84.03,0.519999999999996
2014-05-06,88.11,88.46,87.61,88.11,198100,84.48,0.0
2014-05-07,86.09,86.99,85.88,86.45,400600,82.89,0.35999999999999943
2014-05-08,87.31,87.5,86.8,86.95,175600,83.37,-0.35999999999999943
2014-05-09,87.8,88.06,87.51,87.77,124700,84.15,-0.030000000000001137
2014-05-12,90.44,90.86,90.38,90.76,192100,87.02,0.3200000000000074
2014-05-13,91.1,91.53,90.92,91.28,97600,87.52,0.18000000000000682
2014-05-14,91.7,91.9,91.05,91.22,168900,87.46,-0.480000000000004
2014-05-15,90.82,90.82,89.89,90.5,95200,86.77,-0.3199999999999932
2014-05-16,90.89,91.3,90.47,91.07,73600,87.32,0.1799999999999926
2014-05-19,90.59,90.75,90.17,90.41,76000,86.68,-0.18000000000000682
2014-05-20,90.06,90.43,89.44,89.67,109800,85.97,-0.39000000000000057
2014-05-21,89.91,91.13,89.88,90.53,194600,89.21,0.6200000000000045
2014-05-22,90.84,91.34,90.84,91.09,98100,89.76,0.25
2014-05-23,91.46,91.77,91.14,91.49,105600,90.15,0.030000000000001137
2014-05-27,90.3,90.32,89.28,89.74,158600,88.43,-0.5600000000000023
2014-05-28,91.4,91.4,90.68,91.16,117300,89.83,-0.2400000000000091
2014-05-29,91.63,91.63,90.97,91.3,79100,89.96,-0.3299999999999983
2014-05-30,91.44,91.64,90.3,90.3,115200,88.98,-1.1400000000000006
2014-06-02,91.3,92.23,91.16,92.12,184800,90.77,0.8200000000000074
2014-06-03,91.39,92.4,91.28,92.22,168700,90.87,0.8299999999999983
2014-06-04,91.34,91.55,90.69,90.79,93900,89.46,-0.5499999999999972
2014-06-05,91.44,91.78,91.13,91.69,98400,90.35,0.25
2014-06-06,92.5,92.73,92.18,92.2,98800,90.85,-0.29999999999999716
2014-06-09,92.29,92.86,92.1,92.75,68100,91.39,0.45999999999999375
2014-06-10,94.35,94.58,94.2,94.42,120900,93.04,0.07000000000000739
2014-06-11,93.45,93.71,93.16,93.35,64800,91.98,-0.10000000000000853
2014-06-12,94.29,94.41,93.63,93.84,106600,92.47,-0.45000000000000284
2014-06-13,95.41,96.09,95.35,95.95,128500,94.55,0.5400000000000063
2014-06-16,96.04,96.48,95.43,96.33,158500,94.92,0.28999999999999204
2014-06-17,95.06,96.27,94.89,96.26,198100,94.85,1.2000000000000028
2014-06-18,96.45,97.52,96.05,97.43,128100,96.0,0.980000000000004
2014-06-19,96.29,96.77,96.07,96.54,140500,95.13,0.25
2014-06-20,96.57,97.14,96.23,96.73,375000,95.31,0.1600000000000108
2014-06-23,93.86,93.98,93.5,93.79,187100,92.42,-0.06999999999999318
2014-06-24,92.85,93.48,92.35,92.49,167200,91.14,-0.35999999999999943
2014-06-25,92.85,93.62,92.76,93.47,106400,92.1,0.6200000000000045
2014-06-26,95.49,95.83,95.25,95.67,142000,94.27,0.18000000000000682
