Date,open,high,low,close,volume,adj_close,diff
2014-01-02,5.89,5.95,5.57,5.86,55300,5.68,-0.02999999999999936
2014-01-03,5.9,5.9,5.71,5.84,5500,5.66,-0.0600000000000005
2014-01-06,5.95,5.95,5.76,5.83,13500,5.65,-0.1200000000000001
2014-01-07,5.79,5.83,5.66,5.83,16400,5.65,0.040000000000000036
2014-01-08,5.84,5.84,5.64,5.68,6700,5.51,-0.16000000000000014
2014-01-09,5.69,5.79,5.52,5.58,16700,5.41,-0.11000000000000032
2014-01-10,5.61,5.78,5.61,5.74,8500,5.56,0.1299999999999999
2014-01-13,5.75,5.8,5.52,5.55,7300,5.38,-0.20000000000000018
2014-01-14,5.8,5.82,5.69,5.78,20800,5.6,-0.019999999999999574
2014-01-15,5.78,5.78,5.7,5.77,12300,5.59,-0.010000000000000675
2014-01-16,5.55,5.82,5.55,5.65,4400,5.48,0.10000000000000053
2014-01-17,5.59,5.78,5.59,5.71,15900,5.53,0.1200000000000001
2014-01-21,5.68,5.74,5.64,5.64,6300,5.47,-0.040000000000000036
2014-01-22,5.75,5.75,5.55,5.69,8500,5.51,-0.05999999999999961
2014-01-23,5.55,5.74,5.55,5.58,7300,5.41,0.03000000000000025
2014-01-24,5.64,5.77,5.6,5.76,34900,5.58,0.1200000000000001
2014-01-27,5.77,5.93,5.71,5.76,16200,5.58,-0.009999999999999787
2014-01-28,5.93,6.24,5.64,5.93,67600,5.75,0.0
2014-01-29,5.93,6.09,5.66,5.9,40400,5.72,-0.02999999999999936
2014-01-30,5.95,5.99,5.8,5.85,13800,5.67,-0.10000000000000053
2014-01-31,5.89,5.99,5.75,5.88,8900,5.7,-0.009999999999999787
2014-02-03,5.93,5.98,5.85,5.88,13200,5.7,-0.04999999999999982
2014-02-04,5.87,6.03,5.6,5.97,23800,5.79,0.09999999999999964
2014-02-05,5.97,6.0,5.75,5.93,5400,5.75,-0.040000000000000036
2014-02-06,5.98,5.98,5.86,5.98,6000,5.8,0.0
2014-02-07,5.96,5.99,5.9,5.95,12300,5.77,-0.009999999999999787
2014-02-10,5.97,6.01,5.95,5.99,10500,5.81,0.020000000000000462
2014-02-11,6.0,6.15,6.0,6.08,31900,5.89,0.08000000000000007
2014-02-12,6.08,6.08,5.94,6.01,13400,5.83,-0.07000000000000028
2014-02-13,5.65,6.05,5.61,6.04,11400,5.85,0.3899999999999997
2014-02-14,6.1,6.14,5.95,6.14,10100,5.95,0.040000000000000036
2014-02-18,6.24,6.39,6.1,6.24,87300,6.05,0.0
2014-02-19,6.1,6.32,6.01,6.32,21100,6.13,0.22000000000000064
2014-02-20,6.37,6.37,6.21,6.27,17100,6.08,-0.10000000000000053
2014-02-21,6.26,6.39,6.15,6.29,15800,6.1,0.03000000000000025
2014-02-24,6.25,6.33,6.18,6.2,17500,6.01,-0.04999999999999982
2014-02-25,6.2,6.23,6.14,6.2,3300,6.01,0.0
2014-02-26,6.25,6.3,6.19,6.19,6500,6.0,-0.05999999999999961
2014-02-27,6.29,6.29,6.0,6.0,15400,5.82,-0.29000000000000004
2014-02-28,6.0,6.29,6.0,6.17,12100,5.98,0.16999999999999993
2014-03-03,6.08,6.3,6.08,6.3,7100,6.11,0.21999999999999975
2014-03-04,6.37,6.37,6.17,6.17,7200,5.98,-0.20000000000000018
2014-03-05,6.19,6.28,6.07,6.07,5500,5.88,-0.1200000000000001
2014-03-06,6.1,6.32,6.1,6.3,28700,6.11,0.20000000000000018
2014-03-07,6.29,6.35,6.26,6.32,11800,6.13,0.03000000000000025
2014-03-10,6.23,6.31,6.13,6.18,3200,5.99,-0.05000000000000071
2014-03-11,6.15,6.32,6.15,6.16,2700,5.97,0.009999999999999787
2014-03-12,6.16,6.17,6.1,6.17,5800,6.02,0.009999999999999787
2014-03-13,6.35,6.35,6.15,6.28,32400,6.13,-0.0699999999999994
2014-03-14,6.43,6.43,6.31,6.39,13300,6.24,-0.040000000000000036
2014-03-17,6.45,6.45,6.26,6.3,5600,6.15,-0.15000000000000036
2014-03-18,6.21,6.35,6.21,6.21,7300,6.06,0.0
2014-03-19,6.16,6.34,6.1,6.14,21500,5.99,-0.020000000000000462
2014-03-20,6.17,6.32,6.16,6.24,13600,6.09,0.07000000000000028
2014-03-21,6.24,6.36,6.18,6.36,34500,6.21,0.1200000000000001
2014-03-24,6.34,6.34,6.16,6.22,7500,6.07,-0.1200000000000001
2014-03-25,6.25,6.3,6.17,6.25,16100,6.1,0.0
2014-03-26,6.3,6.34,6.2,6.33,6400,6.18,0.03000000000000025
2014-03-27,6.25,6.34,6.25,6.33,2700,6.18,0.08000000000000007
2014-03-28,6.31,6.35,6.29,6.34,7300,6.19,0.03000000000000025
2014-03-31,6.35,6.48,6.28,6.37,28200,6.22,0.020000000000000462
2014-04-01,6.53,6.55,6.4,6.47,22200,6.32,-0.0600000000000005
2014-04-02,6.53,6.65,6.52,6.59,66700,6.43,0.05999999999999961
2014-04-03,6.56,6.69,6.49,6.62,120900,6.46,0.0600000000000005
2014-04-04,6.65,6.7,6.52,6.68,18000,6.52,0.02999999999999936
2014-04-07,6.74,6.74,6.6,6.69,19700,6.53,-0.04999999999999982
2014-04-08,6.71,6.71,6.58,6.68,10400,6.52,-0.03000000000000025
2014-04-09,6.65,7.01,6.65,6.79,40700,6.63,0.13999999999999968
2014-04-10,6.83,6.9,6.81,6.83,26900,6.67,0.0
2014-04-11,6.81,6.89,6.76,6.76,41300,6.6,-0.04999999999999982
2014-04-14,6.79,6.9,6.79,6.84,9900,6.68,0.04999999999999982
2014-04-15,6.8,6.92,6.52,6.8,43900,6.64,0.0
2014-04-16,6.81,6.89,6.76,6.83,17100,6.67,0.020000000000000462
2014-04-17,6.91,6.91,6.85,6.89,14400,6.73,-0.020000000000000462
2014-04-21,6.92,6.98,6.88,6.88,25100,6.72,-0.040000000000000036
2014-04-22,6.96,7.02,6.87,6.9,42100,6.74,-0.05999999999999961
2014-04-23,6.99,6.99,6.7,6.8,34600,6.64,-0.1900000000000004
2014-04-24,6.82,6.82,6.74,6.79,18100,6.63,-0.03000000000000025
2014-04-25,6.81,6.81,6.58,6.64,24800,6.48,-0.16999999999999993
2014-04-28,6.83,6.84,6.56,6.8,18400,6.64,-0.03000000000000025
2014-04-29,6.78,7.09,6.78,6.97,34600,6.81,0.1899999999999995
2014-04-30,6.97,7.15,6.96,7.04,13300,6.87,0.07000000000000028
2014-05-01,7.21,7.21,6.97,7.01,9800,6.84,-0.20000000000000018
2014-05-02,7.05,7.07,6.9,7.04,37900,6.87,-0.009999999999999787
2014-05-05,7.07,7.07,6.97,7.0,29800,6.83,-0.07000000000000028
2014-05-06,6.97,7.04,6.81,6.99,9400,6.82,0.020000000000000462
2014-05-07,7.07,7.07,6.91,6.99,18900,6.82,-0.08000000000000007
2014-05-08,7.03,7.05,6.84,6.94,19500,6.78,-0.08999999999999986
2014-05-09,6.85,6.9,6.46,6.58,75200,6.42,-0.2699999999999996
2014-05-12,6.56,6.76,6.43,6.5,442300,6.35,-0.05999999999999961
2014-05-13,6.7,7.0,6.69,6.91,43400,6.75,0.20999999999999996
2014-05-14,6.9,7.02,6.9,6.91,14100,6.75,0.009999999999999787
2014-05-15,7.03,7.12,6.7,7.11,29400,6.94,0.08000000000000007
2014-05-16,7.17,7.25,7.11,7.19,26600,7.02,0.020000000000000462
2014-05-19,7.23,7.24,6.75,7.15,31200,6.98,-0.08000000000000007
2014-05-20,7.13,7.13,6.92,7.01,9200,6.84,-0.1200000000000001
2014-05-21,7.04,7.24,6.91,7.14,10400,6.97,0.09999999999999964
2014-05-22,7.15,7.22,7.15,7.2,5300,7.03,0.04999999999999982
2014-05-23,7.21,7.35,7.21,7.33,43700,7.16,0.1200000000000001
2014-05-27,7.33,7.45,7.32,7.38,33400,7.21,0.04999999999999982
2014-05-28,7.38,7.45,7.3,7.38,17500,7.21,0.0
2014-05-29,7.38,7.48,7.31,7.41,19700,7.23,0.03000000000000025
2014-05-30,7.4,7.49,7.3,7.3,15600,7.13,-0.10000000000000053
2014-06-02,7.37,7.48,7.26,7.27,10500,7.1,-0.10000000000000053
2014-06-03,7.37,7.44,7.33,7.44,11900,7.26,0.07000000000000028
2014-06-04,7.39,7.49,7.3,7.4,23600,7.23,0.010000000000000675
2014-06-05,7.36,7.55,7.36,7.54,67800,7.36,0.17999999999999972
2014-06-06,7.46,7.75,7.46,7.75,30900,7.57,0.29000000000000004
2014-06-09,7.7,7.76,7.45,7.65,46000,7.47,-0.04999999999999982
2014-06-10,7.63,7.88,7.63,7.63,18900,7.45,0.0
2014-06-11,7.55,7.69,7.51,7.69,11200,7.56,0.14000000000000057
2014-06-12,7.52,7.63,7.5,7.56,7400,7.43,0.040000000000000036
2014-06-13,7.67,7.7,7.6,7.62,12500,7.49,-0.04999999999999982
2014-06-16,7.62,7.75,7.37,7.5,52900,7.37,-0.1200000000000001
2014-06-17,7.48,7.59,7.45,7.59,8200,7.46,0.10999999999999943
2014-06-18,7.63,7.71,7.43,7.7,24100,7.57,0.07000000000000028
2014-06-19,7.63,7.69,7.51,7.64,7200,7.51,0.009999999999999787
2014-06-20,7.48,7.65,7.2,7.53,25700,7.4,0.04999999999999982
2014-06-23,7.44,7.57,7.44,7.53,8900,7.4,0.08999999999999986
2014-06-24,7.48,7.54,7.3,7.47,46300,7.34,-0.010000000000000675
2014-06-25,7.47,7.9,7.34,7.9,43300,7.76,0.4300000000000006
2014-06-26,7.56,7.79,7.51,7.56,26200,7.43,0.0
2014-06-27,7.6,8.03,7.55,8.03,33300,7.89,0.4299999999999997
2014-06-30,8.07,8.07,7.68,7.83,43200,7.7,-0.2400000000000002
2014-07-01,7.83,8.08,7.83,7.95,14500,7.81,0.1200000000000001
2014-07-02,7.99,8.13,7.72,7.83,17400,7.7,-0.16000000000000014
2014-07-03,7.76,8.08,7.76,8.0,22300,7.86,0.2400000000000002
2014-07-07,8.0,8.0,7.82,7.82,9900,7.69,-0.17999999999999972
2014-07-08,7.85,7.93,7.75,7.75,14800,7.62,-0.09999999999999964
2014-07-09,7.76,7.89,7.75,7.76,4800,7.63,0.0
2014-07-10,7.73,7.93,7.73,7.83,12700,7.7,0.09999999999999964
2014-07-11,7.79,7.81,7.71,7.79,12900,7.66,0.0
2014-07-14,7.78,7.8,6.88,7.64,26900,7.51,-0.14000000000000057
2014-07-15,7.5,7.68,7.39,7.6,7900,7.47,0.09999999999999964
2014-07-16,7.6,7.6,7.34,7.58,24200,7.45,-0.019999999999999574
2014-07-17,7.42,7.6,7.31,7.46,11600,7.33,0.040000000000000036
2014-07-18,7.41,7.51,7.38,7.48,52800,7.35,0.07000000000000028
2014-07-21,7.47,7.6,7.44,7.59,15700,7.46,0.1200000000000001
2014-07-22,7.61,7.98,7.61,7.81,28100,7.68,0.1999999999999993
2014-07-23,7.78,7.82,7.55,7.79,21100,7.66,0.009999999999999787
2014-07-24,7.8,7.92,7.8,7.85,6400,7.72,0.04999999999999982
2014-07-25,7.88,7.94,7.76,7.79,12900,7.66,-0.08999999999999986
2014-07-28,7.9,7.96,7.74,7.87,8500,7.73,-0.03000000000000025
2014-07-29,7.84,7.95,7.71,7.73,19800,7.6,-0.10999999999999943
2014-07-30,7.83,7.83,7.69,7.77,2100,7.64,-0.0600000000000005
2014-07-31,7.77,7.9,7.53,7.68,13300,7.55,-0.08999999999999986
2014-08-01,7.88,7.88,7.53,7.58,5700,7.45,-0.2999999999999998
2014-08-04,7.68,7.8,7.62,7.63,9000,7.5,-0.04999999999999982
2014-08-05,7.77,7.95,7.77,7.85,16300,7.72,0.08000000000000007
2014-08-06,7.91,7.95,7.81,7.83,7100,7.7,-0.08000000000000007
2014-08-07,7.91,7.93,7.81,7.91,61500,7.77,0.0
2014-08-08,7.97,7.97,7.84,7.94,32600,7.8,-0.02999999999999936
2014-08-11,7.94,8.05,7.89,8.03,25600,7.89,0.08999999999999897
2014-08-12,8.05,8.23,7.97,8.21,44600,8.07,0.16000000000000014
2014-08-13,8.25,8.45,8.22,8.3,43900,8.16,0.05000000000000071
2014-08-14,8.3,8.33,8.13,8.14,16700,8.0,-0.16000000000000014
2014-08-15,8.23,8.23,8.13,8.15,12000,8.01,-0.08000000000000007
2014-08-18,8.23,8.23,8.11,8.12,19800,7.98,-0.11000000000000121
2014-08-19,8.13,8.14,7.9,8.03,45800,7.89,-0.10000000000000142
2014-08-20,8.03,8.05,7.95,7.99,5100,7.85,-0.03999999999999915
2014-08-21,8.07,8.14,7.94,8.02,13200,7.88,-0.05000000000000071
2014-08-22,8.07,8.14,8.05,8.11,14300,7.97,0.03999999999999915
2014-08-25,8.19,8.19,8.05,8.16,12300,8.02,-0.02999999999999936
2014-08-26,8.11,8.12,8.05,8.1,23800,7.96,-0.009999999999999787
2014-08-27,8.05,8.08,8.01,8.06,24500,7.92,0.009999999999999787
2014-08-28,8.02,8.16,7.92,8.15,21900,8.01,0.13000000000000078
2014-08-29,8.15,8.23,8.11,8.16,33700,8.02,0.009999999999999787
2014-09-02,8.22,8.23,8.13,8.2,23000,8.06,-0.02000000000000135
2014-09-03,8.16,8.16,8.03,8.15,8900,8.01,-0.009999999999999787
2014-09-04,8.16,8.16,8.04,8.12,10600,7.98,-0.040000000000000924
2014-09-05,8.08,8.16,8.01,8.08,7700,7.94,0.0
2014-09-08,8.12,8.14,8.06,8.08,6000,7.94,-0.03999999999999915
2014-09-09,8.08,8.14,8.06,8.06,6400,7.92,-0.019999999999999574
2014-09-10,8.06,8.06,7.9,7.94,21900,7.8,-0.1200000000000001
2014-09-11,7.9,8.02,7.9,7.93,16300,7.79,0.02999999999999936
2014-09-12,7.9,7.9,7.69,7.82,22000,7.69,-0.08000000000000007
2014-09-15,7.82,7.94,7.7,7.81,17200,7.68,-0.010000000000000675
2014-09-16,7.89,7.89,7.75,7.83,28100,7.7,-0.05999999999999961
2014-09-17,7.8,7.84,7.72,7.74,23000,7.61,-0.05999999999999961
2014-09-18,7.79,7.84,7.61,7.84,18600,7.71,0.04999999999999982
2014-09-19,7.85,7.96,7.72,7.96,92200,7.82,0.11000000000000032
2014-09-22,7.87,8.0,7.74,7.9,26900,7.76,0.03000000000000025
2014-09-23,7.83,7.93,7.76,7.86,11200,7.72,0.03000000000000025
2014-09-24,7.86,7.89,7.76,7.87,17200,7.73,0.009999999999999787
2014-09-25,7.85,7.88,7.77,7.78,12800,7.65,-0.0699999999999994
2014-09-26,7.8,7.84,7.75,7.76,23300,7.63,-0.040000000000000036
2014-09-29,7.56,7.89,6.6,7.66,50000,7.53,0.10000000000000053
2014-09-30,7.68,7.84,7.6,7.8,15900,7.73,0.1200000000000001
2014-10-01,7.76,7.76,7.57,7.65,46000,7.58,-0.10999999999999943
2014-10-02,7.84,7.89,7.66,7.75,9800,7.68,-0.08999999999999986
2014-10-03,7.75,7.86,7.55,7.71,35800,7.64,-0.040000000000000036
2014-10-06,7.65,7.78,7.48,7.5,73200,7.43,-0.15000000000000036
2014-10-07,7.57,7.57,7.31,7.53,19400,7.46,-0.040000000000000036
2014-10-08,7.54,7.6,7.46,7.6,27500,7.53,0.05999999999999961
2014-10-09,7.6,7.6,7.53,7.59,12700,7.52,-0.009999999999999787
2014-10-10,7.58,7.6,7.49,7.54,11800,7.47,-0.040000000000000036
2014-10-13,7.6,7.68,7.53,7.59,25200,7.52,-0.009999999999999787
2014-10-14,7.59,7.63,7.33,7.43,57400,7.36,-0.16000000000000014
2014-10-15,7.42,7.62,7.3,7.45,37800,7.38,0.03000000000000025
2014-10-16,7.38,7.55,7.38,7.55,4400,7.48,0.16999999999999993
2014-10-17,7.68,7.68,7.42,7.57,11400,7.5,-0.10999999999999943
2014-10-20,7.6,7.79,7.6,7.75,45900,7.68,0.15000000000000036
2014-10-21,7.74,7.84,7.74,7.84,25400,7.77,0.09999999999999964
2014-10-22,7.8,7.9,7.78,7.78,37900,7.71,-0.019999999999999574
2014-10-23,7.8,7.9,7.8,7.83,27900,7.76,0.03000000000000025
2014-10-24,7.84,7.94,7.81,7.85,32000,7.78,0.009999999999999787
2014-10-27,7.88,7.95,7.8,7.82,15500,7.75,-0.05999999999999961
2014-10-28,7.82,7.94,7.71,7.93,17900,7.86,0.10999999999999943
2014-10-29,7.78,7.97,7.78,7.9,14000,7.83,0.1200000000000001
2014-10-30,7.86,7.86,7.7,7.85,30500,7.78,-0.010000000000000675
2014-10-31,7.95,7.95,7.72,7.85,18200,7.78,-0.10000000000000053
2014-11-03,7.85,7.86,7.78,7.82,24400,7.75,-0.02999999999999936
2014-11-04,7.75,8.1,7.59,7.91,33700,7.84,0.16000000000000014
2014-11-05,7.98,8.07,7.82,7.94,11200,7.87,-0.040000000000000036
2014-11-06,7.93,7.95,7.92,7.92,1500,7.85,-0.009999999999999787
2014-11-07,7.89,7.92,7.82,7.83,14900,7.76,-0.05999999999999961
2014-11-10,7.79,7.79,7.51,7.72,50600,7.65,-0.07000000000000028
2014-11-11,7.72,7.82,7.7,7.71,27800,7.64,-0.009999999999999787
2014-11-12,7.7,7.73,7.65,7.68,22700,7.61,-0.020000000000000462
2014-11-13,7.68,7.73,7.55,7.63,94000,7.56,-0.04999999999999982
2014-11-14,7.63,7.63,7.54,7.57,13200,7.5,-0.05999999999999961
2014-11-17,7.53,7.63,7.45,7.49,73600,7.42,-0.040000000000000036
2014-11-18,7.47,7.5,7.25,7.42,31700,7.35,-0.04999999999999982
2014-11-19,7.38,7.65,7.38,7.44,42200,7.37,0.0600000000000005
2014-11-20,7.5,7.71,7.5,7.62,38000,7.55,0.1200000000000001
