Date,open,high,low,close,volume,adj_close,diff
2014-01-02,20.04,20.09,19.73,19.84,585400,19.71,-0.1999999999999993
2014-01-03,19.86,20.0,19.42,19.72,821900,19.59,-0.14000000000000057
2014-01-06,19.97,20.18,18.96,19.25,1779300,19.13,-0.7199999999999989
2014-01-07,20.23,20.76,19.91,20.15,1523300,20.02,-0.08000000000000185
2014-01-08,20.0,20.08,18.88,19.19,1926300,19.07,-0.8099999999999987
2014-01-09,19.25,19.6,19.23,19.51,1049800,19.38,0.26000000000000156
2014-01-10,19.58,20.1,19.5,19.88,1012400,19.75,0.3000000000000007
2014-01-13,19.79,20.14,19.48,19.6,383900,19.47,-0.18999999999999773
2014-01-14,19.69,19.98,19.6,19.94,462900,19.81,0.25
2014-01-15,20.0,20.93,19.84,20.8,1169100,20.67,0.8000000000000007
2014-01-16,20.83,21.05,20.52,20.58,515300,20.45,-0.25
2014-01-17,20.74,20.89,20.5,20.5,394300,20.37,-0.23999999999999844
2014-01-21,20.66,20.74,20.1,20.17,317400,20.04,-0.48999999999999844
2014-01-22,20.17,20.25,20.09,20.13,251200,20.0,-0.0400000000000027
2014-01-23,19.94,20.0,19.51,19.7,646900,19.57,-0.240000000000002
2014-01-24,19.6,19.75,18.84,18.92,684600,18.8,-0.6799999999999997
2014-01-27,18.56,18.93,17.89,18.35,590900,18.23,-0.2099999999999973
2014-01-28,18.36,18.59,18.26,18.5,471300,18.38,0.14000000000000057
2014-01-29,18.26,18.56,18.03,18.08,713100,17.96,-0.18000000000000327
2014-01-30,18.28,18.43,18.04,18.05,491900,17.93,-0.23000000000000043
2014-01-31,17.75,18.09,17.6,17.79,673800,17.68,0.03999999999999915
2014-02-03,17.7,18.0,16.92,17.28,918600,17.17,-0.41999999999999815
2014-02-04,17.42,17.73,17.33,17.5,670600,17.39,0.0799999999999983
2014-02-05,17.36,17.48,16.94,17.16,1017400,17.05,-0.1999999999999993
2014-02-06,17.15,17.62,17.15,17.47,1078300,17.36,0.3200000000000003
2014-02-07,17.4,17.68,17.38,17.48,427400,17.37,0.08000000000000185
2014-02-10,17.4,17.91,17.39,17.86,640400,17.74,0.46000000000000085
2014-02-11,17.91,18.12,17.71,17.86,546700,17.74,-0.05000000000000071
2014-02-12,17.85,18.05,17.85,18.0,520700,17.88,0.14999999999999858
2014-02-13,17.84,18.27,17.77,18.27,483300,18.15,0.4299999999999997
2014-02-14,18.28,18.82,18.19,18.79,841700,18.67,0.509999999999998
2014-02-18,18.83,19.09,18.67,18.98,1381700,18.86,0.15000000000000213
2014-02-19,18.9,19.35,18.9,19.16,885600,19.04,0.26000000000000156
2014-02-20,19.25,19.45,19.18,19.4,576100,19.27,0.14999999999999858
2014-02-21,19.47,19.66,19.36,19.54,581800,19.41,0.07000000000000028
2014-02-24,19.6,19.93,19.54,19.85,759900,19.72,0.25
2014-02-25,19.82,20.0,19.66,19.71,569500,19.58,-0.10999999999999943
2014-02-26,19.79,19.94,19.66,19.75,450500,19.62,-0.03999999999999915
2014-02-27,19.65,20.33,19.64,20.28,600900,20.15,0.6300000000000026
2014-02-28,20.31,20.75,20.27,20.38,608000,20.25,0.07000000000000028
2014-03-03,19.94,19.99,19.25,19.51,1041200,19.38,-0.4299999999999997
2014-03-04,19.79,20.23,19.73,20.04,1723000,19.91,0.25
2014-03-05,19.96,20.1,19.73,20.06,741200,19.93,0.09999999999999787
2014-03-06,20.16,20.4,20.14,20.37,467300,20.24,0.21000000000000085
2014-03-07,20.53,20.82,20.36,20.8,714100,20.67,0.2699999999999996
2014-03-10,20.65,20.85,20.5,20.76,520000,20.63,0.11000000000000298
2014-03-11,20.82,21.38,20.53,20.64,677300,20.51,-0.17999999999999972
2014-03-12,20.56,21.46,20.55,21.46,787100,21.32,0.9000000000000021
2014-03-13,21.5,21.68,20.67,20.88,618000,20.75,-0.620000000000001
2014-03-14,21.47,22.02,21.19,21.8,928400,21.66,0.33000000000000185
2014-03-17,21.9,22.34,21.88,22.06,699300,21.92,0.16000000000000014
2014-03-18,22.1,22.36,22.1,22.31,355100,22.17,0.2099999999999973
2014-03-19,22.28,22.32,21.38,21.6,709600,21.46,-0.6799999999999997
2014-03-20,21.48,21.95,21.48,21.59,810800,21.45,0.10999999999999943
2014-03-21,21.75,21.91,21.26,21.27,750200,21.13,-0.4800000000000004
2014-03-24,21.41,21.54,20.5,20.92,1317200,20.79,-0.48999999999999844
2014-03-25,22.3,23.51,22.3,23.23,3977300,23.08,0.9299999999999997
2014-03-26,23.31,23.56,22.46,22.58,1352000,22.43,-0.7300000000000004
2014-03-27,22.62,22.62,22.05,22.29,920100,22.15,-0.33000000000000185
2014-03-28,22.31,22.73,22.26,22.56,787400,22.41,0.25
2014-03-31,22.68,22.82,22.45,22.79,775600,22.64,0.10999999999999943
2014-04-01,22.78,23.17,22.78,23.12,1086100,22.97,0.33999999999999986
2014-04-02,23.12,23.24,22.66,22.98,716900,22.83,-0.14000000000000057
2014-04-03,22.96,22.96,22.54,22.68,435300,22.53,-0.28000000000000114
2014-04-04,21.93,22.43,21.7,22.01,862400,21.87,0.08000000000000185
2014-04-07,21.84,22.26,21.31,21.52,596100,21.38,-0.3200000000000003
2014-04-08,21.53,21.85,21.28,21.57,574300,21.43,0.03999999999999915
2014-04-09,21.72,22.07,21.47,22.05,295500,21.91,0.33000000000000185
2014-04-10,22.06,22.19,21.3,21.34,553500,21.2,-0.7199999999999989
2014-04-11,21.32,21.56,21.04,21.21,497900,21.07,-0.10999999999999943
2014-04-14,20.6,21.29,20.12,20.88,1460800,20.75,0.2799999999999976
2014-04-15,20.91,20.95,20.18,20.42,1213100,20.29,-0.48999999999999844
2014-04-16,21.31,21.31,20.56,20.84,1040100,20.71,-0.46999999999999886
2014-04-17,20.85,21.0,20.45,20.61,854800,20.48,-0.240000000000002
2014-04-21,20.58,20.91,20.26,20.73,603100,20.6,0.15000000000000213
