Date,open,high,low,close,volume,adj_close,diff
2014-01-02,19.5,20.79,19.2,20.35,108200,20.35,0.8500000000000014
2014-01-03,20.46,20.92,19.7,19.96,127700,19.96,-0.5
2014-01-06,20.33,20.5,19.5,19.85,74200,19.85,-0.4799999999999969
2014-01-07,19.92,20.2,19.61,19.9,77600,19.9,-0.020000000000003126
2014-01-08,20.0,21.0,19.65,19.98,145300,19.98,-0.019999999999999574
2014-01-09,20.19,20.88,19.8,20.08,269400,20.08,-0.11000000000000298
2014-01-10,20.35,21.22,20.35,21.09,227000,21.09,0.7399999999999984
2014-01-13,21.31,21.5,19.0,19.4,271400,19.4,-1.9100000000000001
2014-01-14,19.51,20.0,19.2,19.75,99600,19.75,0.23999999999999844
2014-01-15,20.0,20.06,19.1,19.21,123200,19.21,-0.7899999999999991
2014-01-16,19.18,21.93,19.18,21.82,396300,21.82,2.6400000000000006
2014-01-17,22.0,30.45,22.0,30.44,1403000,30.44,8.440000000000001
2014-01-21,30.33,31.48,28.32,30.22,634800,30.22,-0.10999999999999943
2014-01-22,30.21,31.3,29.59,29.94,238400,29.94,-0.2699999999999996
2014-01-23,29.76,29.85,26.5,27.33,308400,27.33,-2.4300000000000033
2014-01-24,26.89,28.2,25.66,26.52,249800,26.52,-0.370000000000001
2014-01-27,26.46,27.35,24.5,25.24,284600,25.24,-1.2200000000000024
2014-01-28,25.34,26.2,25.06,25.64,160500,25.64,0.3000000000000007
2014-01-29,25.26,25.51,24.9,25.02,110600,25.02,-0.240000000000002
2014-01-30,25.29,26.93,25.29,25.39,130900,25.39,0.10000000000000142
2014-01-31,25.0,26.0,24.88,25.15,180700,25.15,0.14999999999999858
2014-02-03,24.91,25.55,23.19,23.52,274300,23.52,-1.3900000000000006
2014-02-04,23.58,24.44,23.02,23.49,243200,23.49,-0.08999999999999986
2014-02-05,23.32,23.88,20.61,20.64,364600,20.64,-2.6799999999999997
2014-02-06,20.89,22.49,20.58,20.66,149300,20.66,-0.23000000000000043
2014-02-07,20.94,23.9,20.7,22.52,252800,22.52,1.5799999999999983
2014-02-10,22.99,25.07,22.65,24.49,237200,24.49,1.5
2014-02-11,24.86,29.85,24.58,28.77,685900,28.77,3.91
2014-02-12,28.77,30.0,25.0,25.29,373300,25.29,-3.4800000000000004
2014-02-13,25.0,25.84,24.68,24.96,320800,24.96,-0.03999999999999915
2014-02-14,24.96,25.75,24.58,25.05,242200,25.05,0.08999999999999986
2014-02-18,25.16,26.71,24.9,25.86,200600,25.86,0.6999999999999993
2014-02-19,25.89,26.23,25.2,25.75,229400,25.75,-0.14000000000000057
2014-02-20,25.7,28.99,25.3,27.58,339900,27.58,1.879999999999999
2014-02-21,27.87,30.21,27.7,29.82,594600,29.82,1.9499999999999993
2014-02-24,30.24,30.57,28.6,29.33,292500,29.33,-0.9100000000000001
2014-02-25,29.52,29.97,28.6,28.88,175600,28.88,-0.6400000000000006
2014-02-26,28.87,29.91,28.83,29.21,253200,29.21,0.33999999999999986
2014-02-27,29.08,29.5,28.35,29.1,195900,29.1,0.020000000000003126
2014-02-28,28.88,29.39,24.85,25.86,377300,25.86,-3.0199999999999996
2014-03-03,25.46,26.84,25.01,26.2,174800,26.2,0.7399999999999984
2014-03-04,26.85,27.17,26.1,26.36,198400,26.36,-0.490000000000002
2014-03-05,26.38,27.12,25.73,26.61,164400,26.61,0.23000000000000043
2014-03-06,26.82,26.99,24.59,24.86,270100,24.86,-1.9600000000000009
2014-03-07,25.04,25.88,23.48,25.65,299500,25.65,0.6099999999999994
2014-03-10,25.67,25.74,24.21,24.81,122900,24.81,-0.860000000000003
2014-03-11,24.81,25.69,24.0,24.32,118100,24.32,-0.48999999999999844
2014-03-12,24.2,24.91,23.6,24.78,134800,24.78,0.5800000000000018
