Date,open,high,low,close,volume,adj_close,diff
2014-01-02,2.39,2.46,2.31,2.42,1036200,2.39,0.029999999999999805
2014-01-03,2.46,2.49,2.41,2.42,871700,2.39,-0.040000000000000036
2014-01-06,2.43,2.53,2.41,2.48,754700,2.45,0.04999999999999982
2014-01-07,2.43,2.47,2.4,2.45,729700,2.42,0.020000000000000018
2014-01-08,2.43,2.48,2.4,2.47,720700,2.44,0.040000000000000036
2014-01-09,2.46,2.49,2.41,2.42,563500,2.39,-0.040000000000000036
2014-01-10,2.47,2.5,2.43,2.49,871900,2.46,0.020000000000000018
2014-01-13,2.49,2.61,2.47,2.56,1007200,2.53,0.06999999999999984
2014-01-14,2.55,2.68,2.55,2.55,928100,2.52,0.0
2014-01-15,2.51,2.64,2.5,2.61,756900,2.58,0.10000000000000009
2014-01-16,2.63,2.63,2.57,2.6,733900,2.57,-0.029999999999999805
2014-01-17,2.64,2.72,2.61,2.68,1031700,2.65,0.040000000000000036
2014-01-21,2.68,2.78,2.67,2.72,1184200,2.69,0.040000000000000036
2014-01-22,2.72,2.77,2.68,2.69,749600,2.66,-0.03000000000000025
2014-01-23,2.74,2.87,2.73,2.77,1225700,2.74,0.029999999999999805
2014-01-24,2.79,2.84,2.65,2.68,1012300,2.65,-0.10999999999999988
2014-01-27,2.66,2.67,2.53,2.55,938500,2.52,-0.11000000000000032
2014-01-28,2.56,2.62,2.53,2.58,484600,2.55,0.020000000000000018
2014-01-29,2.64,2.75,2.63,2.74,1123600,2.71,0.10000000000000009
2014-01-30,2.66,2.69,2.6,2.64,766000,2.61,-0.020000000000000018
2014-01-31,2.67,2.67,2.55,2.56,516100,2.53,-0.10999999999999988
2014-02-03,2.6,2.64,2.5,2.5,568100,2.47,-0.10000000000000009
2014-02-04,2.47,2.57,2.47,2.52,718300,2.49,0.04999999999999982
2014-02-05,2.6,2.62,2.51,2.52,569000,2.49,-0.08000000000000007
2014-02-06,2.53,2.58,2.5,2.55,526700,2.52,0.020000000000000018
2014-02-07,2.56,2.65,2.54,2.65,825700,2.62,0.08999999999999986
2014-02-10,2.69,2.79,2.67,2.74,1379400,2.71,0.050000000000000266
2014-02-11,2.78,2.9,2.78,2.9,1510500,2.87,0.1200000000000001
2014-02-12,2.91,3.09,2.85,2.99,2347100,2.96,0.08000000000000007
2014-02-13,3.04,3.3,3.01,3.3,2718500,3.26,0.2599999999999998
2014-02-14,2.77,3.0,2.75,2.88,4120200,2.85,0.10999999999999988
2014-02-18,2.94,3.03,2.91,2.95,1712100,2.92,0.010000000000000231
2014-02-19,2.95,2.97,2.7,2.71,1587700,2.68,-0.2400000000000002
2014-02-20,2.77,2.85,2.73,2.84,1003100,2.81,0.06999999999999984
2014-02-21,2.82,2.9,2.76,2.79,840700,2.76,-0.029999999999999805
2014-02-24,2.85,2.9,2.81,2.85,1043700,2.82,0.0
2014-02-25,2.85,2.87,2.83,2.85,651800,2.82,0.0
2014-02-26,2.83,2.86,2.63,2.64,2157700,2.61,-0.18999999999999995
2014-02-27,2.67,2.68,2.51,2.55,2569200,2.52,-0.1200000000000001
2014-02-28,2.58,2.6,2.54,2.54,1087900,2.51,-0.040000000000000036
2014-03-03,2.64,2.64,2.51,2.52,1371500,2.49,-0.1200000000000001
2014-03-04,2.5,2.5,2.42,2.43,1650800,2.4,-0.06999999999999984
2014-03-05,2.45,2.46,2.4,2.42,2159200,2.39,-0.03000000000000025
2014-03-06,2.43,2.43,2.36,2.38,2190200,2.35,-0.050000000000000266
2014-03-07,2.35,2.36,2.25,2.26,2614300,2.23,-0.0900000000000003
2014-03-10,2.27,2.28,2.18,2.18,1726700,2.16,-0.08999999999999986
2014-03-11,2.2,2.25,2.16,2.17,1699900,2.15,-0.03000000000000025
2014-03-12,2.22,2.26,2.21,2.23,1440700,2.21,0.009999999999999787
2014-03-13,2.27,2.33,2.26,2.3,2305000,2.27,0.029999999999999805
2014-03-14,2.36,2.39,2.28,2.3,1761300,2.27,-0.06000000000000005
2014-03-17,2.3,2.32,2.19,2.21,1629400,2.19,-0.08999999999999986
2014-03-18,2.19,2.21,2.16,2.21,1532600,2.19,0.020000000000000018
2014-03-19,2.16,2.19,2.1,2.12,1821800,2.1,-0.040000000000000036
2014-03-20,2.12,2.14,2.08,2.11,1360400,2.09,-0.010000000000000231
2014-03-21,2.14,2.17,2.06,2.06,2919200,2.04,-0.08000000000000007
2014-03-24,2.05,2.07,1.91,1.97,1979600,1.95,-0.07999999999999985
2014-03-25,1.99,2.02,1.96,1.96,775500,1.94,-0.030000000000000027
2014-03-26,1.98,2.0,1.9,1.91,1210100,1.89,-0.07000000000000006
2014-03-27,1.9,1.95,1.87,1.94,946900,1.92,0.040000000000000036
2014-03-28,1.94,2.03,1.94,1.99,988900,1.97,0.050000000000000044
2014-03-31,2.02,2.03,1.95,1.95,1001400,1.93,-0.07000000000000006
2014-04-01,1.96,1.96,1.93,1.95,580500,1.93,-0.010000000000000009
2014-04-02,1.99,2.05,1.97,2.04,973900,2.02,0.050000000000000044
2014-04-03,2.03,2.06,1.97,1.99,614300,1.97,-0.039999999999999813
2014-04-04,2.06,2.06,2.01,2.03,760200,2.01,-0.03000000000000025
2014-04-07,2.02,2.04,1.98,1.98,522900,1.96,-0.040000000000000036
2014-04-08,2.01,2.03,1.98,2.03,506700,2.01,0.020000000000000018
2014-04-09,2.02,2.06,1.99,2.02,550000,2.0,0.0
2014-04-10,2.07,2.08,2.01,2.03,667700,2.01,-0.040000000000000036
2014-04-11,2.03,2.03,1.95,1.96,450800,1.94,-0.06999999999999984
2014-04-14,1.99,2.04,1.96,1.99,524400,1.97,0.0
2014-04-15,1.96,1.96,1.91,1.94,1028100,1.92,-0.020000000000000018
2014-04-16,1.96,1.97,1.91,1.96,724200,1.94,0.0
2014-04-17,1.96,1.98,1.93,1.95,621500,1.93,-0.010000000000000009
2014-04-21,1.96,2.02,1.95,1.99,921400,1.97,0.030000000000000027
2014-04-22,1.99,2.05,1.98,2.05,753900,2.03,0.05999999999999983
2014-04-23,2.05,2.18,2.03,2.18,1446200,2.16,0.13000000000000034
2014-04-24,2.16,2.3,2.12,2.13,1752800,2.11,-0.03000000000000025
2014-04-25,2.16,2.22,2.12,2.21,565600,2.19,0.04999999999999982
2014-04-28,2.21,2.25,2.13,2.15,635000,2.13,-0.06000000000000005
2014-04-29,2.17,2.18,2.12,2.14,635200,2.12,-0.029999999999999805
2014-04-30,2.13,2.14,2.08,2.08,448900,2.06,-0.04999999999999982
2014-05-01,2.05,2.09,2.02,2.05,497500,2.03,0.0
2014-05-02,2.05,2.11,2.02,2.08,660300,2.06,0.03000000000000025
2014-05-05,2.13,2.14,2.06,2.1,559300,2.08,-0.029999999999999805
2014-05-06,2.09,2.1,2.03,2.04,420500,2.02,-0.04999999999999982
2014-05-07,2.03,2.03,1.93,1.95,872400,1.93,-0.07999999999999985
2014-05-08,1.97,1.98,1.92,1.93,359800,1.91,-0.040000000000000036
2014-05-09,1.92,1.95,1.86,1.89,1043700,1.87,-0.030000000000000027
2014-05-12,1.92,1.93,1.88,1.88,466000,1.86,-0.040000000000000036
2014-05-13,1.88,1.91,1.88,1.9,297900,1.88,0.020000000000000018
2014-05-14,1.93,1.99,1.91,1.97,762100,1.95,0.040000000000000036
2014-05-15,1.94,1.95,1.88,1.92,661000,1.9,-0.020000000000000018
2014-05-16,1.9,1.9,1.85,1.86,589800,1.84,-0.039999999999999813
2014-05-19,1.87,1.9,1.87,1.87,412900,1.85,0.0
2014-05-20,1.87,1.93,1.85,1.88,564400,1.86,0.009999999999999787
2014-05-21,1.88,1.9,1.83,1.89,1018700,1.87,0.010000000000000009
2014-05-22,1.9,1.91,1.85,1.87,456600,1.85,-0.029999999999999805
2014-05-23,1.83,1.88,1.79,1.8,1259900,1.78,-0.030000000000000027
2014-05-27,1.78,1.79,1.69,1.69,2579100,1.68,-0.09000000000000008
2014-05-28,1.68,1.72,1.6,1.61,1452300,1.6,-0.06999999999999984
2014-05-29,1.61,1.67,1.6,1.65,1206600,1.64,0.039999999999999813
2014-05-30,1.63,1.64,1.61,1.63,934100,1.62,0.0
2014-06-02,1.62,1.67,1.61,1.62,656500,1.61,0.0
2014-06-03,1.62,1.65,1.6,1.64,727000,1.63,0.019999999999999796
2014-06-04,1.65,1.65,1.59,1.61,888300,1.6,-0.039999999999999813
2014-06-05,1.63,1.67,1.62,1.66,873900,1.65,0.030000000000000027
2014-06-06,1.66,1.7,1.64,1.7,688800,1.69,0.040000000000000036
2014-06-09,1.69,1.78,1.69,1.76,903200,1.74,0.07000000000000006
2014-06-10,1.79,1.82,1.75,1.79,875600,1.77,0.0
2014-06-11,1.8,1.82,1.76,1.8,742900,1.78,0.0
2014-06-12,1.81,1.85,1.79,1.85,1641500,1.83,0.040000000000000036
2014-06-13,1.85,1.87,1.77,1.79,787400,1.77,-0.06000000000000005
2014-06-16,1.8,1.84,1.78,1.81,1365700,1.79,0.010000000000000009
2014-06-17,1.75,1.8,1.75,1.75,937700,1.73,0.0
2014-06-18,1.75,1.82,1.74,1.82,1171700,1.8,0.07000000000000006
2014-06-19,1.86,2.07,1.85,2.04,3416800,2.02,0.17999999999999994
2014-06-20,2.05,2.05,1.9,1.97,5317600,1.95,-0.07999999999999985
2014-06-23,1.98,2.06,1.91,2.01,1628900,1.99,0.029999999999999805
2014-06-24,2.04,2.1,1.94,1.96,1531200,1.94,-0.08000000000000007
2014-06-25,1.96,2.05,1.92,2.04,984600,2.02,0.08000000000000007
2014-06-26,2.03,2.06,1.98,2.05,885100,2.04,0.020000000000000018
2014-06-27,2.05,2.09,2.0,2.02,667900,2.01,-0.029999999999999805
2014-06-30,2.03,2.13,2.0,2.12,1560400,2.11,0.0900000000000003
2014-07-01,2.15,2.16,2.06,2.08,762800,2.07,-0.06999999999999984
2014-07-02,2.09,2.12,2.05,2.06,876900,2.05,-0.029999999999999805
2014-07-03,2.02,2.11,1.96,2.1,942200,2.09,0.08000000000000007
2014-07-07,2.1,2.1,2.02,2.04,781900,2.03,-0.06000000000000005
2014-07-08,2.05,2.08,2.01,2.08,1421700,2.07,0.03000000000000025
2014-07-09,2.09,2.14,2.05,2.13,1864500,2.12,0.040000000000000036
2014-07-10,2.17,2.22,2.11,2.11,2152100,2.1,-0.06000000000000005
2014-07-11,2.13,2.18,2.1,2.16,1096100,2.15,0.03000000000000025
2014-07-14,2.1,2.12,2.04,2.07,879100,2.06,-0.03000000000000025
2014-07-15,2.08,2.1,1.97,1.97,1135200,1.96,-0.1100000000000001
2014-07-16,1.99,2.01,1.94,1.94,975900,1.93,-0.050000000000000044
2014-07-17,1.95,2.04,1.94,2.04,970500,2.03,0.09000000000000008
2014-07-18,2.01,2.02,1.96,1.97,433500,1.96,-0.039999999999999813
2014-07-21,1.99,2.12,1.94,1.98,799400,1.97,-0.010000000000000009
2014-07-22,1.96,1.97,1.91,1.91,715300,1.9,-0.050000000000000044
2014-07-23,1.9,1.91,1.83,1.84,1598300,1.83,-0.05999999999999983
2014-07-24,1.8,1.84,1.76,1.78,953000,1.77,-0.020000000000000018
2014-07-25,1.8,1.87,1.79,1.86,516300,1.85,0.06000000000000005
2014-07-28,1.84,1.92,1.84,1.91,555600,1.9,0.06999999999999984
2014-07-29,1.91,1.93,1.87,1.87,355700,1.86,-0.039999999999999813
2014-07-30,1.86,1.91,1.84,1.89,504700,1.88,0.029999999999999805
2014-07-31,1.85,1.95,1.85,1.87,867800,1.86,0.020000000000000018
2014-08-01,1.88,1.91,1.86,1.87,480400,1.86,-0.009999999999999787
2014-08-04,1.86,1.89,1.82,1.83,396500,1.82,-0.030000000000000027
2014-08-05,1.84,1.86,1.79,1.85,474000,1.84,0.010000000000000009
2014-08-06,1.9,1.91,1.84,1.89,801000,1.88,-0.010000000000000009
2014-08-07,1.87,1.91,1.86,1.87,342500,1.86,0.0
2014-08-08,1.86,1.92,1.86,1.89,439600,1.88,0.029999999999999805
2014-08-11,1.84,1.92,1.82,1.9,385900,1.89,0.05999999999999983
2014-08-12,1.91,1.93,1.86,1.86,584200,1.85,-0.04999999999999982
2014-08-13,1.86,1.9,1.85,1.85,301000,1.84,-0.010000000000000009
2014-08-14,1.85,1.89,1.84,1.84,366200,1.83,-0.010000000000000009
2014-08-15,1.83,1.88,1.82,1.88,454500,1.87,0.04999999999999982
2014-08-18,1.87,1.88,1.85,1.88,433100,1.87,0.009999999999999787
2014-08-19,1.88,1.91,1.87,1.89,508600,1.88,0.010000000000000009
2014-08-20,1.91,1.91,1.85,1.88,461200,1.87,-0.030000000000000027
2014-08-21,1.85,1.9,1.82,1.89,661500,1.88,0.039999999999999813
2014-08-22,1.92,1.94,1.85,1.85,455900,1.84,-0.06999999999999984
2014-08-25,1.83,1.86,1.83,1.83,313900,1.82,0.0
2014-08-26,1.84,1.86,1.82,1.85,528200,1.84,0.010000000000000009
2014-08-27,1.84,1.87,1.83,1.85,355200,1.84,0.010000000000000009
2014-08-28,1.88,1.88,1.85,1.85,157100,1.84,-0.029999999999999805
2014-08-29,1.83,1.87,1.82,1.84,468100,1.83,0.010000000000000009
2014-09-02,1.81,1.82,1.79,1.79,1063200,1.78,-0.020000000000000018
2014-09-03,1.79,1.81,1.78,1.79,570800,1.78,0.0
2014-09-04,1.8,1.81,1.62,1.65,1705700,1.64,-0.15000000000000013
2014-09-05,1.67,1.71,1.62,1.64,1154200,1.63,-0.030000000000000027
2014-09-08,1.64,1.65,1.61,1.62,686300,1.61,-0.019999999999999796
2014-09-09,1.64,1.69,1.61,1.68,642700,1.67,0.040000000000000036
2014-09-10,1.65,1.68,1.62,1.63,390200,1.62,-0.020000000000000018
2014-09-11,1.62,1.67,1.62,1.67,610100,1.66,0.04999999999999982
2014-09-12,1.65,1.67,1.61,1.63,610000,1.62,-0.020000000000000018
2014-09-15,1.63,1.72,1.61,1.72,1185200,1.71,0.09000000000000008
2014-09-16,1.71,1.8,1.69,1.8,1159600,1.79,0.09000000000000008
2014-09-17,1.78,1.81,1.7,1.71,1061100,1.7,-0.07000000000000006
2014-09-18,1.7,1.72,1.64,1.7,1074700,1.69,0.0
2014-09-19,1.71,1.72,1.56,1.56,2216400,1.55,-0.1499999999999999
2014-09-22,1.56,1.58,1.41,1.53,3393300,1.52,-0.030000000000000027
2014-09-23,1.54,1.63,1.46,1.6,1639400,1.59,0.06000000000000005
2014-09-24,1.6,1.61,1.56,1.6,1159900,1.59,0.0
2014-09-25,1.56,1.62,1.54,1.6,1533200,1.59,0.040000000000000036
2014-09-26,1.6,1.63,1.59,1.61,448100,1.61,0.010000000000000009
2014-09-29,1.62,1.65,1.6,1.65,474900,1.64,0.029999999999999805
2014-09-30,1.62,1.63,1.59,1.59,633800,1.59,-0.030000000000000027
2014-10-01,1.57,1.62,1.57,1.59,1050300,1.59,0.020000000000000018
2014-10-02,1.58,1.6,1.56,1.59,386500,1.59,0.010000000000000009
2014-10-03,1.56,1.56,1.51,1.52,1586500,1.52,-0.040000000000000036
2014-10-06,1.53,1.58,1.5,1.56,1324700,1.56,0.030000000000000027
2014-10-07,1.55,1.57,1.51,1.53,1097800,1.53,-0.020000000000000018
2014-10-08,1.55,1.58,1.45,1.57,1705800,1.57,0.020000000000000018
2014-10-09,1.56,1.58,1.52,1.55,1475400,1.55,-0.010000000000000009
2014-10-10,1.52,1.59,1.52,1.58,806600,1.58,0.06000000000000005
2014-10-13,1.58,1.67,1.58,1.63,1226100,1.63,0.04999999999999982
2014-10-14,1.59,1.66,1.57,1.57,1251100,1.57,-0.020000000000000018
2014-10-15,1.63,1.65,1.52,1.55,1556400,1.55,-0.07999999999999985
2014-10-16,1.56,1.6,1.53,1.57,1050700,1.57,0.010000000000000009
2014-10-17,1.59,1.6,1.54,1.55,1072800,1.55,-0.040000000000000036
2014-10-20,1.56,1.59,1.54,1.58,662700,1.58,0.020000000000000018
2014-10-21,1.58,1.63,1.56,1.62,502300,1.62,0.040000000000000036
