Date,open,high,low,close,volume,adj_close,diff
2014-01-02,5.06,6.33,5.06,6.07,740000,5.09,1.0100000000000007
2014-01-03,6.05,6.49,6.01,6.34,155100,5.31,0.29000000000000004
2014-01-06,6.37,7.5,6.37,7.5,284800,6.28,1.13
2014-01-07,7.47,7.78,7.21,7.29,118400,6.11,-0.17999999999999972
2014-01-08,7.35,7.6,7.05,7.59,136100,6.36,0.2400000000000002
2014-01-09,7.74,7.75,7.27,7.42,97400,6.22,-0.3200000000000003
2014-01-10,7.2,7.34,6.5,7.21,145300,6.04,0.009999999999999787
2014-01-13,7.14,7.21,6.77,6.95,43400,5.82,-0.1899999999999995
2014-01-14,6.95,7.1,6.85,7.06,14100,5.92,0.10999999999999943
2014-01-15,7.17,7.17,6.53,6.85,54000,5.74,-0.3200000000000003
2014-01-16,6.74,6.98,6.74,6.91,27000,5.79,0.16999999999999993
2014-01-17,7.0,7.16,7.0,7.13,30100,5.97,0.1299999999999999
2014-01-21,7.14,7.32,7.13,7.24,42700,6.07,0.10000000000000053
2014-01-22,7.2,7.31,7.04,7.22,58400,6.05,0.019999999999999574
2014-01-23,6.87,7.23,6.68,6.94,74200,5.82,0.07000000000000028
2014-01-24,6.81,6.89,6.47,6.55,78300,5.49,-0.2599999999999998
2014-01-27,6.81,6.81,6.17,6.21,93800,5.2,-0.5999999999999996
2014-01-28,6.24,6.55,6.17,6.32,48400,5.3,0.08000000000000007
2014-01-29,6.19,6.23,6.12,6.16,16400,5.16,-0.03000000000000025
2014-01-30,6.22,6.44,6.22,6.26,32700,5.25,0.040000000000000036
2014-01-31,6.36,6.69,6.36,6.47,20500,5.42,0.10999999999999943
2014-02-03,6.4,6.42,6.06,6.14,30400,5.14,-0.2600000000000007
2014-02-04,6.27,6.58,6.26,6.38,29900,5.35,0.11000000000000032
2014-02-05,6.38,6.78,6.35,6.54,66300,5.48,0.16000000000000014
2014-02-06,6.38,6.65,6.38,6.42,3700,5.38,0.040000000000000036
2014-02-07,6.42,6.69,6.42,6.49,7600,5.44,0.07000000000000028
2014-02-10,6.49,6.6,6.44,6.6,3200,5.53,0.10999999999999943
2014-02-11,6.44,6.6,6.4,6.58,18000,5.51,0.13999999999999968
2014-02-12,6.37,6.51,6.19,6.49,16100,5.44,0.1200000000000001
