Date,open,high,low,close,volume,adj_close,diff
2014-01-02,21.34,21.95,21.31,21.9,4100,20.47,0.5599999999999987
2014-01-03,22.04,22.04,22.0,22.0,2500,20.56,-0.03999999999999915
2014-01-06,22.0,22.05,22.0,22.05,1100,20.61,0.05000000000000071
2014-01-07,22.2,22.5,22.13,22.5,12600,21.03,0.3000000000000007
2014-01-08,22.23,22.65,22.06,22.06,3400,20.62,-0.1700000000000017
2014-01-09,22.06,22.46,21.41,22.07,8300,20.63,0.010000000000001563
2014-01-10,22.21,22.21,21.97,22.14,600,20.69,-0.07000000000000028
2014-01-13,22.45,22.48,22.45,22.45,14300,20.98,0.0
2014-01-14,22.5,22.56,22.4,22.5,1800,21.03,0.0
2014-01-15,22.14,22.14,22.14,22.14,200,20.69,0.0
2014-01-16,22.4,22.4,22.4,22.4,200,20.94,0.0
2014-01-17,22.4,22.71,22.4,22.49,14700,21.02,0.08999999999999986
2014-01-21,22.62,22.62,22.31,22.5,8500,21.03,-0.120000000000001
2014-01-22,22.61,22.81,22.3,22.81,1500,21.32,0.1999999999999993
2014-01-23,22.6,22.6,22.48,22.6,5400,21.12,0.0
2014-01-24,22.4,22.49,22.01,22.35,6800,20.89,-0.04999999999999716
2014-01-27,22.5,22.57,22.23,22.45,7600,20.98,-0.05000000000000071
2014-01-28,22.5,22.74,22.47,22.74,2700,21.26,0.23999999999999844
2014-01-29,22.7,22.77,22.7,22.75,6000,21.26,0.05000000000000071
2014-01-30,22.82,22.99,22.82,22.99,1500,21.49,0.16999999999999815
2014-01-31,22.7,22.76,22.7,22.7,2500,21.22,0.0
2014-02-03,22.7,22.75,22.52,22.75,8500,21.26,0.05000000000000071
2014-02-04,22.92,23.49,22.89,22.97,4600,21.47,0.04999999999999716
2014-02-05,22.53,22.88,22.01,22.85,12600,21.36,0.3200000000000003
2014-02-06,22.3,22.98,22.25,22.98,2000,21.48,0.6799999999999997
2014-02-07,23.04,23.65,22.84,22.99,2900,21.49,-0.05000000000000071
2014-02-10,22.9,23.2,22.9,23.15,6200,21.64,0.25
2014-02-11,22.97,23.18,22.81,23.15,2700,21.64,0.17999999999999972
2014-02-12,23.0,23.39,23.0,23.27,2800,21.75,0.2699999999999996
