Date,open,high,low,close,volume,adj_close,diff
2014-01-02,25.83,25.83,25.8,25.8,1300,24.1,-0.029999999999997584
2014-01-03,25.8,25.8,25.8,25.8,0,24.1,0.0
2014-01-06,25.75,25.75,25.75,25.75,300,24.05,0.0
2014-01-07,26.0,26.12,25.96,26.1,3200,24.38,0.10000000000000142
2014-01-08,26.07,26.08,25.85,26.08,1100,24.36,0.00999999999999801
2014-01-09,25.85,25.85,25.85,25.85,500,24.15,0.0
2014-01-10,25.88,25.88,25.85,25.85,3200,24.15,-0.029999999999997584
2014-01-13,26.04,26.05,25.68,25.9,6100,24.2,-0.14000000000000057
2014-01-14,25.89,25.89,25.62,25.87,1600,24.17,-0.019999999999999574
2014-01-15,25.87,25.87,25.87,25.87,800,24.17,0.0
2014-01-16,25.78,26.0,25.44,26.0,4900,24.29,0.21999999999999886
2014-01-17,26.25,26.25,25.86,26.15,900,24.43,-0.10000000000000142
2014-01-21,26.02,26.02,25.9,25.9,7000,24.2,-0.120000000000001
2014-01-22,25.99,25.99,25.97,25.97,500,24.26,-0.019999999999999574
2014-01-23,25.91,25.94,25.91,25.93,800,24.22,0.019999999999999574
2014-01-24,25.91,25.94,25.9,25.9,2100,24.2,-0.010000000000001563
2014-01-27,25.9,25.94,25.9,25.94,1200,24.23,0.0400000000000027
2014-01-28,25.98,26.27,25.98,26.27,2100,24.54,0.28999999999999915
2014-01-29,25.9,26.27,25.9,25.92,5000,24.21,0.020000000000003126
2014-01-30,25.92,25.93,25.9,25.9,2800,24.2,-0.020000000000003126
2014-01-31,25.91,25.91,25.67,25.88,2700,24.18,-0.030000000000001137
2014-02-03,25.86,25.89,25.86,25.87,1100,24.17,0.010000000000001563
2014-02-04,25.9,25.9,25.75,25.76,1300,24.06,-0.13999999999999702
2014-02-05,26.0,26.0,26.0,26.0,300,24.29,0.0
2014-02-06,25.87,25.87,25.8,25.8,1800,24.1,-0.07000000000000028
2014-02-07,25.81,25.81,25.8,25.8,2000,24.1,-0.00999999999999801
2014-02-10,25.95,25.95,25.95,25.95,1700,24.24,0.0
2014-02-11,26.04,26.04,25.8,25.82,1700,24.12,-0.21999999999999886
2014-02-12,25.83,25.83,25.8,25.8,900,24.1,-0.029999999999997584
2014-02-13,25.81,25.82,25.79,25.82,2400,24.12,0.010000000000001563
2014-02-14,25.87,25.88,25.78,25.79,2700,24.09,-0.08000000000000185
2014-02-18,25.82,25.82,25.82,25.82,0,24.12,0.0
2014-02-19,25.85,25.98,25.85,25.89,1600,24.19,0.03999999999999915
2014-02-20,25.92,25.92,25.87,25.92,800,24.21,0.0
2014-02-21,25.99,26.07,25.9,25.9,1900,24.2,-0.08999999999999986
2014-02-24,26.1,26.1,26.1,26.1,2000,24.38,0.0
2014-02-25,26.01,26.01,26.0,26.01,400,24.3,0.0
2014-02-26,26.01,26.05,25.96,25.96,1900,24.25,-0.05000000000000071
2014-02-27,25.63,25.78,25.46,25.53,3900,24.26,-0.09999999999999787
2014-02-28,25.6,25.67,25.53,25.53,2100,24.26,-0.07000000000000028
2014-03-03,25.52,26.39,25.52,25.99,5300,24.7,0.46999999999999886
2014-03-04,25.86,26.1,25.86,26.1,900,24.8,0.240000000000002
2014-03-05,25.85,25.87,25.66,25.66,9500,24.38,-0.19000000000000128
2014-03-06,25.75,25.85,25.68,25.71,2500,24.43,-0.03999999999999915
2014-03-07,25.67,25.72,25.66,25.72,2600,24.44,0.04999999999999716
2014-03-10,25.81,25.82,25.81,25.82,800,24.53,0.010000000000001563
2014-03-11,25.7,25.7,25.56,25.6,2700,24.33,-0.09999999999999787
2014-03-12,25.62,25.62,25.6,25.62,600,24.34,0.0
2014-03-13,25.67,25.67,25.63,25.63,1400,24.35,-0.0400000000000027
2014-03-14,25.7,25.74,25.7,25.74,800,24.46,0.03999999999999915
2014-03-17,25.9,25.9,25.9,25.9,400,24.61,0.0
2014-03-18,25.72,25.9,25.71,25.87,3600,24.58,0.15000000000000213
2014-03-19,25.89,25.97,25.75,25.97,2100,24.68,0.0799999999999983
2014-03-20,25.97,25.97,25.76,25.87,7200,24.58,-0.09999999999999787
2014-03-21,25.94,25.97,25.73,25.94,3500,24.65,0.0
2014-03-24,25.77,25.78,25.75,25.75,3700,24.47,-0.019999999999999574
2014-03-25,25.75,25.82,25.75,25.76,700,24.48,0.010000000000001563
2014-03-26,25.86,25.9,25.68,25.68,6600,24.4,-0.17999999999999972
2014-03-27,25.69,25.69,25.69,25.69,300,24.41,0.0
2014-03-28,25.75,25.79,25.75,25.79,1700,24.51,0.03999999999999915
2014-03-31,25.65,25.68,25.63,25.65,4600,24.37,0.0
2014-04-01,25.69,25.79,25.69,25.7,7400,24.42,0.00999999999999801
2014-04-02,25.7,25.7,25.7,25.7,0,24.42,0.0
2014-04-03,25.7,25.7,25.7,25.7,3200,24.42,0.0
2014-04-04,25.7,25.75,25.62,25.74,6200,24.46,0.03999999999999915
2014-04-07,25.71,25.78,25.68,25.68,3700,24.4,-0.030000000000001137
2014-04-08,25.75,25.75,25.64,25.7,1300,24.42,-0.05000000000000071
2014-04-09,25.63,25.63,25.63,25.63,200,24.35,0.0
2014-04-10,25.73,25.81,25.73,25.81,1600,24.52,0.0799999999999983
2014-04-11,25.8,25.89,25.77,25.81,4900,24.52,0.00999999999999801
2014-04-14,25.85,25.85,25.85,25.85,300,24.56,0.0
2014-04-15,25.8,25.8,25.8,25.8,2200,24.52,0.0
2014-04-16,25.9,25.98,25.9,25.94,5800,24.65,0.0400000000000027
2014-04-17,26.15,26.15,25.93,25.96,1600,24.67,-0.18999999999999773
2014-04-21,25.86,26.13,25.86,26.13,1200,24.83,0.2699999999999996
2014-04-22,26.05,26.05,26.05,26.05,700,24.75,0.0
2014-04-23,26.05,26.1,26.05,26.1,500,24.8,0.05000000000000071
2014-04-24,26.02,26.02,25.81,25.81,5100,24.52,-0.21000000000000085
2014-04-25,25.86,25.86,25.83,25.85,800,24.56,-0.00999999999999801
2014-04-28,26.0,26.02,26.0,26.02,1100,24.72,0.019999999999999574
2014-04-29,26.11,26.11,25.97,25.97,4100,24.68,-0.14000000000000057
2014-04-30,26.09,26.14,25.95,25.95,1300,24.66,-0.14000000000000057
2014-05-01,26.1,26.12,25.86,25.86,2200,24.57,-0.240000000000002
2014-05-02,26.0,26.06,25.9,25.94,1900,24.65,-0.05999999999999872
2014-05-05,25.94,25.94,25.94,25.94,0,24.65,0.0
2014-05-06,25.94,26.0,25.82,25.87,2900,24.58,-0.07000000000000028
2014-05-07,25.71,25.96,25.71,25.96,4000,24.67,0.25
2014-05-08,25.89,25.97,25.84,25.88,5000,24.59,-0.010000000000001563
2014-05-09,25.88,25.99,25.88,25.99,2300,24.7,0.10999999999999943
2014-05-12,25.9,25.98,25.9,25.98,1900,24.69,0.08000000000000185
2014-05-13,25.86,26.05,25.86,26.05,6800,24.75,0.19000000000000128
2014-05-14,26.05,26.14,26.05,26.14,1500,24.84,0.08999999999999986
2014-05-15,26.0,26.18,26.0,26.18,1100,24.88,0.17999999999999972
2014-05-16,26.14,26.17,26.1,26.1,1800,24.8,-0.03999999999999915
2014-05-19,26.08,26.11,25.99,26.0,2700,24.71,-0.0799999999999983
2014-05-20,26.1,26.1,26.05,26.05,1600,24.75,-0.05000000000000071
2014-05-21,26.1,26.1,26.01,26.01,2600,24.71,-0.08999999999999986
2014-05-22,26.02,26.02,26.01,26.01,3700,24.71,-0.00999999999999801
2014-05-23,26.19,26.19,26.1,26.1,1300,24.8,-0.08999999999999986
2014-05-27,26.21,26.21,26.2,26.21,1000,24.9,0.0
2014-05-28,25.99,25.99,25.68,25.85,6400,24.98,-0.13999999999999702
2014-05-29,25.88,25.88,25.69,25.69,900,24.83,-0.18999999999999773
2014-05-30,25.84,25.99,25.75,25.75,5000,24.88,-0.08999999999999986
2014-06-02,25.75,25.75,25.75,25.75,200,24.88,0.0
2014-06-03,26.0,26.25,25.6,25.61,11600,24.75,-0.39000000000000057
2014-06-04,25.61,25.74,25.55,25.74,5300,24.87,0.129999999999999
2014-06-05,25.75,25.75,25.71,25.71,1100,24.84,-0.03999999999999915
2014-06-06,25.68,25.68,25.57,25.59,5300,24.73,-0.08999999999999986
2014-06-09,25.7,25.7,25.65,25.65,1600,24.79,-0.05000000000000071
2014-06-10,25.75,25.8,25.55,25.64,12200,24.78,-0.10999999999999943
