Date,open,high,low,close,volume,adj_close,diff
2014-01-02,110.69,111.16,109.29,109.63,2559000,109.1,-1.0600000000000023
2014-01-03,109.96,110.48,109.67,110.05,1486400,109.52,0.09000000000000341
2014-01-06,110.57,111.2,109.63,110.06,1891400,109.53,-0.5099999999999909
2014-01-07,111.09,112.48,110.75,112.31,2247000,111.77,1.2199999999999989
2014-01-08,112.33,114.14,112.28,114.04,2841900,113.49,1.710000000000008
2014-01-09,114.17,114.81,113.49,114.0,2196300,113.45,-0.1700000000000017
2014-01-10,113.58,114.61,113.57,114.46,1492100,113.91,0.8799999999999955
2014-01-13,114.02,114.59,112.68,112.99,2048800,112.45,-1.0300000000000011
2014-01-14,113.9,114.89,112.72,114.76,1693700,114.21,0.8599999999999994
2014-01-15,115.12,115.71,114.59,115.52,1537200,114.96,0.3999999999999915
2014-01-16,114.85,116.16,114.85,116.11,1847800,115.55,1.2600000000000051
2014-01-17,115.76,116.5,115.59,115.89,2549600,115.33,0.12999999999999545
2014-01-21,116.29,116.5,114.6,114.95,2201600,114.4,-1.3400000000000034
2014-01-22,115.07,115.36,114.38,114.7,2010400,114.15,-0.36999999999999034
2014-01-23,114.41,114.54,111.99,112.81,3400200,112.27,-1.5999999999999943
2014-01-24,113.14,113.14,109.93,109.95,3893400,109.42,-3.1899999999999977
2014-01-27,109.9,111.3,109.08,109.87,2483800,109.34,-0.030000000000001137
2014-01-28,110.59,112.43,110.59,112.32,2526400,111.78,1.7299999999999898
2014-01-29,111.18,112.14,110.34,111.75,2904000,111.21,0.5699999999999932
2014-01-30,115.92,117.68,113.81,114.99,5155900,114.44,-0.9300000000000068
2014-01-31,114.61,115.54,113.53,115.14,3000300,114.59,0.5300000000000011
2014-02-03,115.17,115.87,112.9,113.13,3776000,112.59,-2.0400000000000063
2014-02-04,113.73,114.42,112.48,112.96,3164000,112.42,-0.7700000000000102
2014-02-05,112.99,113.27,111.21,113.2,2826400,112.65,0.21000000000000796
2014-02-06,113.57,114.78,113.27,114.43,2483900,113.88,0.8600000000000136
2014-02-07,115.23,117.91,115.04,117.77,3161500,117.2,2.539999999999992
2014-02-10,117.32,119.0,117.25,118.61,4233000,118.04,1.2900000000000063
2014-02-11,119.76,121.21,118.75,121.0,3766800,120.42,1.2399999999999949
2014-02-12,121.07,121.93,120.74,121.52,3605700,120.93,0.45000000000000284
2014-02-13,120.87,123.43,120.61,122.9,2540600,122.31,2.030000000000001
2014-02-14,122.79,123.99,122.63,123.74,7586200,123.14,0.9499999999999886
2014-02-18,123.76,124.17,122.67,123.55,2845500,122.95,-0.21000000000000796
2014-02-19,123.55,124.37,121.6,121.81,2884500,121.22,-1.7399999999999949
2014-02-20,124.33,125.01,122.49,124.71,3456900,124.11,0.37999999999999545
2014-02-21,124.71,124.85,123.08,123.18,2646200,122.59,-1.529999999999987
2014-02-24,123.05,124.9,123.05,123.37,2878200,122.78,0.3200000000000074
2014-02-25,123.48,124.3,123.09,123.81,2625900,123.21,0.3299999999999983
2014-02-26,123.87,125.18,123.43,124.28,2620000,123.68,0.4099999999999966
2014-02-27,124.23,125.21,123.81,124.91,2213900,124.31,0.6799999999999926
2014-02-28,125.29,125.82,123.61,124.54,3147600,123.94,-0.75
2014-03-03,123.07,123.98,122.14,123.35,2106700,122.76,0.28000000000000114
2014-03-04,124.59,125.58,124.59,125.35,2354800,124.75,0.7599999999999909
2014-03-05,124.87,126.24,124.19,125.91,2184000,125.3,1.039999999999992
2014-03-06,127.15,127.63,125.85,126.4,1649500,125.79,-0.75
2014-03-07,127.03,127.03,125.65,126.67,1690600,126.06,-0.35999999999999943
2014-03-10,126.48,126.7,125.25,126.28,1766700,125.67,-0.20000000000000284
2014-03-11,126.37,127.05,125.75,126.23,1341700,125.62,-0.14000000000000057
2014-03-12,125.65,126.58,125.03,126.49,3107300,125.88,0.8399999999999892
2014-03-13,126.55,126.84,122.59,123.25,2413600,122.8,-3.299999999999997
2014-03-14,122.96,123.59,121.82,122.25,2078600,121.81,-0.7099999999999937
2014-03-17,123.08,124.32,122.62,123.02,1254800,122.57,-0.060000000000002274
2014-03-18,123.0,123.98,122.9,123.73,1209200,123.28,0.730000000000004
2014-03-19,123.83,124.32,121.8,122.72,1532900,122.27,-1.1099999999999994
2014-03-20,122.6,123.83,122.14,123.58,1352200,123.13,0.980000000000004
2014-03-21,124.83,125.87,122.84,122.9,4441500,122.45,-1.9299999999999926
2014-03-24,123.31,123.56,119.35,120.65,2763400,120.21,-2.6599999999999966
2014-03-25,121.22,122.42,117.08,119.35,3971600,118.92,-1.8700000000000045
2014-03-26,119.72,120.58,118.03,118.04,2119100,117.61,-1.6799999999999926
2014-03-27,118.08,118.58,116.62,117.67,2187400,117.24,-0.4099999999999966
2014-03-28,118.03,120.0,117.63,118.5,1668900,118.07,0.46999999999999886
2014-03-31,119.46,120.56,119.46,120.24,1530700,119.8,0.7800000000000011
2014-04-01,120.54,121.98,120.54,121.88,1802600,121.44,1.3399999999999892
2014-04-02,121.92,122.56,121.65,122.2,1480000,121.76,0.28000000000000114
2014-04-03,122.32,122.73,120.71,121.8,2544700,121.36,-0.519999999999996
2014-04-04,122.63,123.37,119.7,119.88,1861000,119.44,-2.75
2014-04-07,119.73,120.22,116.76,117.8,2817000,117.37,-1.9300000000000068
2014-04-08,117.5,118.42,115.31,117.21,2286300,116.78,-0.29000000000000625
2014-04-09,117.63,120.43,117.0,120.4,1574300,119.96,2.7700000000000102
2014-04-10,120.41,120.59,116.56,116.98,2747100,116.55,-3.4299999999999926
2014-04-11,116.15,117.4,115.25,115.77,2313800,115.35,-0.38000000000000966
2014-04-14,116.43,116.85,115.08,116.4,1519700,115.98,-0.030000000000001137
2014-04-15,116.78,117.99,114.91,117.65,2546300,117.22,0.8700000000000045
2014-04-16,118.55,119.84,117.66,119.71,2735700,119.27,1.1599999999999966
2014-04-17,119.44,120.11,118.52,119.3,1733300,118.87,-0.14000000000000057
2014-04-21,119.18,119.9,118.39,119.36,1600000,118.93,0.1799999999999926
2014-04-22,119.47,121.27,119.13,120.35,2491400,119.91,0.8799999999999955
2014-04-23,121.71,121.77,114.53,119.39,4405400,118.96,-2.319999999999993
2014-04-24,119.59,119.59,114.24,115.38,4507400,114.96,-4.210000000000008
2014-04-25,114.82,115.92,113.73,114.29,3151600,113.87,-0.5299999999999869
2014-04-28,115.1,115.42,112.02,113.59,2474600,113.18,-1.509999999999991
2014-04-29,113.87,115.25,113.31,114.64,2199400,114.22,0.769999999999996
2014-04-30,114.52,114.61,113.17,114.0,2018400,113.59,-0.519999999999996
2014-05-01,113.72,114.96,113.15,114.92,1550400,114.5,1.2000000000000028
2014-05-02,114.79,115.66,114.06,114.22,1736700,113.8,-0.5700000000000074
2014-05-05,113.78,115.11,112.75,114.82,1153400,114.4,1.039999999999992
2014-05-06,114.69,115.34,113.82,114.42,1911600,114.0,-0.269999999999996
2014-05-07,114.6,116.61,113.65,116.44,1820600,116.02,1.8400000000000034
2014-05-08,116.25,117.37,115.4,115.63,1232100,115.21,-0.6200000000000045
2014-05-09,115.36,117.15,114.36,116.6,1088600,116.18,1.2399999999999949
2014-05-12,117.26,118.76,115.56,118.36,1386700,117.93,1.0999999999999943
2014-05-13,118.44,118.49,117.47,117.58,1525700,117.15,-0.8599999999999994
2014-05-14,117.66,118.06,116.17,116.49,1708800,116.07,-1.1700000000000017
2014-05-15,116.52,116.91,114.5,115.55,1900900,115.13,-0.9699999999999989
2014-05-16,115.46,117.94,115.21,117.85,1977500,117.42,2.3900000000000006
2014-05-19,117.46,119.37,117.34,119.29,2135700,118.86,1.8300000000000125
2014-05-20,119.04,119.11,114.06,114.47,4343700,114.05,-4.570000000000007
2014-05-21,115.35,116.17,114.57,115.32,1705500,114.9,-0.030000000000001137
2014-05-22,115.5,116.15,114.96,115.93,1835900,115.51,0.4300000000000068
2014-05-23,116.18,116.42,115.37,115.74,1363900,115.32,-0.44000000000001194
2014-05-27,116.21,116.25,114.76,115.39,1614300,114.97,-0.8199999999999932
2014-05-28,115.71,116.86,115.45,116.07,1768700,115.65,0.35999999999999943
2014-05-29,116.15,117.12,115.8,117.11,1051500,116.68,0.9599999999999937
2014-05-30,117.11,117.43,116.8,116.91,2436300,116.49,-0.20000000000000284
2014-06-02,116.99,117.03,115.85,116.58,958700,116.16,-0.4099999999999966
2014-06-03,116.0,117.97,115.97,117.88,1903200,117.45,1.8799999999999955
2014-06-04,117.57,118.39,117.3,117.78,1128900,117.35,0.21000000000000796
2014-06-05,117.91,119.1,117.72,119.0,1607600,118.57,1.0900000000000034
2014-06-06,119.26,120.05,119.17,119.81,1405500,119.37,0.5499999999999972
2014-06-09,119.86,120.04,119.28,119.58,1238900,119.15,-0.28000000000000114
2014-06-10,119.08,119.69,118.35,119.29,1100400,118.86,0.21000000000000796
2014-06-11,119.1,120.42,119.07,120.21,1980800,119.77,1.1099999999999994
2014-06-12,119.64,120.46,119.33,119.85,2049200,119.56,0.20999999999999375
2014-06-13,120.0,120.43,118.88,119.16,1248100,118.88,-0.8400000000000034
2014-06-16,118.95,119.75,117.95,118.69,1844600,118.41,-0.2600000000000051
2014-06-17,118.19,119.08,117.83,118.64,1742600,118.36,0.45000000000000284
2014-06-18,118.78,119.98,118.25,119.9,1363500,119.61,1.1200000000000045
2014-06-19,120.0,120.4,118.85,119.71,2151800,119.42,-0.29000000000000625
2014-06-20,120.0,120.34,118.85,118.94,4956500,118.66,-1.0600000000000023
2014-06-23,119.13,119.71,118.51,119.1,1408200,118.82,-0.030000000000001137
2014-06-24,119.13,119.86,118.28,118.56,1460100,118.28,-0.5699999999999932
2014-06-25,118.11,119.99,118.1,119.14,1514000,118.86,1.0300000000000011
2014-06-26,119.32,119.52,118.63,119.3,1426600,119.01,-0.01999999999999602
2014-06-27,119.1,119.3,118.22,118.3,2758900,118.02,-0.7999999999999972
2014-06-30,118.2,118.56,117.68,118.0,1603200,117.72,-0.20000000000000284
2014-07-01,118.45,119.29,117.65,118.96,2316600,118.68,0.5099999999999909
2014-07-02,119.05,119.61,117.91,118.05,2137700,117.77,-1.0
2014-07-03,118.44,120.18,117.91,120.11,1423200,119.82,1.6700000000000017
2014-07-07,119.75,120.32,119.23,119.72,1550700,119.43,-0.030000000000001137
2014-07-08,119.46,119.46,117.73,117.99,1531400,117.71,-1.4699999999999989
2014-07-09,118.02,118.36,117.45,117.84,1232600,117.56,-0.1799999999999926
2014-07-10,116.61,117.79,116.36,117.15,2760400,116.87,0.5400000000000063
2014-07-11,116.97,118.4,116.75,118.27,1013000,117.99,1.2999999999999972
