Date,open,high,low,close,volume,adj_close,diff
2014-01-02,6.58,6.59,6.42,6.45,88400,6.45,-0.1299999999999999
2014-01-03,6.46,6.58,6.44,6.47,85800,6.47,0.009999999999999787
2014-01-06,6.46,6.59,6.37,6.38,108100,6.38,-0.08000000000000007
2014-01-07,6.37,6.47,6.28,6.38,126400,6.38,0.009999999999999787
2014-01-08,6.37,6.49,6.3,6.44,148200,6.44,0.07000000000000028
2014-01-09,6.48,6.58,6.25,6.28,88100,6.28,-0.20000000000000018
2014-01-10,6.31,6.35,6.16,6.32,107800,6.32,0.010000000000000675
2014-01-13,6.3,6.35,6.25,6.3,86700,6.3,0.0
2014-01-14,6.37,6.38,6.26,6.36,136800,6.36,-0.009999999999999787
2014-01-15,6.36,6.36,6.16,6.25,126900,6.25,-0.11000000000000032
2014-01-16,6.07,6.31,6.07,6.27,107300,6.27,0.1999999999999993
2014-01-17,6.28,6.3,6.08,6.19,84400,6.19,-0.08999999999999986
2014-01-21,6.21,6.36,6.18,6.35,166100,6.35,0.13999999999999968
2014-01-22,6.33,6.43,6.2,6.37,78000,6.37,0.040000000000000036
2014-01-23,6.38,6.46,6.3,6.36,79700,6.36,-0.019999999999999574
2014-01-24,6.33,6.44,6.24,6.3,84600,6.3,-0.03000000000000025
2014-01-27,6.28,6.5,6.2,6.26,120400,6.26,-0.020000000000000462
2014-01-28,6.26,6.39,6.2,6.32,146600,6.32,0.0600000000000005
2014-01-29,6.28,6.42,6.2,6.29,103200,6.29,0.009999999999999787
2014-01-30,6.28,6.49,6.25,6.33,165100,6.33,0.04999999999999982
2014-01-31,6.2,6.95,6.2,6.5,332200,6.5,0.2999999999999998
2014-02-03,6.47,6.47,6.07,6.14,217700,6.14,-0.33000000000000007
2014-02-04,6.16,6.26,6.02,6.1,213900,6.1,-0.0600000000000005
2014-02-05,6.05,6.09,5.83,5.84,306300,5.84,-0.20999999999999996
2014-02-06,5.82,6.04,5.8,6.02,173500,6.02,0.1999999999999993
2014-02-07,6.01,6.07,5.87,5.9,110200,5.9,-0.10999999999999943
2014-02-10,5.85,5.95,5.85,5.92,172800,5.92,0.07000000000000028
2014-02-11,5.86,6.02,5.86,5.97,182500,5.97,0.10999999999999943
