Date,open,high,low,close,volume,adj_close,diff
2014-01-02,25.94,26.91,25.11,25.59,99200,25.59,-0.3500000000000014
2014-01-03,25.71,27.21,25.51,26.8,114900,26.8,1.0899999999999999
2014-01-06,27.02,29.23,27.02,28.41,123000,28.41,1.3900000000000006
2014-01-07,28.4,29.46,27.76,28.46,111700,28.46,0.060000000000002274
2014-01-08,28.46,28.8,27.76,28.38,142400,28.38,-0.08000000000000185
2014-01-09,28.6,30.1,28.55,29.73,144900,29.73,1.129999999999999
2014-01-10,29.85,30.24,29.53,29.98,105700,29.98,0.129999999999999
2014-01-13,29.77,29.77,28.5,29.34,122100,29.34,-0.4299999999999997
2014-01-14,29.35,30.25,29.16,29.51,97800,29.51,0.16000000000000014
2014-01-15,29.43,29.5,28.39,29.0,142100,29.0,-0.4299999999999997
2014-01-16,28.86,28.99,26.1,26.22,194800,26.22,-2.6400000000000006
2014-01-17,26.06,27.73,25.21,26.97,174600,26.97,0.9100000000000001
2014-01-21,27.79,27.79,24.25,26.85,395900,26.85,-0.9399999999999977
2014-01-22,26.98,27.53,26.54,26.64,62700,26.64,-0.33999999999999986
2014-01-23,26.6,26.6,25.74,26.18,63300,26.18,-0.4200000000000017
2014-01-24,25.97,26.0,25.0,25.41,79700,25.41,-0.5599999999999987
2014-01-27,26.08,26.49,23.75,24.35,96700,24.35,-1.7299999999999969
2014-01-28,24.26,24.87,23.3,24.72,121800,24.72,0.4599999999999973
2014-01-29,24.54,25.29,24.38,24.75,39200,24.75,0.21000000000000085
2014-01-30,25.06,25.98,24.91,25.63,88200,25.63,0.5700000000000003
2014-01-31,25.31,26.52,24.84,25.85,97400,25.85,0.5400000000000027
2014-02-03,25.72,26.42,24.8,25.21,179400,25.21,-0.509999999999998
2014-02-04,25.2,25.48,24.54,24.98,135400,24.98,-0.21999999999999886
2014-02-05,24.74,24.91,24.11,24.45,39300,24.45,-0.28999999999999915
2014-02-06,24.51,24.88,23.34,23.8,209100,23.8,-0.7100000000000009
2014-02-07,23.78,23.79,22.68,23.49,123000,23.49,-0.2900000000000027
2014-02-10,23.53,24.21,23.0,23.85,52600,23.85,0.3200000000000003
2014-02-11,23.85,23.94,22.93,23.3,67900,23.3,-0.5500000000000007
2014-02-12,23.6,24.83,23.6,24.47,67300,24.47,0.8699999999999974
2014-02-13,24.26,25.33,23.09,24.43,104300,24.43,0.16999999999999815
2014-02-14,24.37,24.5,24.01,24.46,50400,24.46,0.08999999999999986
2014-02-18,24.55,25.48,23.51,25.25,48900,25.25,0.6999999999999993
2014-02-19,25.02,25.51,24.74,25.15,95500,25.15,0.129999999999999
2014-02-20,25.0,25.19,24.22,24.81,94600,24.81,-0.19000000000000128
2014-02-21,25.2,25.2,24.79,24.87,32400,24.87,-0.3299999999999983
2014-02-24,24.98,24.98,24.2,24.75,80500,24.75,-0.23000000000000043
2014-02-25,24.72,25.22,24.5,24.8,71200,24.8,0.08000000000000185
2014-02-26,25.09,25.09,23.92,24.58,111200,24.58,-0.5100000000000016
2014-02-27,24.58,24.72,23.75,24.34,60100,24.34,-0.23999999999999844
2014-02-28,24.41,26.32,24.03,25.75,113100,25.75,1.3399999999999999
2014-03-03,25.19,26.9,24.7,24.89,102800,24.89,-0.3000000000000007
2014-03-04,25.28,25.91,24.38,24.89,210400,24.89,-0.39000000000000057
2014-03-05,24.8,25.14,24.57,24.83,70000,24.83,0.029999999999997584
2014-03-06,24.83,25.14,24.03,24.75,170600,24.75,-0.0799999999999983
2014-03-07,24.44,25.88,24.09,25.83,370200,25.83,1.389999999999997
2014-03-10,25.72,26.75,25.72,26.43,165000,26.43,0.7100000000000009
2014-03-11,26.34,26.86,25.82,26.14,124200,26.14,-0.1999999999999993
2014-03-12,26.09,26.15,25.3,25.43,95400,25.43,-0.6600000000000001
2014-03-13,25.56,25.73,24.62,25.07,66600,25.07,-0.48999999999999844
2014-03-14,25.13,25.29,24.57,24.79,142300,24.79,-0.33999999999999986
2014-03-17,25.04,25.81,25.04,25.3,88700,25.3,0.26000000000000156
2014-03-18,25.37,26.74,25.37,26.5,120400,26.5,1.129999999999999
2014-03-19,26.14,26.52,25.82,26.04,84300,26.04,-0.10000000000000142
2014-03-20,26.05,26.51,25.86,26.14,70600,26.14,0.08999999999999986
2014-03-21,26.36,26.76,24.55,25.06,286200,25.06,-1.3000000000000007
2014-03-24,25.13,25.35,24.29,24.59,99600,24.59,-0.5399999999999991
2014-03-25,24.72,26.06,23.93,24.39,111100,24.39,-0.3299999999999983
2014-03-26,24.54,24.81,22.86,22.95,91300,22.95,-1.5899999999999999
2014-03-27,23.04,23.3,22.34,22.62,111600,22.62,-0.41999999999999815
2014-03-28,22.59,22.88,20.77,21.21,108200,21.21,-1.379999999999999
2014-03-31,21.25,22.19,20.65,22.09,76800,22.09,0.8399999999999999
