Date,open,high,low,close,volume,adj_close,diff
2014-01-02,3.44,3.44,3.11,3.23,3600,3.23,-0.20999999999999996
2014-01-03,3.33,3.33,3.17,3.29,800,3.29,-0.040000000000000036
2014-01-06,3.29,3.29,3.29,3.29,0,3.29,0.0
2014-01-07,3.19,3.19,3.19,3.19,100,3.19,0.0
2014-01-08,3.18,3.2,3.18,3.19,1600,3.19,0.009999999999999787
2014-01-09,3.4,3.4,3.16,3.27,600,3.27,-0.1299999999999999
2014-01-10,3.14,3.24,3.14,3.24,2500,3.24,0.10000000000000009
2014-01-13,3.18,3.2,3.17,3.2,3400,3.2,0.020000000000000018
2014-01-14,3.14,3.18,3.14,3.17,1500,3.17,0.029999999999999805
2014-01-15,3.35,3.45,3.24,3.26,10500,3.26,-0.0900000000000003
2014-01-16,3.34,3.5,3.31,3.45,2400,3.45,0.11000000000000032
2014-01-17,3.23,3.37,3.15,3.24,24500,3.24,0.010000000000000231
2014-01-21,3.17,3.29,3.15,3.2,6800,3.2,0.03000000000000025
2014-01-22,3.16,3.36,3.16,3.34,1100,3.34,0.17999999999999972
2014-01-23,3.38,3.47,3.24,3.24,700,3.24,-0.13999999999999968
2014-01-24,3.29,3.41,3.29,3.3,400,3.3,0.009999999999999787
2014-01-27,3.3,3.3,3.3,3.3,0,3.3,0.0
2014-01-28,3.3,3.3,3.3,3.3,0,3.3,0.0
2014-01-29,3.07,3.32,3.07,3.31,400,3.31,0.2400000000000002
2014-01-30,3.31,3.31,3.31,3.31,0,3.31,0.0
2014-01-31,3.18,3.18,3.14,3.17,1400,3.17,-0.010000000000000231
2014-02-03,3.05,3.17,3.05,3.17,400,3.17,0.1200000000000001
2014-02-04,3.02,3.15,3.0,3.12,3600,3.12,0.10000000000000009
2014-02-05,3.36,3.43,3.12,3.12,1000,3.12,-0.23999999999999977
2014-02-06,3.35,3.47,3.11,3.28,7500,3.28,-0.07000000000000028
2014-02-07,3.1,3.37,3.06,3.37,5700,3.37,0.27
2014-02-10,3.2,3.4,3.18,3.27,6600,3.27,0.06999999999999984
2014-02-11,3.3,3.37,2.99,3.13,8600,3.13,-0.16999999999999993
2014-02-12,3.1,3.18,3.01,3.18,10700,3.18,0.08000000000000007
2014-02-13,3.04,3.1,3.03,3.05,1100,3.05,0.009999999999999787
2014-02-14,3.0,3.19,3.0,3.07,15700,3.07,0.06999999999999984
2014-02-18,3.07,3.15,3.02,3.1,1900,3.1,0.03000000000000025
2014-02-19,3.03,3.03,3.03,3.03,200,3.03,0.0
2014-02-20,3.03,3.15,3.03,3.13,1400,3.13,0.10000000000000009
2014-02-21,3.25,3.33,3.13,3.22,700,3.22,-0.029999999999999805
2014-02-24,3.25,3.31,3.06,3.12,2600,3.12,-0.1299999999999999
2014-02-25,3.23,3.23,3.23,3.23,300,3.23,0.0
2014-02-26,3.15,3.28,3.13,3.25,1900,3.25,0.10000000000000009
2014-02-27,3.25,3.25,3.25,3.25,0,3.25,0.0
2014-02-28,3.25,3.25,3.25,3.25,0,3.25,0.0
2014-03-03,3.25,3.25,3.25,3.25,0,3.25,0.0
2014-03-04,3.25,3.36,3.1,3.34,5100,3.34,0.08999999999999986
2014-03-05,3.15,3.5,3.06,3.23,43400,3.23,0.08000000000000007
2014-03-06,3.29,3.29,3.28,3.28,300,3.28,-0.010000000000000231
2014-03-07,3.29,3.33,3.29,3.32,500,3.32,0.029999999999999805
2014-03-10,3.1,3.31,3.08,3.31,1400,3.31,0.20999999999999996
2014-03-11,3.2,3.29,3.19,3.26,1700,3.26,0.05999999999999961
2014-03-12,3.19,3.38,3.16,3.17,3300,3.17,-0.020000000000000018
2014-03-13,3.17,3.17,3.17,3.17,200,3.17,0.0
2014-03-14,3.42,3.42,3.15,3.17,800,3.17,-0.25
2014-03-17,3.17,3.41,3.17,3.37,8100,3.37,0.20000000000000018
2014-03-18,3.18,3.28,3.17,3.27,1100,3.27,0.08999999999999986
2014-03-19,3.26,3.42,3.26,3.42,900,3.42,0.16000000000000014
2014-03-20,3.47,3.5,3.43,3.5,1900,3.5,0.029999999999999805
2014-03-21,3.23,3.37,3.1,3.13,18700,3.13,-0.10000000000000009
2014-03-24,3.28,3.29,3.25,3.29,5300,3.29,0.010000000000000231
2014-03-25,3.25,3.3,3.15,3.19,6600,3.19,-0.06000000000000005
2014-03-26,3.31,3.31,3.17,3.17,5500,3.17,-0.14000000000000012
2014-03-27,3.25,3.25,3.14,3.24,4300,3.24,-0.009999999999999787
2014-03-28,3.32,3.42,3.32,3.35,4900,3.35,0.03000000000000025
2014-03-31,3.21,3.25,3.19,3.21,1500,3.21,0.0
2014-04-01,3.18,3.21,3.18,3.21,1900,3.21,0.029999999999999805
2014-04-02,3.21,3.21,3.21,3.21,0,3.21,0.0
2014-04-03,3.21,3.21,3.21,3.21,0,3.21,0.0
2014-04-04,3.25,3.35,3.2,3.23,9900,3.23,-0.020000000000000018
2014-04-07,3.17,3.33,3.05,3.15,28100,3.15,-0.020000000000000018
2014-04-08,3.21,3.21,3.11,3.11,11000,3.11,-0.10000000000000009
2014-04-09,3.24,3.24,3.15,3.16,2300,3.16,-0.08000000000000007
2014-04-10,3.15,3.22,3.15,3.19,10300,3.19,0.040000000000000036
2014-04-11,3.17,3.21,3.11,3.11,5500,3.11,-0.06000000000000005
2014-04-14,3.13,3.18,3.12,3.12,6400,3.12,-0.009999999999999787
2014-04-15,3.21,3.21,3.01,3.02,25800,3.02,-0.18999999999999995
2014-04-16,3.01,3.22,2.93,3.2,37200,3.2,0.1900000000000004
2014-04-17,3.3,3.37,3.11,3.21,5800,3.21,-0.08999999999999986
2014-04-21,3.1,3.38,3.04,3.32,1900,3.32,0.21999999999999975
2014-04-22,3.37,3.38,3.36,3.37,500,3.37,0.0
2014-04-23,3.14,3.38,3.12,3.31,17200,3.31,0.16999999999999993
2014-04-24,3.08,3.15,3.08,3.12,2100,3.12,0.040000000000000036
2014-04-25,3.15,3.2,3.1,3.1,300,3.1,-0.04999999999999982
2014-04-28,3.08,3.16,3.07,3.16,1800,3.16,0.08000000000000007
2014-04-29,3.08,3.18,3.08,3.15,500,3.15,0.06999999999999984
2014-04-30,3.17,3.18,3.07,3.18,7100,3.18,0.010000000000000231
2014-05-01,3.18,3.18,3.12,3.17,2000,3.17,-0.010000000000000231
2014-05-02,3.08,3.17,3.08,3.17,200,3.17,0.08999999999999986
2014-05-05,3.17,3.17,3.17,3.17,0,3.17,0.0
2014-05-06,3.09,3.09,3.09,3.09,400,3.09,0.0
2014-05-07,3.08,3.08,3.05,3.05,2900,3.05,-0.03000000000000025
2014-05-08,3.05,3.05,3.05,3.05,0,3.05,0.0
2014-05-09,3.05,3.05,3.05,3.05,0,3.05,0.0
2014-05-12,3.07,3.13,2.96,3.01,1600,3.01,-0.06000000000000005
2014-05-13,3.13,3.13,3.03,3.05,2000,3.05,-0.08000000000000007
2014-05-14,3.12,3.4,3.12,3.22,23000,3.22,0.10000000000000009
2014-05-15,3.43,3.47,3.07,3.39,4400,3.39,-0.040000000000000036
2014-05-16,3.13,3.28,3.12,3.28,4900,3.28,0.1499999999999999
2014-05-19,3.28,3.28,3.28,3.28,0,3.28,0.0
2014-05-20,3.27,3.27,3.27,3.27,100,3.27,0.0
2014-05-21,3.27,3.27,3.27,3.27,0,3.27,0.0
2014-05-22,3.05,3.28,3.05,3.28,400,3.28,0.22999999999999998
2014-05-23,3.25,3.25,3.22,3.22,300,3.22,-0.029999999999999805
2014-05-27,3.23,3.24,3.17,3.23,1400,3.23,0.0
2014-05-28,3.2,3.2,3.12,3.19,2500,3.19,-0.010000000000000231
2014-05-29,3.11,3.19,3.11,3.19,1100,3.19,0.08000000000000007
2014-05-30,3.19,3.19,3.19,3.19,0,3.19,0.0
2014-06-02,3.1,3.15,3.0,3.13,15700,3.13,0.029999999999999805
2014-06-03,3.27,3.27,3.15,3.15,400,3.15,-0.1200000000000001
2014-06-04,3.04,3.21,3.04,3.11,3400,3.11,0.06999999999999984
2014-06-05,3.19,3.19,3.19,3.19,100,3.19,0.0
2014-06-06,3.21,3.7,3.21,3.68,35400,3.68,0.4700000000000002
2014-06-09,3.55,3.55,3.47,3.51,4600,3.51,-0.040000000000000036
2014-06-10,3.64,3.64,3.56,3.56,1900,3.56,-0.08000000000000007
2014-06-11,3.56,3.56,3.56,3.56,0,3.56,0.0
2014-06-12,3.55,3.55,3.55,3.55,100,3.55,0.0
2014-06-13,3.55,3.55,3.55,3.55,0,3.55,0.0
2014-06-16,3.55,3.56,3.55,3.56,3200,3.56,0.010000000000000231
2014-06-17,3.28,3.44,3.28,3.44,1700,3.44,0.16000000000000014
2014-06-18,3.5,3.5,3.28,3.28,1100,3.28,-0.2200000000000002
2014-06-19,3.28,3.28,3.28,3.28,0,3.28,0.0
2014-06-20,3.52,3.52,3.28,3.44,2500,3.44,-0.08000000000000007
2014-06-23,3.37,3.37,3.37,3.37,200,3.37,0.0
2014-06-24,3.37,3.37,3.37,3.37,0,3.37,0.0
2014-06-25,3.29,3.3,3.28,3.29,1100,3.29,0.0
2014-06-26,3.21,3.5,3.21,3.5,200,3.5,0.29000000000000004
2014-06-27,3.21,3.32,3.21,3.32,2100,3.32,0.10999999999999988
2014-06-30,3.32,3.47,3.32,3.47,3600,3.47,0.15000000000000036
2014-07-01,3.35,3.44,3.35,3.44,300,3.44,0.08999999999999986
2014-07-02,3.55,3.55,3.32,3.32,3000,3.32,-0.22999999999999998
2014-07-03,3.43,3.44,3.38,3.39,2000,3.39,-0.040000000000000036
2014-07-07,3.38,3.39,3.38,3.39,1100,3.39,0.010000000000000231
2014-07-08,3.2,3.37,3.2,3.37,300,3.37,0.16999999999999993
2014-07-09,3.22,3.3,3.22,3.3,500,3.3,0.07999999999999963
2014-07-10,3.32,3.37,3.31,3.37,600,3.37,0.050000000000000266
2014-07-11,3.26,3.39,3.13,3.2,30900,3.2,-0.05999999999999961
2014-07-14,3.3,3.55,3.23,3.31,28200,3.31,0.010000000000000231
2014-07-15,3.2,3.2,3.2,3.2,400,3.2,0.0
2014-07-16,3.16,3.31,3.16,3.21,3800,3.21,0.04999999999999982
2014-07-17,3.45,3.52,3.21,3.52,2600,3.52,0.06999999999999984
2014-07-18,3.13,3.38,3.13,3.37,3000,3.37,0.2400000000000002
2014-07-21,3.41,3.41,3.13,3.41,600,3.41,0.0
2014-07-22,3.4,3.85,3.39,3.74,30500,3.74,0.3400000000000003
2014-07-23,3.7,3.82,3.55,3.72,6300,3.72,0.020000000000000018
2014-07-24,3.61,3.66,3.61,3.66,900,3.66,0.050000000000000266
2014-07-25,3.75,3.76,3.41,3.5,17000,3.5,-0.25
2014-07-28,3.77,3.77,3.59,3.66,2100,3.66,-0.10999999999999988
2014-07-29,3.82,3.89,3.72,3.89,7100,3.89,0.07000000000000028
2014-07-30,3.97,3.97,3.8,3.93,700,3.93,-0.040000000000000036
2014-07-31,3.71,3.88,3.66,3.8,1800,3.8,0.08999999999999986
2014-08-01,3.82,3.82,3.26,3.68,13100,3.68,-0.13999999999999968
2014-08-04,3.7,3.7,3.54,3.54,1200,3.54,-0.16000000000000014
2014-08-05,3.65,3.65,3.44,3.49,2300,3.49,-0.1599999999999997
2014-08-06,3.54,3.77,3.54,3.77,2100,3.77,0.22999999999999998
2014-08-07,3.61,3.61,3.6,3.6,2000,3.6,-0.009999999999999787
2014-08-08,3.6,3.77,3.6,3.77,5600,3.77,0.16999999999999993
2014-08-11,3.68,3.78,3.64,3.76,2800,3.76,0.07999999999999963
2014-08-12,3.79,3.8,3.69,3.7,5600,3.7,-0.08999999999999986
2014-08-13,3.63,3.7,3.63,3.7,2900,3.7,0.07000000000000028
2014-08-14,3.9,3.9,3.68,3.73,2200,3.73,-0.16999999999999993
2014-08-15,3.7,3.8,3.6,3.78,6100,3.78,0.07999999999999963
2014-08-18,3.79,3.79,3.72,3.77,2300,3.77,-0.020000000000000018
2014-08-19,3.8,3.95,3.79,3.95,22300,3.95,0.15000000000000036
2014-08-20,3.96,4.1,3.86,3.92,28500,3.92,-0.040000000000000036
2014-08-21,4.19,4.19,3.98,4.07,5800,4.07,-0.1200000000000001
2014-08-22,4.17,4.59,4.17,4.55,42200,4.55,0.3799999999999999
2014-08-25,4.55,4.9,4.53,4.68,26500,4.68,0.1299999999999999
2014-08-26,4.86,4.9,4.74,4.77,28300,4.77,-0.09000000000000075
2014-08-27,4.9,4.97,4.89,4.94,33200,4.94,0.040000000000000036
2014-08-28,4.99,5.4,4.91,5.34,77600,5.34,0.34999999999999964
2014-08-29,5.06,5.44,5.06,5.29,43700,5.29,0.23000000000000043
2014-09-02,5.25,5.27,4.96,5.02,40600,5.02,-0.23000000000000043
2014-09-03,4.95,5.09,4.78,4.99,13300,4.99,0.040000000000000036
2014-09-04,4.97,4.97,4.68,4.89,23800,4.89,-0.08000000000000007
2014-09-05,4.87,5.0,4.78,5.0,12000,5.0,0.1299999999999999
2014-09-08,5.1,5.19,4.71,4.95,12100,4.95,-0.14999999999999947
2014-09-09,5.05,5.05,4.72,4.92,7300,4.92,-0.1299999999999999
2014-09-10,4.65,4.83,4.52,4.62,7800,4.62,-0.03000000000000025
2014-09-11,4.55,4.56,4.25,4.48,11100,4.48,-0.0699999999999994
2014-09-12,4.45,4.45,4.25,4.3,4400,4.3,-0.15000000000000036
2014-09-15,4.22,4.58,4.22,4.26,51700,4.26,0.040000000000000036
2014-09-16,4.37,4.38,4.22,4.32,5000,4.32,-0.04999999999999982
2014-09-17,4.33,4.33,4.2,4.3,3600,4.3,-0.03000000000000025
2014-09-18,4.2,4.33,4.2,4.31,6600,4.31,0.10999999999999943
2014-09-19,4.2,4.35,4.2,4.27,5700,4.27,0.0699999999999994
2014-09-22,4.34,4.35,4.3,4.3,3000,4.3,-0.040000000000000036
2014-09-23,4.34,4.34,4.29,4.29,500,4.29,-0.04999999999999982
2014-09-24,4.2,4.2,4.2,4.2,100,4.2,0.0
2014-09-25,4.2,4.2,4.2,4.2,0,4.2,0.0
2014-09-26,4.14,4.28,4.14,4.2,4700,4.2,0.0600000000000005
2014-09-29,4.13,4.13,4.06,4.07,2000,4.07,-0.05999999999999961
2014-09-30,4.05,4.1,3.87,3.87,20500,3.87,-0.17999999999999972
2014-10-01,3.86,3.88,3.65,3.65,14200,3.65,-0.20999999999999996
2014-10-02,3.7,3.7,3.46,3.46,4000,3.46,-0.2400000000000002
2014-10-03,3.66,3.77,3.42,3.42,4800,3.42,-0.2400000000000002
2014-10-06,3.41,3.5,3.26,3.27,18300,3.27,-0.14000000000000012
2014-10-07,3.23,3.29,3.2,3.28,2500,3.28,0.04999999999999982
2014-10-08,3.5,4.23,3.4,3.55,96200,3.55,0.04999999999999982
2014-10-09,3.59,3.9,3.48,3.86,21000,3.86,0.27
2014-10-10,3.84,3.99,3.68,3.87,6900,3.87,0.03000000000000025
2014-10-13,3.87,3.87,3.71,3.82,4000,3.82,-0.050000000000000266
2014-10-14,3.85,3.85,3.74,3.74,2400,3.74,-0.10999999999999988
2014-10-15,3.63,3.74,3.55,3.63,7400,3.63,0.0
2014-10-16,3.76,3.85,3.66,3.82,6100,3.82,0.06000000000000005
2014-10-17,3.85,3.85,3.85,3.85,300,3.85,0.0
2014-10-20,3.85,3.86,3.85,3.85,3700,3.85,0.0
2014-10-21,3.85,3.86,3.78,3.81,6300,3.81,-0.040000000000000036
2014-10-22,3.85,3.86,3.76,3.76,33300,3.76,-0.0900000000000003
2014-10-23,3.72,3.86,3.63,3.66,8500,3.66,-0.06000000000000005
2014-10-24,3.61,3.79,3.61,3.71,13400,3.71,0.10000000000000009
2014-10-27,3.71,3.71,3.71,3.71,0,3.71,0.0
2014-10-28,3.65,3.82,3.65,3.82,1700,3.82,0.16999999999999993
2014-10-29,3.83,3.83,3.77,3.8,3000,3.8,-0.03000000000000025
2014-10-30,3.65,3.86,3.65,3.86,2300,3.86,0.20999999999999996
2014-10-31,3.85,3.85,3.85,3.85,2600,3.85,0.0
2014-11-03,3.81,3.81,3.72,3.74,1500,3.74,-0.06999999999999984
2014-11-04,3.66,3.68,3.51,3.53,14700,3.53,-0.13000000000000034
2014-11-05,3.53,3.62,3.33,3.62,16200,3.62,0.0900000000000003
2014-11-06,3.58,3.71,3.5,3.5,7000,3.5,-0.08000000000000007
2014-11-07,3.47,3.47,3.47,3.47,300,3.47,0.0
2014-11-10,3.44,3.44,3.44,3.44,500,3.44,0.0
2014-11-11,3.62,3.62,3.43,3.43,1100,3.43,-0.18999999999999995
2014-11-12,3.45,3.79,3.45,3.64,4800,3.64,0.18999999999999995
2014-11-13,3.57,3.61,3.51,3.52,7300,3.52,-0.04999999999999982
2014-11-14,3.52,3.52,3.52,3.52,0,3.52,0.0
2014-11-17,3.52,3.52,3.52,3.52,0,3.52,0.0
2014-11-18,3.4,3.43,3.04,3.1,33200,3.1,-0.2999999999999998
2014-11-19,3.25,3.25,3.05,3.05,5400,3.05,-0.20000000000000018
2014-11-20,3.03,3.1,3.03,3.03,7200,3.03,0.0
2014-11-21,3.07,3.14,2.97,3.14,9700,3.14,0.07000000000000028
2014-11-24,3.04,3.1,3.04,3.1,1300,3.1,0.06000000000000005
2014-11-25,3.03,3.03,3.03,3.03,500,3.03,0.0
2014-11-26,3.01,3.08,3.01,3.05,3100,3.05,0.040000000000000036
2014-11-28,3.12,3.12,3.11,3.11,2400,3.11,-0.010000000000000231
2014-12-01,3.09,3.09,3.04,3.04,500,3.04,-0.04999999999999982
2014-12-02,3.12,3.13,2.89,2.94,8400,2.94,-0.18000000000000016
2014-12-03,2.95,3.48,2.91,3.25,39200,3.25,0.2999999999999998
2014-12-04,3.18,3.22,3.18,3.22,1100,3.22,0.040000000000000036
2014-12-05,3.06,3.21,3.04,3.21,6200,3.21,0.1499999999999999
2014-12-08,2.99,3.06,2.97,2.99,9300,2.99,0.0
2014-12-09,2.91,2.98,2.88,2.98,8500,2.98,0.06999999999999984
2014-12-10,2.9,3.04,2.9,2.95,700,2.95,0.050000000000000266
2014-12-11,3.05,3.05,3.0,3.0,23400,3.0,-0.04999999999999982
2014-12-12,2.9,3.25,2.9,3.08,6600,3.08,0.18000000000000016
2014-12-15,2.99,2.99,2.95,2.95,1900,2.95,-0.040000000000000036
2014-12-16,2.9,2.94,2.9,2.91,1300,2.91,0.010000000000000231
2014-12-17,2.91,3.05,2.91,3.02,500,3.02,0.10999999999999988
2014-12-18,2.94,3.12,2.94,2.97,3800,2.97,0.03000000000000025
2014-12-19,2.91,2.95,2.91,2.95,2800,2.95,0.040000000000000036
2014-12-22,2.91,2.98,2.91,2.98,2200,2.98,0.06999999999999984
2014-12-23,3.12,3.12,2.92,2.92,6300,2.92,-0.20000000000000018
2014-12-24,2.92,2.92,2.92,2.92,400,2.92,0.0
2014-12-26,2.94,2.94,2.92,2.93,7300,2.93,-0.009999999999999787
2014-12-29,2.93,3.03,2.93,3.03,1400,3.03,0.09999999999999964
2014-12-30,2.94,2.94,2.94,2.94,1800,2.94,0.0
2014-12-31,2.94,2.96,2.91,2.91,3800,2.91,-0.029999999999999805
