Date,open,high,low,close,volume,adj_close,diff
2014-01-02,17.92,18.05,17.65,17.75,473200,17.72,-0.1700000000000017
2014-01-03,17.72,17.76,17.06,17.16,625600,17.14,-0.5599999999999987
2014-01-06,17.23,17.26,16.88,17.02,660600,17.0,-0.21000000000000085
2014-01-07,17.11,17.45,17.08,17.3,549200,17.28,0.19000000000000128
2014-01-08,17.34,18.47,17.28,17.64,970000,17.61,0.3000000000000007
2014-01-09,17.65,17.71,17.08,17.19,438800,17.17,-0.4599999999999973
2014-01-10,17.19,17.37,17.09,17.18,322500,17.16,-0.010000000000001563
2014-01-13,17.72,18.34,17.34,18.1,1391400,18.07,0.38000000000000256
2014-01-14,18.1,18.62,18.1,18.42,808400,18.39,0.3200000000000003
2014-01-15,18.5,18.95,18.43,18.87,822300,18.84,0.370000000000001
2014-01-16,18.85,18.91,18.61,18.73,473200,18.7,-0.120000000000001
2014-01-17,18.66,18.72,18.41,18.41,505900,18.38,-0.25
2014-01-21,18.47,18.91,18.17,18.82,762900,18.79,0.3500000000000014
2014-01-22,19.64,19.89,19.01,19.16,1413000,19.13,-0.4800000000000004
2014-01-23,18.91,18.97,18.54,18.6,632800,18.57,-0.3099999999999987
2014-01-24,18.39,18.4,17.6,17.77,676800,17.74,-0.620000000000001
2014-01-27,17.97,17.98,17.07,17.5,917800,17.47,-0.46999999999999886
2014-01-28,17.62,17.97,17.59,17.9,490400,17.87,0.2799999999999976
2014-01-29,17.69,18.01,17.28,17.38,669300,17.35,-0.3100000000000023
2014-01-30,17.44,17.72,17.3,17.65,646700,17.62,0.2099999999999973
2014-01-31,17.34,17.54,16.74,16.76,940700,16.74,-0.5799999999999983
2014-02-03,16.84,16.94,16.27,16.47,880100,16.45,-0.370000000000001
2014-02-04,16.58,16.97,16.22,16.84,551400,16.82,0.26000000000000156
2014-02-05,16.8,16.84,16.31,16.53,686200,16.51,-0.2699999999999996
2014-02-06,16.58,16.98,16.56,16.75,610800,16.73,0.1700000000000017
