Date,open,high,low,close,volume,adj_close,diff
2014-01-02,7.26,7.47,7.24,7.42,131400,7.42,0.16000000000000014
2014-01-03,7.41,7.53,7.38,7.49,116300,7.49,0.08000000000000007
2014-01-06,7.5,7.52,7.29,7.3,98800,7.3,-0.20000000000000018
2014-01-07,7.31,7.44,7.31,7.35,104900,7.35,0.040000000000000036
2014-01-08,7.32,7.36,7.2,7.24,62300,7.24,-0.08000000000000007
2014-01-09,7.29,7.32,7.14,7.23,115000,7.23,-0.05999999999999961
2014-01-10,7.2,7.2,7.08,7.11,130300,7.11,-0.08999999999999986
2014-01-13,7.07,7.13,6.91,6.97,101500,6.97,-0.10000000000000053
2014-01-14,7.01,7.33,6.99,7.32,430500,7.32,0.3100000000000005
2014-01-15,7.36,7.49,7.32,7.35,373500,7.35,-0.010000000000000675
2014-01-16,7.3,7.37,7.22,7.3,208500,7.3,0.0
2014-01-17,7.27,7.35,7.14,7.33,90200,7.33,0.0600000000000005
2014-01-21,7.36,7.49,7.25,7.48,1056100,7.48,0.1200000000000001
2014-01-22,7.45,7.53,7.3,7.32,154400,7.32,-0.1299999999999999
2014-01-23,7.28,7.38,7.25,7.36,118400,7.36,0.08000000000000007
2014-01-24,7.28,7.37,7.1,7.21,118700,7.21,-0.07000000000000028
2014-01-27,7.19,7.26,7.03,7.05,92900,7.05,-0.14000000000000057
2014-01-28,7.02,7.23,7.0,7.09,129900,7.09,0.07000000000000028
2014-01-29,7.05,7.17,6.94,7.0,121300,7.0,-0.04999999999999982
2014-01-30,7.03,7.24,7.02,7.1,97900,7.1,0.0699999999999994
2014-01-31,7.02,7.21,6.89,7.05,178100,7.05,0.03000000000000025
2014-02-03,7.06,7.12,6.83,6.84,191800,6.84,-0.21999999999999975
2014-02-04,6.85,6.92,6.77,6.77,103700,6.77,-0.08000000000000007
2014-02-05,6.75,6.89,6.6,6.72,153800,6.72,-0.03000000000000025
2014-02-06,6.73,6.91,6.72,6.8,103200,6.8,0.0699999999999994
2014-02-07,6.8,6.91,6.73,6.81,141000,6.81,0.009999999999999787
2014-02-10,6.79,6.79,6.65,6.79,137800,6.79,0.0
2014-02-11,6.78,6.86,6.75,6.86,95700,6.86,0.08000000000000007
2014-02-12,6.84,6.91,6.67,6.71,78100,6.71,-0.1299999999999999
