Date,open,high,low,close,volume,adj_close,diff
2014-01-02,74.91,75.29,74.51,74.57,3067000,73.36,-0.3400000000000034
2014-01-03,74.8,75.76,74.6,75.1,3206400,73.89,0.29999999999999716
2014-01-06,75.42,75.42,74.12,74.24,3424500,73.04,-1.1800000000000068
2014-01-07,74.94,77.33,74.94,76.51,6542500,75.27,1.5700000000000074
2014-01-08,76.33,76.46,75.48,75.62,6172200,74.4,-0.7099999999999937
2014-01-09,75.65,76.24,75.65,76.08,6291500,74.85,0.4299999999999926
2014-01-10,76.2,76.3,74.55,74.7,6632200,73.49,-1.5
2014-01-13,74.67,75.0,73.68,73.94,5248700,72.74,-0.730000000000004
2014-01-14,74.05,74.34,73.69,74.02,5783900,72.82,-0.030000000000001137
2014-01-15,73.99,74.86,73.99,74.84,7043300,73.63,0.8500000000000085
2014-01-16,74.13,74.84,72.15,72.76,8892800,71.58,-1.3699999999999903
2014-01-17,73.12,73.12,72.3,72.52,5551300,71.35,-0.6000000000000085
2014-01-21,72.72,73.62,72.41,73.16,6379300,71.98,0.4399999999999977
2014-01-22,73.83,73.93,73.24,73.4,4864700,72.21,-0.4299999999999926
2014-01-23,72.7,73.69,72.49,73.2,5050300,72.02,0.5
2014-01-24,72.83,72.92,71.38,71.6,5523600,70.44,-1.230000000000004
2014-01-27,71.31,72.2,71.14,71.65,4233600,70.49,0.3400000000000034
2014-01-28,71.65,72.36,71.47,71.71,2932700,70.55,0.05999999999998806
2014-01-29,71.39,72.96,70.84,71.26,6005100,70.11,-0.12999999999999545
2014-01-30,71.7,73.04,71.53,72.8,4254000,71.62,1.0999999999999943
2014-01-31,71.87,72.35,71.45,72.28,4291500,71.11,0.4099999999999966
2014-02-03,72.14,72.21,70.64,70.74,4526100,69.6,-1.4000000000000057
2014-02-04,70.8,71.0,69.8,70.51,4646100,69.37,-0.28999999999999204
2014-02-05,69.94,71.2,69.83,70.82,4394300,69.67,0.8799999999999955
2014-02-06,70.77,71.06,70.09,70.87,4765600,69.72,0.10000000000000853
2014-02-07,70.5,71.65,70.11,71.36,6902900,70.21,0.8599999999999994
2014-02-10,70.91,71.07,69.57,69.74,7774000,68.61,-1.1700000000000017
2014-02-11,69.76,70.87,69.58,70.62,5543000,69.48,0.8599999999999994
2014-02-12,70.91,71.3,69.98,70.24,4120600,69.1,-0.6700000000000017
2014-02-13,70.13,71.48,69.93,71.21,3788000,70.06,1.0799999999999983
2014-02-14,71.16,73.84,71.0,73.52,6848800,72.33,2.3599999999999994
2014-02-18,73.52,74.62,73.45,73.83,5538400,72.64,0.3100000000000023
2014-02-19,73.55,74.31,73.42,73.55,3926500,72.36,0.0
2014-02-20,73.6,74.11,73.23,73.48,4134000,72.29,-0.11999999999999034
2014-02-21,73.43,74.1,73.34,73.81,4552300,72.62,0.37999999999999545
2014-02-24,74.14,76.77,74.0,76.01,9559000,74.78,1.8700000000000045
2014-02-25,75.98,76.14,75.13,75.32,3761800,74.1,-0.6600000000000108
2014-02-26,75.33,76.13,74.78,76.06,5433200,74.83,0.730000000000004
2014-02-27,75.78,76.41,75.6,76.02,4227300,74.79,0.23999999999999488
2014-02-28,76.04,77.71,75.8,77.27,6176600,76.02,1.2299999999999898
2014-03-03,76.7,77.46,76.53,77.1,3673400,75.85,0.3999999999999915
2014-03-04,77.74,78.57,77.54,78.13,5164500,76.87,0.39000000000000057
2014-03-05,78.26,78.5,77.58,77.99,3917600,76.73,-0.27000000000001023
2014-03-06,78.15,78.34,77.55,77.64,4200500,76.38,-0.5100000000000051
2014-03-07,78.01,78.07,77.04,77.4,3434700,76.15,-0.6099999999999994
2014-03-10,77.28,77.9,77.11,77.88,2986400,76.62,0.5999999999999943
2014-03-11,77.91,78.45,77.52,77.78,3471200,76.52,-0.12999999999999545
2014-03-12,77.28,77.7,77.23,77.6,2875400,76.62,0.3199999999999932
2014-03-13,77.76,78.1,76.96,77.01,3178600,76.04,-0.75
2014-03-14,77.02,77.02,75.65,75.7,5128700,74.75,-1.3199999999999932
2014-03-17,76.14,77.02,76.09,76.76,3517900,75.79,0.6200000000000045
2014-03-18,76.97,78.05,76.77,78.0,3670800,77.02,1.0300000000000011
2014-03-19,78.07,80.3,77.94,79.96,9060100,78.95,1.8900000000000006
2014-03-20,79.58,81.59,79.43,81.53,7786500,80.5,1.9500000000000028
2014-03-21,82.19,83.32,81.3,81.34,11828100,80.31,-0.8499999999999943
2014-03-24,81.65,81.72,80.86,81.28,5306200,80.25,-0.37000000000000455
2014-03-25,81.59,82.15,80.98,81.1,4588800,80.08,-0.4900000000000091
2014-03-26,81.48,82.3,81.07,81.54,6910000,80.51,0.060000000000002274
2014-03-27,81.58,81.9,80.78,81.02,5453900,80.0,-0.5600000000000023
2014-03-28,81.4,82.35,81.26,81.62,4787400,80.59,0.21999999999999886
2014-03-31,82.08,82.27,81.41,81.99,3513700,80.96,-0.09000000000000341
2014-04-01,82.35,83.05,81.58,81.84,4339800,80.81,-0.5099999999999909
2014-04-02,81.54,81.74,81.27,81.61,3832100,80.58,0.06999999999999318
2014-04-03,81.65,82.35,81.6,82.25,4214700,81.21,0.5999999999999943
2014-04-04,82.69,82.93,81.37,81.53,4788100,80.5,-1.1599999999999966
2014-04-07,81.5,81.98,80.75,81.08,5286700,80.06,-0.4200000000000017
2014-04-08,81.07,81.55,80.11,80.66,4044900,79.64,-0.4099999999999966
2014-04-09,80.8,81.56,80.5,81.39,3308900,80.36,0.5900000000000034
2014-04-10,81.42,81.99,79.78,79.99,4850000,78.98,-1.4300000000000068
2014-04-11,79.77,79.97,78.82,78.95,3418700,77.95,-0.8199999999999932
2014-04-14,79.44,79.68,78.38,79.18,4013700,78.18,-0.2599999999999909
2014-04-15,79.36,79.72,78.06,79.51,4719100,78.51,0.15000000000000568
2014-04-16,79.49,79.54,77.47,78.19,8098100,77.2,-1.2999999999999972
2014-04-17,75.44,76.65,73.61,75.78,13427200,74.82,0.3400000000000034
2014-04-21,75.7,76.48,74.79,74.95,6912500,74.0,-0.75
2014-04-22,75.19,76.19,74.95,75.76,6199400,74.8,0.5700000000000074
2014-04-23,75.81,76.07,75.11,75.33,4645700,74.38,-0.480000000000004
2014-04-24,76.15,77.08,75.91,76.59,4604900,75.62,0.4399999999999977
2014-04-25,76.57,77.29,75.23,75.66,5416200,74.71,-0.9099999999999966
2014-04-28,76.35,76.58,75.42,75.74,5346800,74.78,-0.6099999999999994
2014-04-29,75.95,76.21,74.89,75.2,4813200,74.25,-0.75
2014-04-30,75.25,76.19,74.92,75.04,6435900,74.09,-0.20999999999999375
2014-05-01,75.05,75.4,74.26,74.95,4598000,74.0,-0.09999999999999432
2014-05-02,74.68,75.33,74.51,75.03,3794700,74.08,0.3499999999999943
2014-05-05,74.83,75.31,74.3,75.23,4476100,74.28,0.4000000000000057
2014-05-06,75.13,75.6,74.89,75.26,4728200,74.31,0.13000000000000966
2014-05-07,75.59,77.95,75.08,77.91,6383500,76.93,2.319999999999993
2014-05-08,77.82,78.06,76.74,76.89,4943100,75.92,-0.9299999999999926
2014-05-09,76.82,77.3,76.62,76.95,3465600,75.98,0.13000000000000966
2014-05-12,77.2,78.02,77.1,77.74,3110900,76.76,0.539999999999992
2014-05-13,77.86,78.22,77.53,78.04,3059000,77.06,0.18000000000000682
2014-05-14,78.05,78.05,76.94,77.17,2635300,76.2,-0.8799999999999955
2014-05-15,77.16,77.32,76.23,76.48,3075200,75.52,-0.6799999999999926
2014-05-16,76.35,76.67,76.01,76.65,2974600,75.68,0.30000000000001137
2014-05-19,76.42,77.23,76.36,77.2,2149100,76.23,0.7800000000000011
2014-05-20,77.19,77.4,76.36,76.66,2806500,75.69,-0.5300000000000011
2014-05-21,76.71,77.88,76.63,77.72,2401200,76.74,1.0100000000000051
2014-05-22,77.71,78.63,77.63,78.34,3146900,77.35,0.6300000000000097
2014-05-23,78.65,79.0,78.36,78.77,2251500,77.78,0.11999999999999034
2014-05-27,79.23,79.33,78.66,79.11,2645500,78.11,-0.12000000000000455
2014-05-28,78.97,79.21,78.3,78.58,2250900,77.59,-0.39000000000000057
2014-05-29,78.6,79.43,78.08,79.37,3526800,78.37,0.7700000000000102
2014-05-30,79.24,79.74,78.88,79.63,5139900,78.63,0.39000000000000057
2014-06-02,79.77,79.93,79.32,79.47,1986400,78.47,-0.29999999999999716
2014-06-03,79.31,80.18,79.28,79.88,2841100,78.87,0.5699999999999932
2014-06-04,79.73,80.57,79.48,80.51,3552900,79.49,0.7800000000000011
2014-06-05,80.48,80.75,79.68,79.8,3453700,78.79,-0.6800000000000068
2014-06-06,79.99,80.32,79.57,79.93,3286600,78.92,-0.05999999999998806
2014-06-09,80.05,80.25,79.26,79.76,2801700,78.75,-0.28999999999999204
