Date,open,high,low,close,volume,adj_close,diff
2014-01-02,50.14,50.5,49.57,49.87,4571100,48.5,-0.2700000000000031
2014-01-03,49.95,49.98,48.98,49.35,4340900,48.0,-0.6000000000000014
2014-01-06,49.56,50.45,49.48,49.83,6308600,48.46,0.269999999999996
2014-01-07,50.12,52.03,49.03,51.42,13196200,50.01,1.3000000000000043
2014-01-08,51.17,51.91,50.69,51.86,11679200,50.44,0.6899999999999977
2014-01-09,52.05,53.03,51.95,52.9,10718100,51.45,0.8500000000000014
2014-01-10,52.85,53.45,52.26,53.24,10079200,51.78,0.39000000000000057
2014-01-13,53.13,53.64,51.16,51.49,8201400,50.08,-1.6400000000000006
2014-01-14,51.99,52.58,51.8,52.38,7616000,50.94,0.39000000000000057
2014-01-15,52.18,52.28,50.76,51.64,12472000,50.22,-0.5399999999999991
2014-01-16,51.31,51.48,50.01,50.88,10525800,49.48,-0.4299999999999997
2014-01-17,50.82,52.01,50.31,51.42,6719300,50.01,0.6000000000000014
2014-01-21,52.24,52.84,51.62,51.89,5769800,50.47,-0.3500000000000014
2014-01-22,51.51,51.97,50.52,50.95,6802200,49.55,-0.5599999999999952
2014-01-23,51.19,52.0,50.34,51.25,10802000,49.84,0.060000000000002274
2014-01-24,50.81,50.81,48.65,49.04,10778900,47.69,-1.7700000000000031
2014-01-27,49.36,50.11,48.66,49.57,7473000,48.21,0.21000000000000085
2014-01-28,49.63,50.31,48.71,50.2,6949400,48.82,0.5700000000000003
2014-01-29,48.82,52.44,48.6,51.4,11733900,49.99,2.5799999999999983
2014-01-30,52.09,52.8,51.31,51.41,6472300,50.0,-0.6800000000000068
2014-01-31,51.01,52.23,51.01,51.1,6419000,49.7,0.09000000000000341
2014-02-03,51.09,51.49,48.71,48.85,9502900,47.51,-2.240000000000002
2014-02-04,49.23,49.28,46.64,48.24,15607400,46.92,-0.9899999999999949
2014-02-05,47.74,47.74,46.27,46.37,16094600,45.1,-1.3700000000000045
2014-02-06,46.36,47.4,45.9,47.18,8936500,45.89,0.8200000000000003
2014-02-07,47.64,48.92,47.41,48.82,10149300,47.48,1.1799999999999997
2014-02-10,48.62,48.62,47.01,47.36,7963500,46.3,-1.259999999999998
2014-02-11,47.6,48.44,47.53,47.82,6560500,46.75,0.21999999999999886
2014-02-12,47.97,48.35,47.3,47.64,5882200,46.57,-0.3299999999999983
2014-02-13,47.37,49.04,47.34,49.01,6790000,47.91,1.6400000000000006
2014-02-14,48.74,50.16,48.37,49.86,7041800,48.74,1.1199999999999974
