Date,open,high,low,close,volume,adj_close,diff
2014-01-02,1.0,1.04,0.98,1.04,63800,1.04,0.040000000000000036
2014-01-03,1.05,1.12,1.01,1.04,101900,1.04,-0.010000000000000009
2014-01-06,1.07,1.11,1.01,1.11,168800,1.11,0.040000000000000036
2014-01-07,1.13,1.21,1.11,1.14,234800,1.14,0.010000000000000009
2014-01-08,1.13,1.14,1.07,1.1,26100,1.1,-0.029999999999999805
2014-01-09,1.12,1.13,1.04,1.05,92000,1.05,-0.07000000000000006
2014-01-10,1.06,1.12,1.04,1.1,63100,1.1,0.040000000000000036
2014-01-13,1.1,1.14,1.06,1.08,98600,1.08,-0.020000000000000018
2014-01-14,1.1,1.18,1.06,1.18,165000,1.18,0.07999999999999985
2014-01-15,1.19,1.28,1.13,1.14,598500,1.14,-0.050000000000000044
2014-01-16,1.15,1.18,1.11,1.16,175700,1.16,0.010000000000000009
2014-01-17,1.17,1.39,1.16,1.36,750500,1.36,0.19000000000000017
2014-01-21,1.45,1.45,1.32,1.39,605800,1.39,-0.06000000000000005
2014-01-22,1.42,1.42,1.25,1.35,191700,1.35,-0.06999999999999984
2014-01-23,1.36,1.36,1.21,1.25,185400,1.25,-0.1100000000000001
2014-01-24,1.26,1.32,1.23,1.29,199400,1.29,0.030000000000000027
2014-01-27,1.27,1.29,1.19,1.21,147900,1.21,-0.06000000000000005
2014-01-28,1.22,1.29,1.19,1.27,51900,1.27,0.050000000000000044
2014-01-29,1.28,1.29,1.24,1.28,48000,1.28,0.0
2014-01-30,1.35,1.43,1.33,1.4,159000,1.4,0.04999999999999982
2014-01-31,1.42,1.45,1.35,1.43,94200,1.43,0.010000000000000009
2014-02-03,1.43,1.43,1.36,1.4,143300,1.4,-0.030000000000000027
2014-02-04,1.38,1.38,1.23,1.27,174700,1.27,-0.10999999999999988
2014-02-05,1.31,1.34,1.23,1.27,62100,1.27,-0.040000000000000036
2014-02-06,1.27,1.31,1.23,1.25,67800,1.25,-0.020000000000000018
2014-02-07,1.24,1.29,1.22,1.24,79700,1.24,0.0
2014-02-10,1.21,1.24,1.15,1.18,127700,1.18,-0.030000000000000027
2014-02-11,1.2,1.35,1.18,1.33,107200,1.33,0.13000000000000012
2014-02-12,1.32,1.38,1.28,1.33,63500,1.33,0.010000000000000009
2014-02-13,1.34,1.5,1.29,1.45,436700,1.45,0.10999999999999988
2014-02-14,1.4,1.56,1.38,1.42,394800,1.42,0.020000000000000018
2014-02-18,1.46,1.59,1.45,1.56,524300,1.56,0.10000000000000009
2014-02-19,1.57,1.64,1.51,1.55,288500,1.55,-0.020000000000000018
2014-02-20,1.55,1.56,1.46,1.5,85600,1.5,-0.050000000000000044
2014-02-21,1.5,1.57,1.46,1.5,117900,1.5,0.0
2014-02-24,1.54,1.6,1.5,1.57,289400,1.57,0.030000000000000027
2014-02-25,1.6,1.6,1.51,1.57,100000,1.57,-0.030000000000000027
2014-02-26,1.6,1.6,1.5,1.55,92400,1.55,-0.050000000000000044
2014-02-27,1.55,1.58,1.5,1.52,64000,1.52,-0.030000000000000027
2014-02-28,1.55,1.55,1.42,1.44,86800,1.44,-0.1100000000000001
2014-03-03,1.46,1.58,1.41,1.5,72700,1.5,0.040000000000000036
2014-03-04,1.5,1.56,1.48,1.52,42900,1.52,0.020000000000000018
2014-03-05,1.56,1.57,1.5,1.55,57900,1.55,-0.010000000000000009
2014-03-06,1.6,1.7,1.52,1.65,171300,1.65,0.04999999999999982
2014-03-07,1.69,1.75,1.54,1.61,331700,1.61,-0.07999999999999985
2014-03-10,1.68,1.69,1.54,1.66,89000,1.66,-0.020000000000000018
2014-03-11,1.71,1.75,1.58,1.6,174700,1.6,-0.10999999999999988
2014-03-12,1.63,1.69,1.53,1.56,193600,1.56,-0.06999999999999984
2014-03-13,1.55,1.65,1.5,1.54,169200,1.54,-0.010000000000000009
2014-03-14,1.54,1.57,1.44,1.51,71100,1.51,-0.030000000000000027
2014-03-17,1.51,1.51,1.4,1.45,77500,1.45,-0.06000000000000005
2014-03-18,1.41,1.45,1.39,1.39,97000,1.39,-0.020000000000000018
2014-03-19,1.39,1.54,1.39,1.45,210400,1.45,0.06000000000000005
2014-03-20,1.48,1.49,1.41,1.47,79200,1.47,-0.010000000000000009
2014-03-21,1.47,1.48,1.42,1.48,48700,1.48,0.010000000000000009
2014-03-24,1.49,1.49,1.34,1.35,123000,1.35,-0.1399999999999999
2014-03-25,1.33,1.46,1.26,1.33,242200,1.33,0.0
2014-03-26,1.29,1.33,1.21,1.25,132100,1.25,-0.040000000000000036
2014-03-27,1.19,1.25,1.12,1.19,96700,1.19,0.0
2014-03-28,1.16,1.34,1.16,1.23,79600,1.23,0.07000000000000006
2014-03-31,1.25,1.26,1.2,1.2,28800,1.2,-0.050000000000000044
2014-04-01,1.2,1.24,1.2,1.22,31500,1.22,0.020000000000000018
2014-04-02,1.25,1.26,1.19,1.21,43400,1.21,-0.040000000000000036
2014-04-03,1.24,1.29,1.21,1.25,70800,1.25,0.010000000000000009
2014-04-04,1.28,1.28,1.17,1.19,54100,1.19,-0.09000000000000008
2014-04-07,1.17,1.24,1.15,1.2,57600,1.2,0.030000000000000027
2014-04-08,1.17,1.21,1.17,1.17,53100,1.17,0.0
2014-04-09,1.14,1.2,1.14,1.19,43200,1.19,0.050000000000000044
2014-04-10,1.2,1.2,1.16,1.16,26500,1.16,-0.040000000000000036
2014-04-11,1.14,1.15,1.13,1.13,33400,1.13,-0.010000000000000009
2014-04-14,1.13,1.14,1.05,1.07,64100,1.07,-0.05999999999999983
2014-04-15,1.13,1.13,0.96,1.07,143200,1.07,-0.05999999999999983
2014-04-16,1.1,1.11,1.04,1.06,11500,1.06,-0.040000000000000036
2014-04-17,1.03,1.1,1.03,1.08,52700,1.08,0.050000000000000044
2014-04-21,1.1,1.1,1.01,1.09,37600,1.09,-0.010000000000000009
2014-04-22,1.04,1.12,1.04,1.09,33400,1.09,0.050000000000000044
2014-04-23,1.1,1.12,1.09,1.11,18800,1.11,0.010000000000000009
2014-04-24,1.1,1.12,1.08,1.11,21600,1.11,0.010000000000000009
2014-04-25,1.07,1.1,1.06,1.09,28100,1.09,0.020000000000000018
2014-04-28,1.05,1.08,1.0,1.03,57100,1.03,-0.020000000000000018
2014-04-29,1.03,1.09,1.03,1.09,32300,1.09,0.06000000000000005
2014-04-30,1.05,1.11,1.03,1.04,69800,1.04,-0.010000000000000009
2014-05-01,1.04,1.2,1.04,1.17,75800,1.17,0.1299999999999999
2014-05-02,1.12,1.16,1.12,1.13,9600,1.13,0.009999999999999787
2014-05-05,1.16,1.17,1.12,1.15,17800,1.15,-0.010000000000000009
2014-05-06,1.15,1.2,1.1,1.1,61300,1.1,-0.04999999999999982
2014-05-07,1.06,1.13,1.05,1.11,41200,1.11,0.050000000000000044
2014-05-08,1.04,1.07,1.02,1.04,95800,1.04,0.0
2014-05-09,1.05,1.05,1.01,1.05,17100,1.05,0.0
2014-05-12,1.05,1.05,1.02,1.05,4700,1.05,0.0
2014-05-13,1.02,1.06,1.02,1.06,30900,1.06,0.040000000000000036
2014-05-14,1.03,1.06,1.02,1.02,65900,1.02,-0.010000000000000009
2014-05-15,1.02,1.03,1.0,1.02,47500,1.02,0.0
2014-05-16,1.01,1.03,1.0,1.03,72300,1.03,0.020000000000000018
2014-05-19,1.03,1.05,1.02,1.05,19600,1.05,0.020000000000000018
2014-05-20,1.06,1.09,1.06,1.09,17300,1.09,0.030000000000000027
2014-05-21,1.08,1.09,1.03,1.07,14500,1.07,-0.010000000000000009
2014-05-22,1.02,1.11,1.02,1.08,14200,1.08,0.06000000000000005
2014-05-23,1.09,1.09,1.06,1.09,21000,1.09,0.0
2014-05-27,1.09,1.15,1.05,1.09,27200,1.09,0.0
2014-05-28,1.14,1.15,1.06,1.12,54400,1.12,-0.019999999999999796
2014-05-29,1.12,1.21,1.12,1.18,38100,1.18,0.05999999999999983
2014-05-30,1.18,1.2,1.09,1.2,5700,1.2,0.020000000000000018
2014-06-02,1.2,1.2,1.12,1.15,900,1.15,-0.050000000000000044
2014-06-03,1.13,1.15,1.12,1.14,26600,1.14,0.010000000000000009
2014-06-04,1.08,1.17,1.08,1.17,35700,1.17,0.08999999999999986
2014-06-05,1.15,1.15,1.08,1.11,32400,1.11,-0.039999999999999813
2014-06-06,1.11,1.15,1.06,1.13,24700,1.13,0.019999999999999796
2014-06-09,1.21,1.22,1.15,1.16,72500,1.16,-0.050000000000000044
2014-06-10,1.19,1.19,1.15,1.18,14000,1.18,-0.010000000000000009
2014-06-11,1.15,1.18,1.09,1.16,14700,1.16,0.010000000000000009
2014-06-12,1.13,1.18,1.11,1.16,6400,1.16,0.030000000000000027
2014-06-13,1.16,1.18,1.12,1.15,4300,1.15,-0.010000000000000009
2014-06-16,1.15,1.17,1.09,1.11,9400,1.11,-0.039999999999999813
2014-06-17,1.09,1.15,1.07,1.11,12100,1.11,0.020000000000000018
2014-06-18,1.09,1.15,1.09,1.15,3500,1.15,0.05999999999999983
2014-06-19,1.15,1.15,1.09,1.11,8200,1.11,-0.039999999999999813
2014-06-20,1.1,1.15,1.1,1.15,10500,1.15,0.04999999999999982
2014-06-23,1.11,1.17,1.09,1.16,5200,1.16,0.04999999999999982
2014-06-24,1.15,1.18,1.1,1.16,8000,1.16,0.010000000000000009
2014-06-25,1.18,1.18,1.15,1.17,24400,1.17,-0.010000000000000009
2014-06-26,1.15,1.18,1.15,1.15,4700,1.15,0.0
2014-06-27,1.15,1.18,1.15,1.18,44500,1.18,0.030000000000000027
2014-06-30,1.15,1.18,1.15,1.15,25700,1.15,0.0
