Date,open,high,low,close,volume,adj_close,diff
2014-01-02,39.35,39.35,38.54,38.58,572800,38.58,-0.7700000000000031
2014-01-03,38.58,39.6,38.57,39.48,444200,39.48,0.8999999999999986
2014-01-06,39.5,40.39,39.33,39.78,644500,39.78,0.28000000000000114
2014-01-07,40.0,42.78,39.78,42.44,1717400,42.44,2.4399999999999977
2014-01-08,42.16,43.99,42.08,43.72,1557100,43.72,1.5600000000000023
2014-01-09,43.95,44.4,42.78,44.25,648300,44.25,0.29999999999999716
2014-01-10,44.45,46.5,44.1,46.27,2434000,46.27,1.8200000000000003
2014-01-13,45.18,48.72,45.09,47.44,1956300,47.44,2.259999999999998
2014-01-14,47.48,48.25,47.06,47.99,1003200,47.99,0.5100000000000051
2014-01-15,48.25,49.37,47.45,49.17,998000,49.17,0.9200000000000017
2014-01-16,48.8,49.96,48.47,49.63,808700,49.63,0.8300000000000054
2014-01-17,49.63,50.53,48.76,49.56,1100900,49.56,-0.07000000000000028
2014-01-21,50.01,50.56,48.92,49.42,673900,49.42,-0.5899999999999963
2014-01-22,49.5,49.66,48.88,49.2,882100,49.2,-0.29999999999999716
2014-01-23,48.74,49.5,47.55,48.83,812400,48.83,0.0899999999999963
2014-01-24,48.3,48.48,46.92,47.56,751000,47.56,-0.7399999999999949
2014-01-27,47.42,47.85,46.36,47.21,579000,47.21,-0.21000000000000085
2014-01-28,47.4,48.0,47.04,47.65,480100,47.65,0.25
2014-01-29,46.82,47.78,46.57,47.0,546900,47.0,0.17999999999999972
2014-01-30,47.14,48.86,46.7,48.27,429900,48.27,1.1300000000000026
2014-01-31,47.36,48.23,47.27,47.9,298700,47.9,0.5399999999999991
2014-02-03,47.72,48.74,45.49,45.82,753100,45.82,-1.8999999999999986
2014-02-04,46.23,46.94,45.41,45.47,783200,45.47,-0.759999999999998
2014-02-05,45.26,45.45,43.44,45.27,727100,45.27,0.010000000000005116
2014-02-06,45.54,47.28,44.77,47.23,584200,47.23,1.6899999999999977
2014-02-07,47.56,47.89,46.72,46.73,503400,46.73,-0.8300000000000054
2014-02-10,46.87,47.24,45.85,47.1,825200,47.1,0.23000000000000398
2014-02-11,47.1,47.34,42.12,44.72,4557200,44.72,-2.3800000000000026
2014-02-12,45.0,45.96,44.71,45.0,1095400,45.0,0.0
2014-02-13,44.45,46.53,44.15,46.51,1136400,46.51,2.059999999999995
2014-02-14,48.52,49.02,47.7,48.49,1598100,48.49,-0.030000000000001137
2014-02-18,48.47,49.97,48.39,49.48,1490300,49.48,1.009999999999998
2014-02-19,49.4,51.41,48.95,50.17,1709500,50.17,0.7700000000000031
2014-02-20,50.17,51.0,49.5,50.69,836000,50.69,0.519999999999996
2014-02-21,48.29,49.48,46.73,47.57,1715900,47.57,-0.7199999999999989
2014-02-24,47.85,47.85,45.46,45.84,1727900,45.84,-2.009999999999998
2014-02-25,46.5,46.5,45.08,45.16,1199600,45.16,-1.3400000000000034
2014-02-26,45.5,47.0,45.01,45.49,1388800,45.49,-0.00999999999999801
2014-02-27,45.6,46.13,44.88,45.35,742500,45.35,-0.25
2014-02-28,45.24,45.72,44.02,44.41,779200,44.41,-0.8300000000000054
2014-03-03,43.49,44.0,43.08,43.33,931300,43.33,-0.1600000000000037
2014-03-04,41.6,44.74,41.24,43.98,3750700,43.98,2.3799999999999955
2014-03-05,44.3,44.85,43.49,43.85,1085700,43.85,-0.44999999999999574
2014-03-06,44.12,45.01,43.73,44.24,704700,44.24,0.12000000000000455
2014-03-07,44.64,44.8,43.55,43.98,513600,43.98,-0.6600000000000037
2014-03-10,43.98,44.82,43.43,43.53,385600,43.53,-0.44999999999999574
2014-03-11,43.5,44.04,42.69,42.72,576600,42.72,-0.7800000000000011
2014-03-12,42.32,43.36,42.32,43.08,273100,43.08,0.759999999999998
2014-03-13,43.11,43.49,42.26,42.34,395800,42.34,-0.769999999999996
2014-03-14,42.12,42.91,41.07,42.33,1378900,42.33,0.21000000000000085
2014-03-17,42.71,43.31,41.87,41.91,854800,41.91,-0.8000000000000043
2014-03-18,41.98,42.63,41.27,41.5,1204500,41.5,-0.4799999999999969
2014-03-19,41.5,41.87,41.15,41.21,876600,41.21,-0.28999999999999915
2014-03-20,41.03,41.87,41.03,41.5,819100,41.5,0.46999999999999886
2014-03-21,42.0,44.75,42.0,43.02,1643700,43.02,1.0200000000000031
2014-03-24,43.03,43.49,41.21,41.28,1143400,41.28,-1.75
2014-03-25,41.39,42.23,40.91,41.1,665200,41.1,-0.28999999999999915
2014-03-26,42.05,42.56,41.28,41.73,1063800,41.73,-0.3200000000000003
2014-03-27,41.57,42.25,40.4,41.38,1156200,41.38,-0.18999999999999773
2014-03-28,41.38,41.65,40.76,41.64,732600,41.64,0.259999999999998
2014-03-31,41.93,42.25,41.13,41.4,618800,41.4,-0.5300000000000011
2014-04-01,41.88,42.53,41.16,42.09,724400,42.09,0.21000000000000085
2014-04-02,42.06,42.21,40.99,41.68,705700,41.68,-0.38000000000000256
2014-04-03,41.33,41.79,40.76,41.05,671500,41.05,-0.28000000000000114
2014-04-04,41.33,41.47,39.61,39.88,845800,39.88,-1.4499999999999957
2014-04-07,39.89,40.75,37.63,37.82,1317100,37.82,-2.0700000000000003
2014-04-08,37.85,39.44,37.79,39.13,695400,39.13,1.2800000000000011
2014-04-09,39.47,40.55,39.22,40.49,980900,40.49,1.0200000000000031
2014-04-10,40.51,40.62,38.91,39.1,667000,39.1,-1.4099999999999966
2014-04-11,38.72,39.25,37.43,37.67,962500,37.67,-1.0499999999999972
2014-04-14,42.34,46.0,42.02,43.87,3809400,43.87,1.529999999999994
2014-04-15,44.02,44.57,42.2,43.8,1738700,43.8,-0.22000000000000597
2014-04-16,44.17,44.77,43.8,44.65,959300,44.65,0.4799999999999969
2014-04-17,45.2,45.6,44.36,44.99,449000,44.99,-0.21000000000000085
2014-04-21,44.89,45.62,43.99,45.45,533300,45.45,0.5600000000000023
2014-04-22,45.43,46.09,44.95,45.86,932600,45.86,0.4299999999999997
2014-04-23,45.77,46.1,44.94,45.22,771600,45.22,-0.5500000000000043
2014-04-24,45.33,45.91,44.8,45.31,626300,45.31,-0.01999999999999602
2014-04-25,44.99,45.13,44.52,44.73,711400,44.73,-0.2600000000000051
2014-04-28,45.01,45.1,43.68,44.27,517700,44.27,-0.7399999999999949
2014-04-29,44.64,44.72,43.94,44.06,829400,44.06,-0.5799999999999983
2014-04-30,44.07,44.67,43.35,44.09,765700,44.09,0.020000000000003126
2014-05-01,45.1,45.1,43.06,43.26,982300,43.26,-1.8400000000000034
2014-05-02,43.27,43.53,42.83,43.14,568100,43.14,-0.13000000000000256
2014-05-05,42.98,43.66,42.68,43.29,351800,43.29,0.3100000000000023
2014-05-06,42.88,42.92,42.06,42.42,762200,42.42,-0.46000000000000085
2014-05-07,42.48,42.5,41.1,42.14,816000,42.14,-0.3399999999999963
2014-05-08,42.0,42.63,40.92,41.02,360100,41.02,-0.9799999999999969
2014-05-09,40.88,41.5,40.12,41.32,517800,41.32,0.4399999999999977
2014-05-12,41.39,42.95,41.1,42.43,393600,42.43,1.0399999999999991
2014-05-13,42.33,42.72,41.68,42.03,605800,42.03,-0.29999999999999716
2014-05-14,42.07,42.24,41.48,41.49,434100,41.49,-0.5799999999999983
2014-05-15,41.36,41.39,39.7,40.06,854200,40.06,-1.2999999999999972
2014-05-16,40.28,40.43,39.71,40.18,337400,40.18,-0.10000000000000142
2014-05-19,40.0,41.18,40.0,40.9,740400,40.9,0.8999999999999986
2014-05-20,40.77,40.95,40.04,40.19,285200,40.19,-0.5800000000000054
2014-05-21,40.35,41.55,40.13,41.4,516100,41.4,1.0499999999999972
2014-05-22,41.54,42.28,41.5,41.71,707700,41.71,0.1700000000000017
2014-05-23,41.72,41.87,40.95,41.25,535000,41.25,-0.46999999999999886
2014-05-27,41.55,43.09,41.08,43.05,422200,43.05,1.5
2014-05-28,42.92,43.64,42.44,43.47,454500,43.47,0.5499999999999972
2014-05-29,43.69,43.98,43.4,43.57,237600,43.57,-0.11999999999999744
2014-05-30,43.47,43.47,42.16,42.8,457100,42.8,-0.6700000000000017
2014-06-02,42.92,42.92,41.85,41.9,250500,41.9,-1.0200000000000031
2014-06-03,41.8,42.51,41.76,42.29,325200,42.29,0.490000000000002
