Date,open,high,low,close,volume,adj_close,diff
2014-01-02,19.03,19.03,18.46,18.86,30900,18.86,-0.1700000000000017
2014-01-03,18.82,19.18,18.63,19.01,18000,19.01,0.19000000000000128
2014-01-06,19.13,19.52,18.4,19.04,29900,19.04,-0.08999999999999986
2014-01-07,19.03,19.4,18.68,18.71,26900,18.71,-0.3200000000000003
2014-01-08,18.77,19.32,17.92,18.9,42000,18.9,0.129999999999999
2014-01-09,18.92,19.06,18.73,18.82,9500,18.82,-0.10000000000000142
2014-01-10,18.76,19.34,18.25,18.82,60600,18.82,0.05999999999999872
2014-01-13,18.55,19.26,18.3,18.42,31700,18.42,-0.129999999999999
2014-01-14,18.46,18.65,18.24,18.35,17400,18.35,-0.10999999999999943
2014-01-15,18.28,18.47,18.26,18.43,24500,18.43,0.14999999999999858
2014-01-16,18.45,18.45,17.63,18.05,20900,18.05,-0.3999999999999986
2014-01-17,17.92,18.05,17.57,17.71,26300,17.71,-0.21000000000000085
2014-01-21,17.64,18.08,17.6,17.95,41100,17.95,0.3099999999999987
2014-01-22,17.99,18.85,17.94,18.54,57100,18.54,0.5500000000000007
2014-01-23,18.57,19.19,18.57,18.87,48000,18.87,0.3000000000000007
2014-01-24,18.74,18.74,18.25,18.33,34900,18.33,-0.41000000000000014
2014-01-27,19.64,19.64,17.9,18.0,33200,18.0,-1.6400000000000006
2014-01-28,17.98,18.6,17.98,18.29,78300,18.29,0.3099999999999987
2014-01-29,18.35,19.08,18.1,18.43,85900,18.43,0.0799999999999983
2014-01-30,18.6,18.94,18.41,18.78,57900,18.78,0.17999999999999972
2014-01-31,18.5,19.09,18.5,18.72,50900,18.72,0.21999999999999886
2014-02-03,18.82,18.86,17.72,18.02,53800,18.02,-0.8000000000000007
2014-02-04,18.24,18.77,18.06,18.25,17500,18.25,0.010000000000001563
2014-02-05,18.07,18.81,17.97,18.77,41500,18.77,0.6999999999999993
2014-02-06,18.47,18.86,18.19,18.86,66500,18.86,0.39000000000000057
2014-02-07,19.05,19.05,18.68,18.76,18200,18.76,-0.28999999999999915
2014-02-10,18.69,19.64,18.52,19.42,131800,19.42,0.7300000000000004
2014-02-11,19.57,19.57,18.81,18.99,47000,18.99,-0.5800000000000018
2014-02-12,19.09,19.09,18.37,18.85,34700,18.85,-0.23999999999999844
2014-02-13,18.7,19.39,18.48,18.82,20700,18.82,0.120000000000001
2014-02-14,18.87,18.87,18.05,18.59,30700,18.59,-0.28000000000000114
2014-02-18,18.44,19.07,18.34,18.98,25300,18.98,0.5399999999999991
2014-02-19,18.99,19.22,18.79,18.83,8900,18.83,-0.16000000000000014
2014-02-20,18.83,19.07,18.77,18.81,27900,18.81,-0.019999999999999574
2014-02-21,19.28,19.29,18.55,18.64,28200,18.64,-0.6400000000000006
