Date,open,high,low,close,volume,adj_close,diff
2014-01-02,44.79,44.8,44.1,44.2,1503800,42.46,-0.5899999999999963
2014-01-03,44.25,44.46,44.0,44.19,1463400,42.45,-0.060000000000002274
2014-01-06,44.38,44.39,43.71,43.76,1907200,42.03,-0.6200000000000045
2014-01-07,44.04,44.18,43.84,44.08,2136700,42.34,0.03999999999999915
2014-01-08,44.09,44.14,43.78,43.99,1761800,42.26,-0.10000000000000142
2014-01-09,44.1,44.17,43.6,43.73,1637100,42.01,-0.37000000000000455
2014-01-10,44.06,44.14,43.43,43.61,2015400,41.89,-0.45000000000000284
2014-01-13,43.34,43.47,42.93,43.03,2471900,41.33,-0.3100000000000023
2014-01-14,43.09,43.43,43.05,43.3,1794200,41.59,0.20999999999999375
2014-01-15,43.44,43.48,43.16,43.19,1831900,41.49,-0.25
2014-01-16,43.11,43.19,42.75,42.86,2193200,41.17,-0.25
2014-01-17,42.96,43.33,42.84,43.12,2450800,41.42,0.1599999999999966
2014-01-21,43.41,43.45,42.75,42.91,1949300,41.22,-0.5
2014-01-22,43.04,43.05,42.68,42.75,1743800,41.06,-0.28999999999999915
2014-01-23,42.49,42.51,41.91,42.31,3057400,40.64,-0.17999999999999972
2014-01-24,42.05,42.12,41.61,41.64,3029400,40.0,-0.4099999999999966
2014-01-27,41.61,41.84,41.37,41.54,2464800,39.9,-0.07000000000000028
2014-01-28,41.63,41.78,41.23,41.44,2139800,39.81,-0.19000000000000483
2014-01-29,41.15,41.46,40.86,41.07,3043600,39.45,-0.0799999999999983
2014-01-30,41.37,41.92,41.31,41.79,1863800,40.14,0.4200000000000017
2014-01-31,41.34,41.84,41.16,41.78,2745500,40.13,0.4399999999999977
2014-02-03,41.72,41.86,40.89,41.0,3098500,39.38,-0.7199999999999989
2014-02-04,41.15,41.37,41.08,41.29,1764600,39.66,0.14000000000000057
2014-02-05,41.13,41.66,41.12,41.5,2167300,39.86,0.36999999999999744
2014-02-06,41.5,42.25,41.39,42.07,2090600,40.41,0.5700000000000003
2014-02-07,42.31,43.0,42.31,42.84,2407800,41.15,0.5300000000000011
2014-02-10,42.84,42.85,42.37,42.64,2498300,40.96,-0.20000000000000284
2014-02-11,42.54,43.07,42.5,42.85,1643900,41.16,0.3100000000000023
2014-02-12,42.86,43.06,42.8,42.88,1208800,41.19,0.020000000000003126
2014-02-13,42.72,43.37,42.62,43.33,1134800,41.62,0.6099999999999994
2014-02-14,43.22,43.78,43.01,43.67,1715900,41.95,0.45000000000000284
2014-02-18,42.69,43.45,41.4,41.72,6161100,40.07,-0.9699999999999989
2014-02-19,41.17,41.68,40.67,41.19,4958800,39.57,0.01999999999999602
2014-02-20,41.13,41.41,40.84,40.98,3454600,39.36,-0.15000000000000568
2014-02-21,41.08,41.29,40.83,40.99,2672200,39.37,-0.0899999999999963
2014-02-24,41.04,41.31,40.9,41.06,3222400,39.44,0.020000000000003126
2014-02-25,41.0,41.16,40.6,40.76,2978300,39.15,-0.240000000000002
2014-02-26,40.74,41.1,40.65,40.85,2813700,39.24,0.10999999999999943
2014-02-27,40.83,41.09,40.45,40.58,2166400,38.98,-0.25
2014-02-28,40.55,41.52,40.55,41.5,3542400,39.86,0.9500000000000028
2014-03-03,40.88,41.42,40.88,41.28,2574300,39.65,0.3999999999999986
2014-03-04,41.6,41.81,41.07,41.37,3013800,39.74,-0.23000000000000398
2014-03-05,41.4,41.51,41.19,41.34,2074200,39.71,-0.05999999999999517
2014-03-06,40.95,41.24,40.91,41.2,2087700,39.94,0.25
2014-03-07,41.29,41.56,41.17,41.38,1714500,40.11,0.09000000000000341
2014-03-10,41.3,41.39,41.14,41.35,1138800,40.08,0.05000000000000426
2014-03-11,41.35,41.47,41.07,41.26,1331700,40.0,-0.09000000000000341
2014-03-12,41.0,41.09,40.53,40.59,2662100,39.35,-0.4099999999999966
2014-03-13,40.74,40.81,40.35,40.41,1989900,39.17,-0.3300000000000054
2014-03-14,40.46,40.92,40.39,40.81,2216300,39.56,0.3500000000000014
2014-03-17,40.92,41.1,40.89,41.06,1649200,39.8,0.14000000000000057
2014-03-18,41.09,41.38,41.09,41.31,1355300,40.04,0.21999999999999886
2014-03-19,41.25,41.51,40.96,41.18,1711100,39.92,-0.07000000000000028
2014-03-20,41.08,41.31,40.99,41.07,1138500,39.81,-0.00999999999999801
2014-03-21,41.43,41.51,40.71,40.73,3765400,39.48,-0.7000000000000028
2014-03-24,40.91,41.15,40.42,40.51,2856300,39.27,-0.3999999999999986
2014-03-25,40.66,40.89,40.54,40.61,2033300,39.37,-0.04999999999999716
2014-03-26,40.82,40.96,40.5,40.52,1767900,39.28,-0.29999999999999716
2014-03-27,40.57,41.1,40.41,40.9,1734300,39.65,0.3299999999999983
2014-03-28,41.13,41.47,41.0,41.15,1630600,39.89,0.01999999999999602
2014-03-31,41.37,42.1,41.34,42.07,3596300,40.78,0.7000000000000028
2014-04-01,42.12,42.21,41.75,41.93,1965300,40.65,-0.18999999999999773
