Date,open,high,low,close,volume,adj_close,diff
2014-01-02,0.57,0.58,0.54,0.55,712400,0.55,-0.019999999999999907
2014-01-03,0.56,0.57,0.55,0.55,252900,0.55,-0.010000000000000009
2014-01-06,0.56,0.59,0.54,0.58,345700,0.58,0.019999999999999907
2014-01-07,0.59,0.59,0.56,0.58,292100,0.58,-0.010000000000000009
2014-01-08,0.57,0.57,0.54,0.56,187700,0.56,-0.009999999999999898
2014-01-09,0.56,0.56,0.54,0.55,150600,0.55,-0.010000000000000009
2014-01-10,0.55,0.57,0.54,0.55,226400,0.55,0.0
2014-01-13,0.55,0.58,0.55,0.58,233900,0.58,0.029999999999999916
2014-01-14,0.57,0.59,0.56,0.57,176100,0.57,0.0
2014-01-15,0.57,0.58,0.56,0.57,236600,0.57,0.0
2014-01-16,0.57,0.62,0.57,0.6,734500,0.6,0.030000000000000027
2014-01-17,0.58,0.65,0.58,0.64,513300,0.64,0.06000000000000005
2014-01-21,0.67,0.67,0.64,0.67,333600,0.67,0.0
2014-01-22,0.68,0.68,0.64,0.64,242900,0.64,-0.040000000000000036
2014-01-23,0.64,0.69,0.64,0.67,365500,0.67,0.030000000000000027
2014-01-24,0.68,0.68,0.63,0.65,201800,0.65,-0.030000000000000027
2014-01-27,0.65,0.65,0.58,0.58,398200,0.58,-0.07000000000000006
2014-01-28,0.58,0.63,0.58,0.61,185700,0.61,0.030000000000000027
2014-01-29,0.64,0.66,0.61,0.65,292200,0.65,0.010000000000000009
2014-01-30,0.67,0.67,0.64,0.64,160900,0.64,-0.030000000000000027
2014-01-31,0.64,0.66,0.61,0.63,237900,0.63,-0.010000000000000009
2014-02-03,0.63,0.65,0.61,0.62,222800,0.62,-0.010000000000000009
2014-02-04,0.63,0.65,0.61,0.64,130300,0.64,0.010000000000000009
2014-02-05,0.64,0.65,0.63,0.63,163300,0.63,-0.010000000000000009
2014-02-06,0.63,0.64,0.63,0.64,97700,0.64,0.010000000000000009
2014-02-07,0.64,0.66,0.62,0.66,130600,0.66,0.020000000000000018
2014-02-10,0.66,0.75,0.66,0.74,738500,0.74,0.07999999999999996
2014-02-11,0.75,0.8,0.75,0.79,559000,0.79,0.040000000000000036
2014-02-12,0.79,0.79,0.74,0.75,253800,0.75,-0.040000000000000036
