,company_name,origin
AMTD,TD Ameritrade Holding Corporation,USA
FRT,Federal Realty Investment Trust,USA
ARX,Aeroflex Holding Corp.,USA
MCP,"Molycorp, Inc.",USA
OAS,Oasis Petroleum Inc.,USA
BTH,"Blyth, Inc.",USA
POL,PolyOne Corporation,USA
MNK,Mallinckrodt Public Limited Company,USA
NI,NiSource Inc.,USA
CO,China Cord Blood Corporation,China
MYN,"BlackRock MuniYield New York Quality Fund, Inc.",USA
KMM,DWS Multi-Market Income Trust,USA
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,USA
CMN,Cantel Medical Corporation,USA
AJG,Arthur J.Gallagher & Co.,USA
DL,China Distance Education Holdings Limited,China
AHL,Aspen Insurance Holdings Limited,Bermuda
SPG,"Simon Property Group, Inc.",USA
STZ,"Constellation Brands, Inc.",USA
IAE,Voya Asia Pacific High Dividend Equity Income Fund,USA
STL,Sterling Bancorp,USA
IVC,Invacare Corporation,USA
UIS,Unisys Corporation,USA
JMT,Nuveen Mortgage Opportunity Term Fund 2,USA
JEC,Jacobs Engineering Group Inc.,USA
SIR,Select Income REIT,USA
JPS,Nuveen Quality Preferred Income Fund 2,USA
GPRK,GeoPark Limited,USA
NCI,"Navigant Consulting, Inc.",USA
HP,Helmerich & Payne Inc.,USA
QRE,"QR Energy, LP",USA
REXR,"Rexford Industrial Realty, Inc.",USA
BFR,BBVA Banco Francés S.V.,Argentina
DNR,Denbury Resources Inc.,USA
ATK,Alliant Techsystems Inc.,USA
ST,Sensata Technologies Holding N.V.,Netherlands
CNHI,CNH Industrial N.V.,United Kingdom
VNTV,"Vantiv, Inc.",USA
CIB,Bancolombia S.A.,Colombia
CP,Canadian Pacific Railway Limited,Canada
HSFC.PRB,HSBC Finance Corporation,USA
S,Sprint Corporation,USA
PEI.PRA,Pennsylvania Real Estate Investment Trust,USA
IOC,InterOil Corporation,Papua New Guinea
PSA,Public Storage,USA
OFG,OFG Bancorp,USA
RMAX,"RE/MAX Holdings, Inc.",USA
GDF,Western Asset Global Partners Income Fund Inc.,USA
MOD,Modine Manufacturing Company,USA
MHY,Western Asset Managed High Income Portfolio Inc.,USA
EMO,Clearbridge Energy MLP Opportunity Fund Inc.,USA
AES.PRC,AES Trust III,USA
ATO,Atmos Energy Corporation,USA
GAM.PRB,"General American Investors Company, Inc.",USA
ANN,Ann Inc.,USA
SB.PRB,Safe Bulkers Inc.,USA
KFI,KKR Financial Holdings LLC,USA
BR,"Broadridge Financial Solutions, Inc.",USA
ISH,International Shipholding Corporation,USA
RBS.PRR,The Royal Bank of Scotland Group plc,United Kingdom
PHT,Pioneer High Income Trust,USA
TFG,"Fixed Income Trust For Goldman Sachs Subordinated Notes, Series 2011-1",USA
HI,"Hillenbrand, Inc.",USA
PHX,Panhandle Oil and Gas Inc,USA
SIG,Signet Jewelers Limited,Bermuda
CPT,Camden Property Trust,USA
ACP,Avenue Income Credit Strategies Fund,USA
PHG,Koninklijke Philips N.V.,Netherlands
DHF,Dreyfus High Yield Strategies Fund,USA
TOT,TOTAL S.A.,France
ALP.PRO,Alabama Power Company,USA
RDY,Dr. Reddy's Laboratories Limited,India
KRC,Kilroy Realty Corporation,USA
ENH,Endurance Specialty Holdings Ltd.,Bermuda
STNG,Scorpio Tankers Inc.,Monaco
SYX,Systemax Inc.,USA
CXE,MFS High Income Municipal Trust,USA
MSCI,"MSCI, Inc.",USA
SRE,Sempra Energy,USA
SRT,Startek Inc.,USA
PAR,PAR Technology Corporation,USA
PEB.PRA,Pebblebrook Hotel Trust,USA
WH,WSP Holdings Limited,China
PCK,PIMCO California Municipal Income Fund II,USA
BAS,"Basic Energy Services, Inc.",USA
SCD,LMP Capital and Income Fund Inc.,USA
DKS,"Dick's Sporting Goods, Inc.",USA
NCT.PRB,Newcastle Investment Corp.,USA
AI,Arlington Asset Investment Corporation,USA
CTW,Qwest Corporation,USA
TGS,Transportadora de Gas del Sur,Argentina
RFI,"Cohen & Steers Total Return Realty Fund, Inc.",USA
CLV,Cliffs Natural Resources Inc.,USA
BDC,Belden Inc.,USA
EJ,E-House (China) Holdings Limited,China
DGX,Quest Diagnostics Incorporated,USA
AMH.PRA,American Homes 4 Rent,USA
FGP,Ferrellgas Partners L.P,USA
HTD,John Hancock Tax- Advantaged Dividend Income,USA
MHK,Mohawk Industries Inc.,USA
RNR,RenaissanceRe Holdings Ltd.,Bermuda
CTY,Qwest Corporation,USA
DPD,"Dow 30 Premium & Dividend Income Fund, Inc.",USA
EDU,New Oriental Education & Technology Group Inc.,China
NMFC,New Mountain Finance Corporation,USA
WAG,Walgreens,USA
LPL,"LG Display Co., Ltd.",South Korea
MSF,"Morgan Stanley Emerging Markets Fund, Inc.",USA
APO,"Apollo Global Management, LLC",USA
LMT,Lockheed Martin,USA
TEX,Terex Corporation,USA
RNR.PRE,RenaissanceRe Holdings Ltd.,Bermuda
WU,The Western Union Company,USA
O.PRE,Realty Income Corporation,USA
SNA,Snap On Inc.,USA
AHT.PRE,"Ashford Hospitality Trust, Inc.",USA
SN,Sanchez Energy Corporation,USA
CORR,"CorEnergy Infrastructure Trust, Inc.",USA
SSS,Sovran Self Storage Inc.,USA
EHI,Western Asset Global High Income Fund Inc.,USA
WPG,Washington Prime Group Inc.,USA
MYM,"BlackRock MuniYield Michigan Quality Fund II, Inc.",USA
JONE,"Jones Energy, Inc.",USA
CXO,Concho Resources Inc.,USA
NYLD,"NRG Yield, Inc.",USA
ALV,Autoliv Inc.,USA
ARH.PRC,Arch Capital Group Ltd.,Bermuda
OLN,Olin Corporation,USA
USPH,"U.S. Physical Therapy, Inc.",USA
JW.A,"John Wiley & Sons, Inc.",USA
GGB,Gerdau S.A.,Brazil
PNK,"Pinnacle Entertainment, Inc.",USA
LOR,"Lazard World Dividend & Income Fund, Inc.",USA
UFS,Domtar Corporation,Canada
AUO,AU Optronics Corp.,Taiwan
BUI,BlackRock Utility and Infrastructure Trust,USA
FII,Federated Investors Inc.,USA
ISS,iSoftStone Holdings Limited,USA
JPW,Nuveen Flexible Investment Income Fund,USA
MER.PRM,Merrill Lynch Capital Trust II,USA
MODN,"Model N, Inc.",USA
T,AT&T Inc.,USA
CVT,"Cvent, Inc.",USA
AMH,American Homes 4 Rent,USA
BFS,Saul Centers Inc.,USA
PSB.PRR,"PS Business Parks, Inc.",USA
HSY,The Hershey Company,USA
LRE,"LRR Energy, L.P.",USA
NEV,Nuveen Enhanced Municipal Value Fund,USA
MER.PRD,Merrill Lynch Preferred Capital Trust III,USA
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,USA
GEB,General Electric Capital Company,USA
SEE,Sealed Air Corporation,USA
NBL,"Noble Energy, Inc.",USA
CIG.C,Companhia Energética de Minas Gerais - CEMIG,Brazil
MYCC,"ClubCorp Holdings, Inc.",USA
TY.PR,Tri-Continental Corp,USA
NXC,Nuveen California Select Tax-Free Income Portfolio,USA
OC,Owens Corning,USA
NCS,NCI Building Systems Inc.,USA
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",USA
RAS.PRB,RAIT Financial Trust,USA
SKT,"Tanger Factory Outlet Centers, Inc.",USA
JMPC,JMP Group Inc.,USA
PBA,Pembina Pipeline Corporation,Canada
BFS.PRC,Saul Centers Inc.,USA
KMP,Kinder Morgan Energy Partners L.P,USA
JPC,Nuveen Preferred Income Opportunities Fund,USA
JBT,John Bean Technologies Corporation,USA
FMS,Fresenius Medical Care AG & Co. KGAA,Germany
BSL,Blackstone / GSO Senior Floating Rate Term Fund,USA
BAK,Braskem S.A.,Brazil
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",USA
CMRE.PRB,Costamare Inc.,Greece
UIL,UIL Holdings Corporation,USA
JMF,Nuveen Energy MLP Total Return Fund,USA
PT,Portugal Telecom SGPS SA,Portugal
ORAN,Orange S.A.,France
CS,Credit Suisse Group AG,Switzerland
CIEN,Ciena Corporation,USA
NEU,NewMarket Corporation,USA
RBS.PRP,The Royal Bank of Scotland Group plc,United Kingdom
WMC,Western Asset Mortgage Capital Corporation,USA
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",USA
GLF,"GulfMark Offshore, Inc.",USA
ZBK,Zions Bancorporation,USA
NCT,Newcastle Investment Corp.,USA
NOM.PRC,Nuveen Missouri Premium Income Municipal Fund,USA
RCS,"PIMCO Strategic Income Fund, Inc.",USA
BHK,BlackRock Core Bond Trust,USA
BAC.PRL,Bank of America Corporation,USA
CBT,Cabot Corporation,USA
PRO,"PROS Holdings, Inc.",USA
EMN,Eastman Chemical Co.,USA
COR,CoreSite Realty Corporation,USA
O.PRF,Realty Income Corporation,USA
CBU,"Community Bank System, Inc.",USA
GCV.PRB,"The Gabelli Convertible and Income Securities Fund, Inc.",USA
AFM,Affiliated Managers Group,USA
GPE.PRA,Georgia Power Company,USA
BDN.PRE,Brandywine Realty Trust,USA
RSPP,"RSP Permian, Inc.",USA
POST,"Post Holdings, Inc.",USA
EBS,Emergent BioSolutions Inc.,USA
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc.",USA
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Incorporated,USA
WFC.PRQ,Wells Fargo & Co.,USA
LRN,K12 Inc.,USA
ACH,Aluminum Corporation of China Ltd,China
BCC,Boise Cascade Company,USA
DWRE,"Demandware, Inc.",USA
HUB.A,Hubbell Inc.,USA
DRD,DRDGOLD Limited,South Africa
BXMT,"Blackstone Mortgage Trust, Inc.",USA
ANF,Abercrombie & Fitch,USA
MTRN,Materion Corporation,USA
TYL,"Tyler Technologies, Inc.",USA
SNV.PRC,Synovus Financial Corp.,USA
TSI,"TCW Strategic Income Fund, Inc.",USA
BFO,BlackRock Florida Municipal 2020 Term Trust,USA
AFA,American Financial Group Inc.,USA
REG.PRG,Regency Centers Corporation,USA
NQP,Nuveen Pennsylvania Investment Quality Municipal Fund,USA
CPL,CPFL Energia S.A.,Brazil
AFT,Apollo Senior Floating Rate Fund Inc.,USA
NPO,"EnPro Industries, Inc.",USA
PSA.PRW,Public Storage,USA
SID,Companhia Siderúrgica Nacional,Brazil
SRI,"Stoneridge, Inc.",USA
NGS,"Natural Gas Services Group, Inc.",USA
WPZ,Williams Partners L.P.,USA
BBW,"Build-A-Bear Workshop, Inc.",USA
GS.PRA,Goldman Sachs Group Inc.,USA
PRE.PRF,PartnerRe Ltd.,Bermuda
GNI,Great Northern Iron Ore Properties,USA
ORB,Orbital Sciences Corporation,USA
BIT,BlackRock Multi-Sector Income Trust,USA
CB,Chubb Corporation,USA
NMA,Nuveen Municipal Advantage Fund,USA
MWV,MeadWestvaco Corporation,USA
MGF,MFS Government Markets Income Trust,USA
PRA,ProAssurance Corporation,USA
MER.PRK,Merrill Lynch Capital Trust I,USA
EMQ,"Entergy Mississippi, Inc.",USA
CIO,"City Office REIT, Inc.",Canada
RBS.PRI,RBS Capital Funding Trust VI,Netherlands
PES,Pioneer Energy Services Corp.,USA
PXD,Pioneer Natural Resources Company,USA
